Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist_total,PrgDist_total,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,1,1,100.0,21,7,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2,Tammy Abraham,ENG,FW,Roma,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
3,Tammy Abraham,ENG,FW,Milan,26,1997,2.9,26,35,74.3,351,63,15,21,71.4,9,11,81.8,1,2,50.0,1,0.3,0.2,0.7,2,1,2,0,3
4,Federico Accornero,ITA,MF,Genoa,20,2004,0.1,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
5,Francesco Acerbi,ITA,DF,Inter,36,1988,5.0,348,366,95.1,6500,1867,114,121,94.2,206,210,98.1,23,27,85.2,0,0.0,0.1,0.0,0,14,1,0,16
6,Che Adams,SCO,"FW,MF",Torino,28,1996,3.9,64,93,68.8,1011,160,34,43,79.1,22,30,73.3,4,8,50.0,1,0.7,0.3,0.3,5,5,1,0,4
7,Yacine Adli,FRA,MF,Fiorentina,24,2000,0.7,49,69,71.0,1098,343,16,20,80.0,22,30,73.3,11,17,64.7,1,0.2,0.1,0.8,2,6,1,0,5
8,Michel Aebischer,SUI,MF,Bologna,27,1997,3.7,158,184,85.9,2821,687,72,79,91.1,69,77,89.6,16,19,84.2,0,0.2,0.3,-0.2,5,17,2,0,18
9,Honest Ahanor,ITA,DF,Genoa,16,2008,0.8,8,11,72.7,158,41,3,4,75.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2
10,David Akpan Ankeye,NGA,FW,Genoa,22,2002,0.2,4,4,100.0,45,25,3,3,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,1,0,1
11,Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.7,15,19,78.9,185,42,6,6,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1
12,Pontus Almqvist,SWE,FW,Parma,25,1999,1.4,31,44,70.5,415,82,20,25,80.0,9,11,81.8,1,2,50.0,1,0.8,0.4,0.2,2,0,1,0,2
13,Giorgio Altare,ITA,DF,Venezia,26,1998,2.2,72,103,69.9,1359,421,22,27,81.5,44,58,75.9,4,14,28.6,0,0.0,0.0,0.0,0,1,0,0,4
14,Sofyan Amrabat,MAR,MF,Fiorentina,28,1996,2.0,112,133,84.2,2140,528,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,0,14
15,Angeliño,ESP,DF,Roma,27,1997,6.0,403,475,84.8,7184,2736,182,192,94.8,185,214,86.4,34,62,54.8,0,0.2,0.6,-0.2,5,47,13,4,52
16,Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,4,4,100.0,82,12,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
17,Faustino Anjorin,ENG,MF,Empoli,22,2001,1.7,55,70,78.6,925,293,28,31,90.3,23,27,85.2,3,9,33.3,1,0.4,0.2,0.6,1,5,1,0,5
18,Marko Arnautović,AUT,FW,Inter,35,1989,0.4,10,15,66.7,125,42,6,8,75.0,3,5,60.0,0,0,0.0,0,0.0,0.1,0.0,0,0,2,0,3
19,Kristjan Asllani,ALB,MF,Inter,22,2002,1.6,147,165,89.1,2736,718,59,62,95.2,68,72,94.4,17,22,77.3,0,0.6,0.6,-0.6,3,18,3,1,11
