Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1,James Abankwah,IRL,DF,Udinese,20,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Saud Abdulhamid,KSA,DF,Roma,25,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Oliver Abildgaard,DEN,MF,Como,28,1996.0,1,7.0,7.0,1.3,0.1,0,0.0,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.61
4,Tammy Abraham,ENG,FW,Roma,26,1997.0,1,1.0,1.0,0.2,0.0,0,0.0,0,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-3.09
5,Tammy Abraham,ENG,FW,Milan,26,1997.0,4,257.0,64.0,47.6,2.9,3,79.0,0,1,20.0,0,2.5,10.0,1.0,9.0,3.15,5.1,1.5,3.6,1.28
6,Federico Accornero,ITA,MF,Genoa,20,2004.0,1,5.0,5.0,0.9,0.1,0,0.0,0,1,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71
7,Francesco Acerbi,ITA,DF,Inter,36,1988.0,5,450.0,90.0,83.3,5.0,5,90.0,5,0,0.0,1,2.0,12.0,6.0,6.0,1.2,8.5,6.2,2.3,0.46
8,Che Adams,SCO,"FW,MF",Torino,28,1996.0,6,355.0,59.0,65.7,3.9,3,85.0,1,3,33.0,0,1.83,6.0,6.0,0.0,0.0,4.7,8.1,-3.4,-0.85
9,Vernon Addo,,MF,Lecce,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Yacine Adli,FRA,MF,Fiorentina,24,2000.0,4,67.0,17.0,12.4,0.7,0,0.0,0,4,17.0,0,1.25,2.0,0.0,2.0,2.69,2.2,0.8,1.4,1.86
11,Vasilije Adžić,MNE,MF,Juventus,18,2006.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Michel Aebischer,SUI,MF,Bologna,27,1997.0,6,333.0,56.0,61.7,3.7,4,70.0,1,2,26.0,0,1.17,3.0,4.0,-1.0,-0.27,2.3,4.0,-1.7,-0.47
13,Honest Ahanor,ITA,DF,Genoa,16,2008.0,1,68.0,68.0,12.6,0.8,1,68.0,0,0,0.0,5,0.0,0.0,2.0,-2.0,-2.65,0.1,1.8,-1.6,-2.15
14,Junior Ajayi,CIV,FW,Hellas Verona,19,2004.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
