Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
1,Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,2,0,1,1,0,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
2,Tammy Abraham,ENG,FW,Roma,26,1997,0.0,4,0,0,2,2,1,4,0,0,0.0,0,0.0,3,2,1,0,0,0,1,0,4,2
3,Tammy Abraham,ENG,FW,Milan,26,1997,2.9,67,5,7,33,27,14,66,4,0,0.0,4,100.0,30,60,18,0,0,0,5,2,39,17
4,Federico Accornero,ITA,MF,Genoa,20,2004,0.1,8,1,2,3,3,0,8,0,0,0.0,0,0.0,5,25,18,0,1,0,2,0,5,0
5,Francesco Acerbi,ITA,DF,Inter,36,1988,5.0,409,43,185,216,9,1,409,0,0,0.0,0,0.0,283,1373,717,4,3,0,1,1,325,1
6,Che Adams,SCO,"FW,MF",Torino,28,1996,3.9,126,2,9,64,54,12,126,2,1,50.0,1,50.0,75,331,107,3,3,0,8,3,92,20
7,Yacine Adli,FRA,MF,Fiorentina,24,2000,0.7,75,2,10,44,21,1,75,2,2,100.0,0,0.0,46,317,156,4,2,0,0,0,51,1
8,Michel Aebischer,SUI,MF,Bologna,27,1997,3.7,221,4,30,132,60,7,221,3,1,33.3,1,33.3,120,470,173,4,6,2,4,1,153,8
9,Honest Ahanor,ITA,DF,Genoa,16,2008,0.8,16,1,4,4,8,0,16,1,0,0.0,0,0.0,10,80,24,1,0,0,1,1,8,2
10,David Akpan Ankeye,NGA,FW,Genoa,22,2002,0.2,4,0,0,2,2,0,4,0,0,0.0,0,0.0,3,13,8,0,0,0,0,1,5,2
11,Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.7,26,2,3,9,16,0,26,3,2,66.7,1,33.3,15,69,29,0,2,0,1,1,18,2
12,Pontus Almqvist,SWE,FW,Parma,25,1999,1.4,68,2,16,22,33,9,68,4,2,50.0,1,25.0,35,253,159,5,1,3,3,1,37,9
13,Giorgio Altare,ITA,DF,Venezia,26,1998,2.2,132,16,63,54,16,5,132,1,1,100.0,0,0.0,76,375,169,2,4,0,1,5,79,2
14,Sofyan Amrabat,MAR,MF,Fiorentina,28,1996,2.0,140,6,24,103,14,0,140,0,0,0.0,0,0.0,84,388,196,2,0,0,1,2,103,1
15,Angeliño,ESP,DF,Roma,27,1997,6.0,522,21,134,287,105,8,522,3,2,66.7,1,33.3,297,1609,970,16,13,1,2,2,361,20
16,Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0
17,Faustino Anjorin,ENG,MF,Empoli,22,2001,1.7,91,4,28,54,9,1,91,2,0,0.0,2,100.0,47,235,133,4,1,0,1,1,61,3
18,Marko Arnautović,AUT,FW,Inter,35,1989,0.4,21,1,3,4,14,5,21,0,0,0.0,0,0.0,13,69,37,1,0,1,0,1,17,9
19,Kristjan Asllani,ALB,MF,Inter,22,2002,1.6,184,4,39,117,28,3,184,0,0,0.0,0,0.0,126,750,368,3,3,0,2,0,151,7
