Squad,# Pl,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
Atalanta,27,6.0,77,47,31,37,9,34,62,54.8,28,61,20,41,44,121,78,4
Bologna,25,6.0,105,64,43,43,19,49,102,48.0,53,65,21,44,34,139,91,1
Cagliari,23,5.0,77,42,30,37,10,39,69,56.5,30,54,24,30,39,116,119,4
Como,27,6.0,112,74,53,40,19,49,102,48.0,53,54,12,42,52,164,125,3
Empoli,22,6.0,116,69,63,47,6,57,94,60.6,37,76,35,41,45,161,200,0
Fiorentina,26,6.0,90,55,44,30,16,32,73,43.8,41,47,18,29,39,129,104,1
Genoa,24,6.0,89,49,37,37,15,33,77,42.9,44,51,15,36,57,146,120,2
Hellas Verona,24,6.0,92,50,39,44,9,44,79,55.7,35,69,23,46,56,148,116,6
Inter,21,6.0,83,50,37,31,15,37,83,44.6,46,43,16,27,29,112,106,1
Juventus,23,6.0,95,55,47,35,13,42,65,64.6,23,67,21,46,31,126,74,2
Lazio,22,6.0,81,54,31,37,13,36,76,47.4,40,38,8,30,42,123,84,4
Lecce,21,6.0,98,55,61,29,8,42,86,48.8,44,74,30,44,48,146,122,2
Milan,24,6.0,82,51,35,29,18,28,65,43.1,37,36,14,22,42,124,85,1
Monza,23,6.0,89,52,43,42,4,40,68,58.8,28,60,27,33,58,147,126,4
Napoli,22,6.0,93,53,36,43,14,47,80,58.8,33,51,17,34,38,131,110,2
Parma,24,5.0,78,41,49,19,10,39,73,53.4,34,63,28,35,38,116,131,3
Roma,21,6.0,76,46,27,34,15,26,52,50.0,26,55,26,29,41,117,107,3
Torino,25,6.0,81,41,37,29,15,35,83,42.2,48,50,21,29,45,126,123,3
Udinese,21,6.0,92,58,48,32,12,35,75,46.7,40,65,25,40,60,152,136,3
Venezia,26,6.0,95,53,46,35,14,36,68,52.9,32,61,22,39,40,135,120,5
