Squad,# Pl,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
Atalanta,27,6.0,160,26.67,120,8,10,14,5,3,20,3.33,16,0,1,1,2,0
Bologna,25,6.0,130,21.67,91,12,6,11,7,3,12,2.0,6,0,2,3,1,0
Cagliari,23,5.0,144,28.8,95,18,7,16,6,2,2,0.4,2,0,0,0,0,0
Como,27,6.0,156,26.0,112,14,9,14,3,4,13,2.17,11,0,1,1,0,0
Empoli,22,6.0,90,15.0,58,12,9,6,4,1,8,1.33,4,0,1,2,1,0
Fiorentina,26,6.0,157,26.17,109,13,14,11,8,2,11,1.83,4,2,1,2,2,0
Genoa,24,6.0,120,20.0,80,15,3,9,11,2,5,0.83,3,0,0,2,0,0
Hellas Verona,24,6.0,82,13.67,58,8,5,2,6,3,18,3.0,11,2,1,1,1,2
Inter,21,6.0,145,24.17,113,12,4,8,6,2,20,3.33,16,1,1,1,1,0
Juventus,23,6.0,111,18.5,87,7,4,6,4,3,16,2.67,13,1,0,0,1,1
Lazio,22,6.0,151,25.17,106,17,8,10,7,3,20,3.33,11,2,3,1,2,1
Lecce,21,6.0,168,28.0,122,16,9,10,6,5,6,1.0,5,0,0,0,1,0
Milan,24,6.0,173,28.83,120,15,13,15,7,3,26,4.33,12,4,1,3,4,2
Monza,23,6.0,67,11.17,47,8,4,3,5,0,7,1.17,6,0,0,1,0,0
Napoli,22,6.0,161,26.83,132,14,5,5,5,0,20,3.33,15,2,1,1,1,0
Parma,24,5.0,125,25.0,94,10,7,5,7,2,15,3.0,11,1,1,1,1,0
Roma,21,6.0,184,30.67,138,19,4,14,8,1,12,2.0,8,1,0,1,1,1
Torino,25,6.0,116,19.33,91,8,1,8,6,2,15,2.5,12,2,0,1,0,0
Udinese,21,6.0,104,17.33,83,6,5,5,1,4,13,2.17,9,0,1,3,0,0
Venezia,26,6.0,121,20.17,87,11,6,7,8,2,7,1.17,5,0,0,2,0,0
