Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%
Atalanta,2,6,6,540,6.0,12,2.0,27,17,55.6,,2,1,3,1,16.7
Bologna,2,6,6,540,6.0,9,1.5,20,11,55.0,100.0,1,4,1,0,0.0
Cagliari,1,5,5,450,5.0,8,1.6,19,11,57.9,,0,2,3,1,20.0
Como,2,6,6,540,6.0,11,1.83,25,14,64.0,0.0,2,2,2,0,0.0
Empoli,1,6,6,540,6.0,2,0.33,16,14,87.5,,2,4,0,4,66.7
Fiorentina,2,6,6,540,6.0,7,1.17,27,20,74.1,,1,4,1,2,33.3
Genoa,1,6,6,540,6.0,10,1.67,24,13,66.7,33.3,1,2,3,1,16.7
Hellas Verona,1,6,6,540,6.0,11,1.83,31,20,67.7,0.0,2,0,4,2,33.3
Inter,1,6,6,540,6.0,7,1.17,25,17,72.0,100.0,3,2,1,2,33.3
Juventus,2,6,6,540,6.0,0,0.0,8,8,100.0,,3,3,0,6,100.0
Lazio,1,6,6,540,6.0,10,1.67,23,13,65.2,0.0,3,1,2,0,0.0
Lecce,1,6,6,540,6.0,11,1.83,27,16,66.7,0.0,1,2,3,2,33.3
Milan,1,6,6,540,6.0,7,1.17,24,18,70.8,,3,2,1,2,33.3
Monza,2,6,6,540,6.0,8,1.33,21,13,61.9,,0,3,3,1,16.7
Napoli,2,6,6,540,6.0,4,0.67,15,11,80.0,0.0,4,1,1,4,66.7
Parma,2,5,5,360,5.0,9,2.25,28,19,67.9,,1,2,2,0,0.0
Roma,1,6,6,540,6.0,4,0.67,22,18,86.4,0.0,2,3,1,3,50.0
Torino,2,6,6,540,6.0,8,1.33,33,24,75.8,100.0,3,2,1,2,33.3
Udinese,1,6,6,540,6.0,10,1.67,32,22,75.0,0.0,3,1,2,1,16.7
Venezia,1,6,6,540,6.0,10,1.67,32,23,78.1,0.0,1,1,4,2,33.3
