Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,27,6.0,14,0,0,93,73,5,128,44,47,3,0,2,239,112,83,57.4
Bologna,25,6.0,8,1,0,93,88,12,113,34,64,1,1,1,261,82,74,52.6
Cagliari,23,5.0,9,0,0,77,55,6,136,39,42,0,0,0,208,111,96,53.6
Como,27,6.0,13,0,0,75,74,9,102,52,74,0,2,0,251,76,100,43.2
Empoli,22,6.0,9,0,0,92,78,8,75,45,69,1,0,0,221,89,122,42.2
Fiorentina,26,6.0,12,1,1,71,95,12,110,39,55,2,0,0,216,100,87,53.5
Genoa,24,6.0,12,0,0,70,68,10,108,57,49,0,3,0,199,103,102,50.2
Hellas Verona,24,6.0,22,2,1,78,54,8,79,56,50,1,2,0,224,85,119,41.7
Inter,21,6.0,8,0,0,69,63,22,125,29,50,1,1,0,205,88,71,55.3
Juventus,23,6.0,8,0,0,64,62,8,93,31,55,1,0,0,226,55,43,56.1
Lazio,22,6.0,15,0,0,77,63,9,161,42,54,1,2,0,200,68,87,43.9
Lecce,21,6.0,11,2,0,65,70,11,102,48,55,0,2,0,236,85,95,47.2
Milan,24,6.0,10,1,0,53,60,2,125,42,51,2,0,1,209,57,50,53.3
Monza,23,6.0,14,0,0,86,92,4,85,58,52,0,0,0,185,114,84,57.6
Napoli,22,6.0,8,0,0,76,74,11,93,38,53,0,1,0,245,73,65,52.9
Parma,24,5.0,9,3,2,49,62,6,39,38,41,1,0,0,170,36,54,40.0
Roma,21,6.0,8,0,0,64,66,9,126,41,46,1,1,0,219,71,72,49.7
Torino,25,6.0,15,0,0,64,66,9,107,45,41,1,1,0,206,98,101,49.2
Udinese,21,6.0,17,1,1,90,59,10,92,60,58,1,3,0,195,82,73,52.9
Venezia,26,6.0,13,1,1,73,65,9,74,40,53,1,3,1,212,79,86,47.9
