Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Atalanta,27,6.0,3072,2781,286,85,6,19,128,105,33,12,12,0,2560,5,41
Bologna,25,6.0,3282,2971,299,96,12,32,113,124,27,6,19,0,2714,12,56
Cagliari,23,5.0,2307,2038,263,71,3,7,136,107,37,4,32,0,1736,6,48
Como,27,6.0,2865,2590,266,91,11,12,102,103,27,4,16,0,2349,9,59
Empoli,22,6.0,1919,1636,275,83,4,10,75,100,25,4,17,0,1362,8,46
Fiorentina,26,6.0,2997,2686,299,106,2,28,110,114,32,9,14,1,2457,12,42
Genoa,24,6.0,2294,2027,257,75,2,12,108,93,20,6,13,0,1783,10,44
Hellas Verona,24,6.0,2134,1903,223,61,4,18,79,81,18,9,7,0,1594,8,30
Inter,21,6.0,3563,3284,257,70,15,17,125,110,34,11,12,0,3093,22,41
Juventus,23,6.0,3786,3565,213,63,6,14,93,91,25,8,15,0,3377,8,38
Lazio,22,6.0,3006,2704,293,70,15,24,161,126,44,25,14,0,2506,9,46
Lecce,21,6.0,2344,2066,267,79,7,7,102,85,34,20,11,0,1856,11,35
Milan,24,6.0,3268,3028,238,74,14,20,125,78,37,25,3,0,2853,2,37
Monza,23,6.0,2896,2600,292,100,2,12,85,99,17,7,9,0,2383,4,44
Napoli,22,6.0,2885,2605,269,80,14,13,93,109,26,14,6,2,2385,11,66
Parma,24,5.0,2134,1895,233,76,7,15,39,69,28,4,2,1,1731,6,31
Roma,21,6.0,3407,3096,302,75,8,13,126,135,28,16,9,1,2863,9,49
Torino,25,6.0,3192,2932,251,67,5,11,107,87,20,15,4,0,2658,9,39
Udinese,21,6.0,2239,1963,266,77,2,18,92,87,27,10,10,0,1762,10,36
Venezia,26,6.0,2191,1939,243,81,9,12,74,91,16,5,6,0,1708,9,41
