Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,G+A-PK,xG+xAG
Atalanta,27,27.1,54.8,6,66,540,6.0,11,1.83,7,1.17,18,3.0,9,1.5,2,3,14,0,11.3,1.89,9.0,1.49,6.6,1.1,15.6,2.6,129,309,2.67,2.99
Bologna,25,26.9,58.7,6,66,540,6.0,7,1.17,5,0.83,12,2.0,6,1.0,1,1,8,1,7.2,1.2,6.4,1.07,4.7,0.79,11.2,1.87,97,255,1.83,1.99
Cagliari,23,27.5,53.4,5,55,450,5.0,1,0.2,1,0.2,2,0.4,1,0.2,0,0,9,0,6.9,1.37,6.9,1.37,4.9,0.99,11.8,2.36,78,172,0.4,2.36
Como,27,28.0,51.3,6,66,540,6.0,7,1.17,7,1.17,14,2.33,7,1.17,0,1,13,0,7.7,1.28,7.0,1.16,6.2,1.04,13.2,2.2,92,202,2.33,2.32
Empoli,22,25.7,34.8,6,66,540,6.0,5,0.83,3,0.5,8,1.33,4,0.67,1,1,9,0,5.8,0.97,5.0,0.84,3.5,0.58,8.5,1.41,73,134,1.17,1.55
Fiorentina,26,26.9,56.7,6,66,540,6.0,7,1.17,3,0.5,10,1.67,5,0.83,2,2,12,1,8.8,1.46,7.2,1.2,5.2,0.87,12.5,2.08,117,218,1.33,2.34
Genoa,24,27.3,42.5,6,66,540,6.0,4,0.67,2,0.33,6,1.0,4,0.67,0,1,12,0,6.4,1.07,5.5,0.91,4.0,0.66,9.5,1.58,80,158,1.0,1.73
Hellas Verona,24,25.6,36.5,6,66,540,6.0,10,1.67,7,1.17,17,2.83,8,1.33,2,2,22,2,6.2,1.04,4.7,0.78,4.0,0.66,8.6,1.44,68,150,2.5,1.7
Inter,21,30.0,60.2,6,66,540,6.0,12,2.0,8,1.33,20,3.33,11,1.83,1,1,8,0,10.1,1.69,9.3,1.56,7.3,1.22,16.7,2.78,87,271,3.17,2.91
Juventus,23,24.9,60.0,6,66,540,6.0,9,1.5,6,1.0,15,2.5,7,1.17,2,2,8,0,6.7,1.12,5.1,0.86,4.6,0.76,9.7,1.62,128,217,2.17,1.88
Lazio,22,27.5,54.7,6,66,540,6.0,11,1.83,8,1.33,19,3.17,10,1.67,1,1,15,0,10.1,1.68,9.3,1.54,7.4,1.24,16.7,2.78,127,236,3.0,2.92
Lecce,21,26.3,41.8,6,66,540,6.0,3,0.5,2,0.33,5,0.83,3,0.5,0,0,11,2,7.1,1.18,7.1,1.18,6.2,1.03,13.3,2.21,94,174,0.83,2.21
Milan,24,26.3,56.0,6,66,540,6.0,14,2.33,9,1.5,23,3.83,12,2.0,2,2,10,1,10.8,1.8,9.2,1.54,7.3,1.21,16.5,2.75,155,288,3.5,3.01
Monza,23,27.3,49.3,6,66,540,6.0,4,0.67,3,0.5,7,1.17,4,0.67,0,0,14,0,2.2,0.36,2.2,0.36,1.5,0.25,3.7,0.61,73,145,1.17,0.61
Napoli,22,28.5,49.2,6,66,540,6.0,11,1.83,10,1.67,21,3.5,11,1.83,0,0,8,0,8.9,1.49,8.9,1.49,8.0,1.34,17.0,2.83,122,287,3.5,2.83
Parma,24,24.1,46.2,5,55,450,5.0,8,1.6,7,1.4,15,3.0,7,1.4,1,1,9,3,8.0,1.59,7.2,1.43,5.9,1.18,13.1,2.61,89,157,2.8,2.77
Roma,21,26.7,60.7,6,66,540,6.0,7,1.17,4,0.67,11,1.83,6,1.0,1,1,8,0,9.1,1.52,8.4,1.39,5.7,0.96,14.1,2.35,134,250,1.67,2.48
Torino,25,27.8,54.0,6,66,540,6.0,9,1.5,6,1.0,15,2.5,9,1.5,0,1,15,0,7.7,1.29,7.0,1.17,4.6,0.76,11.6,1.93,80,199,2.5,2.05
Udinese,21,27.2,39.3,6,66,540,6.0,9,1.5,7,1.17,16,2.67,9,1.5,0,1,17,1,6.7,1.11,5.9,0.98,4.7,0.78,10.5,1.76,72,152,2.67,1.89
Venezia,26,26.7,39.8,6,66,540,6.0,4,0.67,3,0.5,7,1.17,4,0.67,0,1,13,1,5.7,0.94,4.9,0.81,3.5,0.58,8.3,1.39,77,121,1.17,1.52
