Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Oliver Abildgaard,DEN,MF,Como,28,1996,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,Tammy Abraham,ENG,FW,Roma,26,1997,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,Tammy Abraham,ENG,FW,Milan,26,1997,2.9,1,8,3,37.5,2.8,1.05,0.0,0.0,16.4,0,1,1,1.8,1.0,0.13,-0.8,-1.0
4,Federico Accornero,ITA,MF,Genoa,20,2004,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
5,Francesco Acerbi,ITA,DF,Inter,36,1988,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
6,Che Adams,SCO,"FW,MF",Torino,28,1996,3.9,3,10,7,70.0,2.54,1.77,0.3,0.43,19.5,0,0,0,1.5,1.5,0.15,1.5,1.5
7,Yacine Adli,FRA,MF,Fiorentina,24,2000,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
8,Michel Aebischer,SUI,MF,Bologna,27,1997,3.7,0,5,2,40.0,1.35,0.54,0.0,0.0,21.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2
9,Honest Ahanor,ITA,DF,Genoa,16,2008,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,David Akpan Ankeye,NGA,FW,Genoa,22,2002,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
11,Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,0.7,0,1,0,0.0,1.53,0.0,0.0,0.0,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0
12,Pontus Almqvist,SWE,FW,Parma,25,1999,1.4,1,4,3,75.0,2.9,2.18,0.25,0.33,17.0,0,0,0,0.4,0.4,0.1,0.6,0.6
13,Giorgio Altare,ITA,DF,Venezia,26,1998,2.2,0,3,1,33.3,1.39,0.46,0.0,0.0,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
14,Sofyan Amrabat,MAR,MF,Fiorentina,28,1996,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
15,Angeliño,ESP,DF,Roma,27,1997,6.0,0,4,0,0.0,0.67,0.0,0.0,0.0,21.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
16,Lorenzo Anghelè,ITA,FW,Juventus,19,2005,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
17,Faustino Anjorin,ENG,MF,Empoli,22,2001,1.7,0,1,0,0.0,0.58,0.0,0.0,0.0,24.9,0,0,0,0.0,0.0,0.02,0.0,0.0
18,Marko Arnautović,AUT,FW,Inter,35,1989,0.4,0,2,0,0.0,4.5,0.0,0.0,0.0,4.7,0,0,0,0.9,0.9,0.44,-0.9,-0.9
19,Kristjan Asllani,ALB,MF,Inter,22,2002,1.6,0,3,1,33.3,1.86,0.62,0.0,0.0,17.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4
20,Arthur Atta,FRA,MF,Udinese,21,2003,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
21,Emil Audero,ITA,GK,Como,27,1997,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
22,Tommaso Augello,ITA,DF,Cagliari,30,1994,4.5,0,2,0,0.0,0.44,0.0,0.0,0.0,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
23,Carlos Augusto,BRA,DF,Inter,25,1999,2.1,0,1,0,0.0,0.47,0.0,0.0,0.0,7.0,0,0,0,0.3,0.3,0.3,-0.3,-0.3
24,Yann Aurel Bisseck,GER,DF,Inter,23,2000,2.0,0,3,0,0.0,1.5,0.0,0.0,0.0,10.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
25,Paulo Azzi,BRA,DF,Cagliari,30,1994,3.7,0,8,3,37.5,2.14,0.8,0.0,0.0,16.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5
26,Milan Badelj,CRO,MF,Genoa,35,1989,4.4,0,3,0,0.0,0.68,0.0,0.0,0.0,14.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
27,Mitchel Bakker,NED,MF,Atalanta,24,2000,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
28,Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,1.7,1,5,1,20.0,2.98,0.6,0.2,1.0,16.2,0,0,0,0.5,0.5,0.1,0.5,0.5
29,Botond Balogh,HUN,DF,Parma,22,2002,4.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
30,Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,2.7,0,7,2,28.6,2.62,0.75,0.0,0.0,16.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6
31,Daniel Bandeira,POR,MF,Hellas Verona,24,2000,2.5,0,1,0,0.0,0.39,0.0,0.0,0.0,27.3,0,0,0,0.0,0.0,0.03,0.0,0.0
32,Mattia Bani,ITA,DF,Genoa,30,1993,3.5,0,3,1,33.3,0.86,0.29,0.0,0.0,11.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
33,Antonín Barák,CZE,MF,Fiorentina,29,1994,0.6,0,2,2,100.0,3.33,3.33,0.0,0.0,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
34,Federico Barba,ITA,DF,Como,31,1993,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
