Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
1,Oliver Abildgaard,DEN,MF,Como,28,1996,1,0,7,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2,Tammy Abraham,ENG,FW,Roma,26,1997,1,0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0
3,Tammy Abraham,ENG,FW,Milan,26,1997,4,3,257,2.9,1,0.35,1,0.35,2,0.7,0,0.0,1,1,0,0,1.8,0.64,1.0,0.36,0.3,0.09,1.3,0.45,0,3,17,0.35,0.73
4,Federico Accornero,ITA,MF,Genoa,20,2004,1,0,5,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5,Francesco Acerbi,ITA,DF,Inter,36,1988,5,5,450,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,16,1,0.0,0.0
6,Che Adams,SCO,"FW,MF",Torino,28,1996,6,3,355,3.9,3,0.76,1,0.25,4,1.01,3,0.76,0,0,0,0,1.5,0.38,1.5,0.38,0.7,0.18,2.2,0.56,3,4,20,1.01,0.56
7,Yacine Adli,FRA,MF,Fiorentina,24,2000,4,0,67,0.7,0,0.0,1,1.34,1,1.34,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.24,0.2,0.24,4,5,1,1.34,0.24
8,Michel Aebischer,SUI,MF,Bologna,27,1997,6,4,333,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.04,0.2,0.04,0.2,0.06,0.4,0.11,4,18,8,0.0,0.11
9,Honest Ahanor,ITA,DF,Genoa,16,2008,1,1,68,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,0.0,0.0
10,David Akpan Ankeye,NGA,FW,Genoa,22,2002,1,0,22,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0
11,Faride Alidou,GER,"FW,MF",Hellas Verona,23,2001,2,0,59,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.03,0.0,0.04,0,1,2,0.0,0.04
12,Pontus Almqvist,SWE,FW,Parma,25,1999,5,0,124,1.4,1,0.73,1,0.73,2,1.45,1,0.73,0,0,0,0,0.4,0.29,0.4,0.29,0.8,0.6,1.2,0.89,5,2,9,1.45,0.89
13,Giorgio Altare,ITA,DF,Venezia,26,1998,3,2,194,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.07,0.2,0.07,0.0,0.0,0.2,0.07,2,4,2,0.0,0.07
14,Sofyan Amrabat,MAR,MF,Fiorentina,28,1996,2,2,180,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03,2,14,1,0.0,0.03
15,Angeliño,ESP,DF,Roma,27,1997,6,6,540,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.03,0.2,0.03,0.2,0.04,0.4,0.07,16,52,20,0.0,0.07
16,Lorenzo Anghelè,ITA,FW,Juventus,19,2005,1,0,6,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0
17,Faustino Anjorin,ENG,MF,Empoli,22,2001,3,2,155,1.7,0,0.0,1,0.58,1,0.58,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.4,0.22,0.4,0.23,4,5,3,0.58,0.23
18,Marko Arnautović,AUT,FW,Inter,35,1989,3,0,40,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.9,1.96,0.9,1.96,0.0,0.0,0.9,1.96,1,3,9,0.0,1.96
19,Kristjan Asllani,ALB,MF,Inter,22,2002,5,1,145,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.4,0.22,0.4,0.22,0.6,0.37,1.0,0.59,3,11,7,0.0,0.59
20,Arthur Atta,FRA,MF,Udinese,21,2003,1,0,17,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
21,Emil Audero,ITA,GK,Como,27,1997,3,3,270,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
22,Tommaso Augello,ITA,DF,Cagliari,30,1994,5,5,409,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.01,0.1,0.01,0.6,0.12,0.6,0.14,11,22,20,0.0,0.14
23,Carlos Augusto,BRA,DF,Inter,25,1999,6,1,190,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.14,0.3,0.14,0.0,0.0,0.3,0.14,4,10,11,0.0,0.14
24,Yann Aurel Bisseck,GER,DF,Inter,23,2000,2,2,180,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.1,0.2,0.1,0.0,0.0,0.2,0.1,3,10,11,0.0,0.1
25,Paulo Azzi,BRA,DF,Cagliari,30,1994,5,4,336,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.5,0.14,0.5,0.14,0.9,0.24,1.4,0.38,14,12,19,0.0,0.38
26,Milan Badelj,CRO,MF,Genoa,35,1989,6,6,399,4.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.3,0.06,0.5,0.11,3,20,5,0.0,0.11
27,Mitchel Bakker,NED,MF,Atalanta,24,2000,1,0,22,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0
28,Tommaso Baldanzi,ITA,"MF,FW",Roma,21,2003,6,0,151,1.7,1,0.6,1,0.6,2,1.19,1,0.6,0,0,0,0,0.5,0.31,0.5,0.31,0.1,0.08,0.7,0.39,12,4,8,1.19,0.39
29,Botond Balogh,HUN,DF,Parma,22,2002,5,5,429,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0
30,Lameck Banda,ZAM,"FW,MF",Lecce,23,2001,5,2,240,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.6,0.21,0.6,0.21,0.4,0.16,1.0,0.38,10,4,22,0.0,0.38
31,Daniel Bandeira,POR,MF,Hellas Verona,24,2000,4,3,229,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.01,0.1,0.03,1,14,1,0.0,0.03
32,Mattia Bani,ITA,DF,Genoa,30,1993,4,4,314,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02,3,2,1,0.0,0.02
33,Antonín Barák,CZE,MF,Fiorentina,29,1994,1,1,54,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.13,0.1,0.13,0.3,0.47,0.4,0.6,2,2,5,0.0,0.6
34,Federico Barba,ITA,DF,Como,31,1993,2,2,180,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0,0.0,0.0
35,Nicolò Barella,ITA,MF,Inter,27,1997,4,4,312,3.5,1,0.29,1,0.29,2,0.58,1,0.29,0,0,0,0,0.2,0.05,0.2,0.05,0.7,0.21,0.9,0.26,2,22,10,0.58,0.26
36,Davide Bartesaghi,ITA,DF,Milan,18,2005,1,0,5,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
