Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Augsburg,23,5.0,57,36,19,27,11,27,60,45.0,33,62,16,46,38,95,99,4
Bayern Munich,21,5.0,76,46,26,33,17,37,62,59.7,25,41,4,37,40,116,60,4
Bochum,19,5.0,70,52,35,26,9,34,90,37.8,56,83,29,54,44,114,129,3
Dortmund,19,5.0,66,40,27,28,11,30,63,47.6,33,55,13,42,34,100,95,4
Eint Frankfurt,22,5.0,67,38,36,21,10,30,68,44.1,38,82,34,48,38,105,147,1
Freiburg,24,5.0,71,54,36,27,8,34,67,50.7,33,48,12,36,51,122,77,3
Gladbach,20,5.0,94,53,54,28,12,47,77,61.0,30,62,20,42,50,144,112,2
Heidenheim,20,5.0,82,53,43,35,4,42,73,57.5,31,66,16,50,44,126,151,0
Hoffenheim,22,5.0,90,53,49,31,10,48,83,57.8,35,59,28,31,24,114,121,2
Holstein Kiel,22,5.0,84,47,51,22,11,41,82,50.0,41,55,26,29,47,131,133,3
Leverkusen,21,5.0,71,49,28,30,13,36,61,59.0,25,48,15,33,34,105,74,3
Mainz 05,20,5.0,75,37,35,28,12,25,51,49.0,26,60,26,34,43,118,170,3
RB Leipzig,20,5.0,92,56,37,44,11,42,76,55.3,34,65,23,42,43,135,108,3
St. Pauli,19,5.0,85,41,37,36,12,33,72,45.8,39,60,5,55,36,121,124,1
Stuttgart,21,5.0,61,33,23,24,14,30,56,53.6,26,59,15,44,45,106,95,1
Union Berlin,19,5.0,81,44,43,30,8,43,80,53.8,37,61,18,43,36,117,124,1
Werder Bremen,20,5.0,78,50,36,31,11,32,70,45.7,38,55,21,34,45,123,137,1
Wolfsburg,20,5.0,79,50,33,29,17,36,99,36.4,63,70,25,45,45,124,99,1
