Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Augsburg,23,5.0,142,28.4,93,24,2,15,7,1,12,2.4,10,1,1,0,0,0
Bayern Munich,21,5.0,166,33.2,118,14,17,10,6,1,23,4.6,15,0,4,2,1,1
Bochum,19,5.0,99,19.8,73,10,1,12,2,1,7,1.4,6,0,0,1,0,0
Dortmund,19,5.0,132,26.4,95,13,14,6,3,1,20,4.0,14,0,4,1,1,0
Eint Frankfurt,22,5.0,136,27.2,92,9,10,13,8,4,17,3.4,10,2,3,2,0,0
Freiburg,24,5.0,123,24.6,83,10,8,14,6,2,13,2.6,8,1,0,4,0,0
Gladbach,20,5.0,138,27.6,92,17,7,9,11,2,10,2.0,8,1,0,1,0,0
Heidenheim,20,5.0,92,18.4,65,12,5,5,5,0,18,3.6,12,4,0,1,1,0
Hoffenheim,22,5.0,112,22.4,81,11,8,6,5,1,17,3.4,13,0,2,1,1,0
Holstein Kiel,22,5.0,109,21.8,81,9,2,11,5,1,14,2.8,11,1,0,1,1,0
Leverkusen,21,5.0,172,34.4,119,14,12,19,6,2,23,4.6,9,3,3,6,1,1
Mainz 05,20,5.0,96,19.2,76,9,1,4,6,0,14,2.8,10,1,0,1,2,0
RB Leipzig,20,5.0,116,23.2,91,9,6,5,5,0,14,2.8,11,0,1,2,0,0
St. Pauli,19,5.0,105,21.0,69,11,9,8,8,0,6,1.2,2,1,2,1,0,0
Stuttgart,21,5.0,141,28.2,103,8,8,17,5,0,20,4.0,12,1,2,5,0,0
Union Berlin,19,5.0,95,19.0,59,14,3,10,6,3,7,1.4,3,1,1,2,0,0
Werder Bremen,20,5.0,96,19.2,75,5,3,10,3,0,14,2.8,13,0,0,0,1,0
Wolfsburg,20,5.0,94,18.8,67,10,4,4,7,2,16,3.2,8,2,1,0,4,1
