Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Augsburg,23,27.3,5,450,90,100,5.0,55,79,29,25,24,20,0.8,7,14,-7,-1.4,7.9,9.1,-1.2,-0.24
Bayern Munich,21,27.8,5,450,90,100,5.0,55,81,33,22,22,23,2.6,17,4,13,2.6,11.5,3.3,8.3,1.65
Bochum,19,27.9,5,450,90,100,5.0,55,81,32,23,22,22,0.2,5,11,-6,-1.2,4.5,12.8,-8.3,-1.65
Dortmund,19,27.2,5,450,90,100,5.0,55,79,30,24,24,20,2.0,11,9,2,0.4,8.8,8.1,0.6,0.13
Eint Frankfurt,22,25.4,5,450,90,100,5.0,55,82,30,25,18,20,2.4,11,6,5,1.0,10.8,6.9,3.9,0.78
Freiburg,24,27.2,5,450,90,100,5.0,55,80,30,25,21,20,1.8,8,7,1,0.2,9.4,4.5,4.8,0.97
Gladbach,20,27.0,5,450,90,100,5.0,55,83,32,23,16,22,1.2,6,8,-2,-0.4,8.7,8.9,-0.2,-0.04
Heidenheim,20,26.9,5,450,90,100,5.0,55,80,30,24,22,21,1.8,10,7,3,0.6,7.8,6.5,1.3,0.27
Hoffenheim,22,27.6,5,450,90,100,5.0,55,77,29,25,25,20,0.6,9,15,-6,-1.2,7.0,11.9,-4.9,-0.98
Holstein Kiel,22,26.6,5,450,90,100,5.0,55,79,31,24,25,21,0.2,7,17,-10,-2.0,5.8,10.5,-4.7,-0.94
Leverkusen,21,27.0,5,450,90,100,5.0,55,83,34,21,18,23,2.0,14,10,4,0.8,10.4,5.7,4.7,0.93
Mainz 05,20,27.9,5,450,90,100,5.0,55,79,30,23,20,22,1.0,8,10,-2,-0.4,6.1,9.7,-3.5,-0.71
RB Leipzig,20,26.0,5,450,90,100,5.0,55,81,29,25,19,20,2.2,8,2,6,1.2,7.4,6.2,1.2,0.24
St. Pauli,19,27.6,5,450,90,100,5.0,55,81,32,23,21,22,0.8,4,6,-2,-0.4,4.7,6.7,-2.0,-0.41
Stuttgart,21,25.3,5,450,90,100,5.0,55,80,29,25,21,20,1.6,14,10,4,0.8,11.6,7.7,3.8,0.77
Union Berlin,19,27.7,5,450,90,100,5.0,55,81,30,25,21,20,1.6,4,3,1,0.2,4.1,4.2,-0.1,-0.02
Werder Bremen,20,27.6,5,450,90,100,5.0,55,81,33,22,21,23,1.6,8,11,-3,-0.6,6.6,7.0,-0.4,-0.09
Wolfsburg,20,25.3,5,450,90,100,5.0,55,83,34,21,18,24,0.8,10,11,-1,-0.2,6.5,9.7,-3.3,-0.65
