Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Augsburg,23,53.6,5.0,2947,261,777,1344,850,149,2946,66,34,51.5,28,42.4,1460,7364,3770,73,62,13,100,31,1898,217
Bayern Munich,21,68.8,5.0,4391,228,1004,2315,1103,169,4389,129,65,50.4,58,45.0,2696,13532,6306,115,85,33,74,37,3413,311
Bochum,19,40.2,5.0,2450,387,897,1068,506,75,2450,59,22,37.3,32,54.2,1172,5554,2548,45,33,11,82,33,1315,130
Dortmund,19,59.2,5.0,3545,351,1026,1677,874,131,3543,104,51,49.0,44,42.3,1914,10306,5639,117,91,32,82,39,2575,241
Eint Frankfurt,22,42.2,5.0,2713,394,1007,1098,643,144,2712,100,46,46.0,47,47.0,1519,7715,3920,91,68,33,88,39,1678,161
Freiburg,24,50.4,5.0,2962,242,878,1399,709,115,2960,66,32,48.5,30,45.5,1608,9004,4626,71,57,20,76,28,1881,192
Gladbach,20,54.6,5.0,3485,412,1329,1443,732,124,3485,79,35,44.3,40,50.6,1910,8946,4589,87,62,23,58,32,2384,172
Heidenheim,20,41.6,5.0,2558,345,1061,1048,483,85,2556,74,32,43.2,38,51.4,1300,6648,3421,78,49,12,80,37,1429,117
Hoffenheim,22,45.8,5.0,2795,363,942,1178,698,96,2794,70,33,47.1,34,48.6,1649,8070,4163,72,57,24,50,40,1781,178
Holstein Kiel,22,46.6,5.0,2742,450,1274,1029,459,91,2741,55,29,52.7,22,40.0,1192,5545,2576,58,39,11,70,36,1631,128
Leverkusen,21,57.6,5.0,3641,298,869,1651,1141,162,3639,100,39,39.0,53,53.0,1725,9114,4949,104,79,32,70,45,2657,243
Mainz 05,20,45.0,5.0,2561,373,904,1045,625,86,2560,49,22,44.9,24,49.0,1118,5456,2449,55,32,5,65,45,1433,144
RB Leipzig,20,59.0,5.0,3698,321,1006,2055,668,111,3697,91,41,45.1,39,42.9,1868,8658,4413,81,50,22,66,51,2600,230
St. Pauli,19,47.0,5.0,2911,312,967,1364,610,109,2911,77,37,48.1,33,42.9,1262,6058,3027,55,41,19,73,48,1738,175
Stuttgart,21,61.4,5.0,3481,348,1168,1514,830,107,3480,73,43,58.9,25,34.2,1852,8379,3786,63,54,20,65,54,2454,208
Union Berlin,19,41.6,5.0,2647,303,946,1135,593,90,2647,68,29,42.6,36,52.9,1236,5779,2397,42,35,11,69,49,1476,134
Werder Bremen,20,47.6,5.0,2979,379,1097,1201,703,132,2978,62,26,41.9,31,50.0,1713,8319,4325,72,57,17,69,50,1948,186
Wolfsburg,20,37.8,5.0,2293,268,764,975,574,82,2292,62,27,43.5,33,53.2,1062,5194,2237,42,30,20,75,38,1212,131
