Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Augsburg,23,27.3,53.6,5,55,450,5.0,7,6,13,7,0,1,16,1,7.9,7.1,5.0,12.1,73,220,1.4,1.2,2.6,1.4,2.6,1.58,1.0,2.58,1.43,2.43
Bayern Munich,21,27.8,68.8,5,55,450,5.0,15,10,25,13,2,2,9,0,11.5,10.0,8.5,18.5,115,314,3.0,2.0,5.0,2.6,4.6,2.3,1.71,4.01,2.0,3.7
Bochum,19,27.9,40.2,5,55,450,5.0,5,3,8,5,0,0,11,0,4.5,4.5,3.1,7.7,45,131,1.0,0.6,1.6,1.0,1.6,0.91,0.62,1.53,0.91,1.53
Dortmund,19,27.2,59.2,5,55,450,5.0,11,9,20,9,2,2,14,1,8.8,7.3,6.4,13.7,117,242,2.2,1.8,4.0,1.8,3.6,1.76,1.29,3.04,1.46,2.75
Eint Frankfurt,22,25.4,42.2,5,55,450,5.0,11,9,20,10,1,1,7,0,10.8,10.0,9.2,19.3,91,161,2.2,1.8,4.0,2.0,3.8,2.17,1.85,4.01,2.01,3.86
Freiburg,24,27.2,50.4,5,55,450,5.0,8,5,13,8,0,2,6,0,9.4,7.9,5.2,13.1,71,194,1.6,1.0,2.6,1.6,2.6,1.88,1.03,2.91,1.58,2.61
Gladbach,20,27.0,54.6,5,55,450,5.0,6,4,10,6,0,0,7,0,8.7,8.7,6.8,15.5,87,172,1.2,0.8,2.0,1.2,2.0,1.73,1.36,3.09,1.73,3.09
Heidenheim,20,26.9,41.6,5,55,450,5.0,10,7,17,8,2,2,11,1,7.8,6.2,5.7,11.9,78,119,2.0,1.4,3.4,1.6,3.0,1.56,1.13,2.69,1.24,2.38
Hoffenheim,22,27.6,45.8,5,55,450,5.0,9,5,14,8,1,1,13,1,7.0,6.2,4.6,10.9,72,180,1.8,1.0,2.8,1.6,2.6,1.4,0.93,2.33,1.25,2.17
Holstein Kiel,22,26.6,46.6,5,55,450,5.0,7,5,12,6,1,1,9,1,5.8,5.0,4.0,9.0,58,129,1.4,1.0,2.4,1.2,2.2,1.17,0.8,1.97,1.01,1.81
Leverkusen,21,27.0,57.6,5,55,450,5.0,14,8,22,13,1,2,12,0,10.4,8.6,6.7,15.4,104,246,2.8,1.6,4.4,2.6,4.2,2.07,1.35,3.42,1.73,3.08
Mainz 05,20,27.9,45.0,5,55,450,5.0,8,4,12,7,1,1,14,2,6.1,5.3,4.0,9.3,55,144,1.6,0.8,2.4,1.4,2.2,1.23,0.8,2.02,1.07,1.87
RB Leipzig,20,26.0,59.0,5,55,450,5.0,8,7,15,8,0,1,6,1,7.4,6.6,6.2,12.8,81,230,1.6,1.4,3.0,1.6,3.0,1.48,1.24,2.71,1.32,2.55
St. Pauli,19,27.6,47.0,5,55,450,5.0,4,4,8,4,0,0,11,0,4.7,4.7,4.1,8.8,55,175,0.8,0.8,1.6,0.8,1.6,0.94,0.82,1.75,0.94,1.75
Stuttgart,21,25.3,61.4,5,55,450,5.0,14,9,23,14,0,1,10,1,11.6,10.7,6.9,17.6,63,208,2.8,1.8,4.6,2.8,4.6,2.32,1.38,3.7,2.14,3.52
Union Berlin,19,27.7,41.6,5,55,450,5.0,4,2,6,4,0,0,13,0,4.1,4.1,2.3,6.5,42,135,0.8,0.4,1.2,0.8,1.2,0.82,0.47,1.29,0.82,1.29
Werder Bremen,20,27.6,47.6,5,55,450,5.0,8,6,14,7,1,1,7,1,6.6,6.2,4.2,10.4,72,186,1.6,1.2,2.8,1.4,2.6,1.31,0.85,2.16,1.23,2.08
Wolfsburg,20,25.3,37.8,5,55,450,5.0,9,7,16,8,1,1,20,1,6.5,5.7,4.5,10.2,42,131,1.8,1.4,3.2,1.6,3.0,1.3,0.9,2.2,1.14,2.04
