Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alavés,24,8.0,165,20.62,113,17,6,8,15,6,19,2.37,14,1,1,2,1,0
Athletic Club,26,8.0,133,16.62,96,12,8,8,5,4,22,2.75,15,2,1,2,2,0
Atlético Madrid,21,8.0,176,22.0,139,12,10,9,3,3,22,2.75,18,0,2,1,0,1
Barcelona,22,8.0,242,30.25,177,17,15,17,14,2,40,5.0,30,1,3,3,3,0
Betis,24,8.0,222,27.75,173,15,11,16,4,3,14,1.75,9,1,0,3,0,1
Celta Vigo,23,8.0,162,20.25,117,11,13,10,10,1,23,2.87,17,0,2,2,2,0
Espanyol,21,8.0,138,17.25,96,16,7,8,9,2,12,1.5,6,1,1,2,2,0
Getafe,22,8.0,175,21.87,107,28,18,8,13,1,9,1.13,1,3,1,2,2,0
Girona,23,8.0,148,18.5,117,12,6,6,4,3,17,2.12,14,0,2,1,0,0
Las Palmas,26,7.0,147,21.0,109,14,11,7,6,0,14,2.0,12,0,1,0,1,0
Leganés,23,8.0,119,14.87,74,12,9,7,9,8,10,1.25,6,1,1,0,1,1
Mallorca,22,8.0,157,19.62,112,21,8,12,3,1,12,1.5,8,2,0,1,0,1
Osasuna,22,8.0,138,17.25,93,20,8,9,7,1,16,2.0,8,0,3,2,2,1
Rayo Vallecano,22,8.0,151,18.87,106,16,12,6,8,3,13,1.62,9,0,2,1,0,1
Real Madrid,19,8.0,263,32.87,194,22,18,20,7,2,29,3.62,16,2,5,3,3,0
Real Sociedad,26,8.0,140,17.5,101,14,8,8,6,3,12,1.5,11,0,1,0,0,0
Sevilla,25,8.0,200,25.0,136,17,21,15,9,2,8,1.0,8,0,0,0,0,0
Valencia,23,8.0,132,16.5,90,17,8,8,7,2,8,1.0,6,0,0,1,0,1
Valladolid,25,8.0,138,17.25,98,13,5,8,9,5,6,0.75,6,0,0,0,0,0
Villarreal,22,7.0,176,25.14,135,12,8,10,8,3,22,3.14,18,1,0,2,1,0
