Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,1,8,8,720,8.0,12,1.5,32,20,68.8,3,1,4,2,25.0,2,2,0,0,0.0
Athletic Club,2,8,8,717,8.0,8,1.0,24,17,70.8,4,2,2,2,25.0,1,1,0,0,0.0
Atlético Madrid,2,8,8,720,8.0,4,0.5,22,19,81.8,4,4,0,5,62.5,0,0,0,0,
Barcelona,2,8,8,720,8.0,9,1.13,22,13,68.2,7,0,1,2,25.0,2,2,0,0,0.0
Betis,1,8,8,720,8.0,7,0.87,24,17,75.0,3,3,2,3,37.5,1,1,0,0,0.0
Celta Vigo,2,8,8,720,8.0,15,1.87,31,17,51.6,3,1,4,0,0.0,1,0,1,0,100.0
Espanyol,1,8,8,720,8.0,12,1.5,51,38,78.4,2,1,5,1,12.5,2,1,1,0,50.0
Getafe,1,8,8,720,8.0,6,0.75,22,16,77.3,1,4,3,3,37.5,1,1,0,0,0.0
Girona,1,8,8,720,8.0,11,1.37,28,17,60.7,2,3,3,3,37.5,0,0,0,0,
Las Palmas,1,7,7,630,7.0,13,1.86,36,23,69.4,0,3,4,0,0.0,4,2,1,1,33.3
Leganés,2,8,8,720,8.0,9,1.13,35,27,77.1,1,4,3,1,12.5,1,1,0,0,0.0
Mallorca,2,8,8,720,8.0,6,0.75,35,29,82.9,4,2,2,3,37.5,0,0,0,0,
Osasuna,1,8,8,720,8.0,13,1.62,35,23,62.9,4,2,2,2,25.0,0,0,0,0,
Rayo Vallecano,2,8,8,720,8.0,8,1.0,23,15,65.2,2,4,2,2,25.0,0,0,0,0,
Real Madrid,1,8,8,720,8.0,6,0.75,19,14,68.4,5,3,0,3,37.5,0,0,0,0,
Real Sociedad,1,8,8,720,8.0,7,0.87,29,22,89.7,2,2,4,4,50.0,4,4,0,0,0.0
Sevilla,1,8,8,720,8.0,10,1.25,34,25,73.5,2,3,3,2,25.0,1,1,0,0,0.0
Valencia,1,8,8,720,8.0,13,1.62,32,18,62.5,1,2,5,2,25.0,2,1,1,0,50.0
Valladolid,1,8,8,720,8.0,17,2.12,46,30,63.0,1,2,5,3,37.5,0,0,0,0,
Villarreal,1,7,7,630,7.0,14,2.0,38,25,63.2,4,2,1,0,0.0,1,0,0,1,
