Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alavés,24,41.8,8.0,3593,359,1095,1556,977,161,3591,100,36,36.0,55,55.0,1781,9990,5089,103,75,19,118,51,1869,225
Athletic Club,26,46.0,8.0,4388,441,1264,2123,1035,125,4387,160,71,44.4,79,49.4,2253,12500,6642,117,83,31,118,84,2717,305
Atlético Madrid,21,50.1,8.0,5266,526,1789,2377,1143,164,5266,104,50,48.1,46,44.2,3077,15208,7748,136,109,32,104,47,3703,326
Barcelona,22,66.0,8.0,5835,422,1466,2839,1580,239,5833,199,93,46.7,81,40.7,3228,17239,9444,161,123,44,114,68,4286,438
Betis,24,53.6,8.0,5175,444,1583,2306,1335,234,5173,142,68,47.9,66,46.5,3045,15241,7783,133,100,45,130,80,3486,353
Celta Vigo,23,55.5,8.0,5471,468,1567,2755,1195,183,5469,118,53,44.9,58,49.2,3587,17628,9371,152,112,48,102,66,4021,359
Espanyol,21,42.6,8.0,4069,602,1613,1787,706,118,4068,110,39,35.5,58,52.7,2068,11633,5952,88,62,24,114,47,2449,209
Getafe,22,42.1,8.0,3509,341,1051,1517,988,148,3507,148,60,40.5,77,52.0,1507,7964,3900,86,65,28,155,82,1571,196
Girona,23,57.9,8.0,5625,518,1695,2613,1358,169,5624,146,70,47.9,64,43.8,3439,18299,9084,145,125,41,119,80,4137,396
Las Palmas,26,57.3,7.0,4696,523,1649,2232,833,124,4696,101,47,46.5,45,44.6,2726,13334,6855,99,86,17,106,52,3193,250
Leganés,23,43.1,8.0,4182,501,1669,1815,735,97,4181,118,58,49.2,49,41.5,2028,9783,4668,78,77,21,117,60,2377,202
Mallorca,22,45.0,8.0,4322,530,1485,1839,1059,140,4321,116,54,46.6,54,46.6,2157,11956,5826,113,97,19,104,72,2616,254
Osasuna,22,43.4,8.0,3994,451,1290,1745,994,139,3992,123,58,47.2,56,45.5,1786,9983,4851,112,78,31,111,73,2246,233
Rayo Vallecano,22,47.1,8.0,4223,496,1521,1750,998,132,4223,117,52,44.4,56,47.9,1999,10312,4983,106,75,33,133,68,2431,270
Real Madrid,19,61.0,8.0,6148,487,1572,2865,1752,272,6143,190,94,49.5,85,44.7,3888,21519,11562,209,140,79,118,68,4628,470
Real Sociedad,26,58.1,8.0,4878,532,1610,2226,1080,165,4878,116,48,41.4,58,50.0,2563,14894,7793,147,85,35,104,75,3172,302
Sevilla,25,56.9,8.0,5021,495,1733,2240,1101,158,5021,177,87,49.2,73,41.2,2727,14262,7173,141,102,38,119,93,3304,260
Valencia,23,45.9,8.0,4395,439,1400,1971,1077,119,4395,131,48,36.6,70,53.4,2143,11466,5980,115,83,27,123,63,2737,266
Valladolid,25,43.8,8.0,4074,531,1605,1670,843,141,4074,131,64,48.9,52,39.7,1961,10878,5378,99,68,29,94,74,2508,238
Villarreal,22,42.9,7.0,3808,491,1391,1573,873,157,3807,110,48,43.6,47,42.7,1989,11126,5800,119,79,31,99,56,2433,254
