Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,24,8.0,11,92,26,28.3,11.5,3.25,0.11,0.38,17.0,4,1,2,9.8,8.2,0.09,1.2,1.8
Athletic Club,26,8.0,12,77,28,36.4,9.62,3.5,0.14,0.39,17.6,1,1,1,8.5,7.7,0.11,3.5,3.3
Atlético Madrid,21,8.0,12,98,34,34.7,12.25,4.25,0.12,0.35,16.2,2,0,0,11.8,11.8,0.12,0.2,0.2
Barcelona,22,8.0,25,138,54,39.1,17.25,6.75,0.17,0.44,17.5,6,1,2,19.6,18.1,0.13,5.4,5.9
Betis,24,8.0,8,123,41,33.3,15.37,5.12,0.06,0.17,17.4,1,1,2,13.3,11.9,0.1,-5.3,-4.9
Celta Vigo,23,8.0,14,90,37,41.1,11.25,4.62,0.14,0.35,16.2,6,1,2,11.6,10.0,0.11,2.4,3.0
Espanyol,21,8.0,6,76,16,21.1,9.5,2.0,0.07,0.31,18.5,4,1,1,7.2,6.4,0.09,-1.2,-1.4
Getafe,22,8.0,5,99,23,23.2,12.38,2.87,0.03,0.13,21.2,4,2,2,7.8,6.3,0.06,-2.8,-3.3
Girona,23,8.0,9,83,26,31.3,10.37,3.25,0.1,0.31,16.6,1,1,1,11.1,10.3,0.13,-2.1,-2.3
Las Palmas,26,7.0,7,78,31,39.7,11.14,4.43,0.09,0.23,17.8,3,0,0,7.0,7.0,0.09,0.0,0.0
Leganés,23,8.0,5,71,19,26.8,8.87,2.37,0.07,0.26,20.5,4,0,1,5.4,4.6,0.07,-0.4,0.4
Mallorca,22,8.0,7,88,32,36.4,11.0,4.0,0.07,0.19,16.6,0,1,1,8.2,7.5,0.09,-1.2,-1.5
Osasuna,22,8.0,10,78,25,32.1,9.75,3.12,0.1,0.32,17.3,1,2,2,8.2,6.6,0.09,1.8,1.4
Rayo Vallecano,22,8.0,9,90,29,32.2,11.25,3.62,0.1,0.31,20.9,4,0,0,7.7,7.7,0.09,1.3,1.3
Real Madrid,19,8.0,17,141,52,36.9,17.62,6.5,0.09,0.23,17.9,4,5,5,16.4,12.9,0.09,0.6,-0.9
Real Sociedad,26,8.0,6,79,24,30.4,9.87,3.0,0.08,0.25,17.3,3,0,0,9.3,9.3,0.12,-3.3,-3.3
Sevilla,25,8.0,5,119,38,31.9,14.87,4.75,0.04,0.13,19.3,5,0,0,10.1,10.1,0.09,-5.1,-5.1
Valencia,23,8.0,5,75,20,26.7,9.37,2.5,0.07,0.25,18.6,0,0,0,5.1,5.1,0.07,-0.1,-0.1
Valladolid,25,8.0,4,78,11,14.1,9.75,1.37,0.05,0.36,18.4,2,0,0,6.2,6.2,0.08,-2.2,-2.2
Villarreal,22,7.0,12,98,31,31.6,14.0,4.43,0.12,0.39,16.0,3,0,1,11.2,10.3,0.11,0.8,1.7
