Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alavés,24,27.1,41.8,8,88,720,8.0,11,6,17,10,1,2,20,1,9.8,8.2,5.1,13.3,103,228,1.37,0.75,2.12,1.25,2.0,1.23,0.63,1.86,1.03,1.66
Athletic Club,26,27.2,46.0,8,88,720,8.0,12,10,22,11,1,1,18,2,8.5,7.7,5.9,13.6,117,311,1.5,1.25,2.75,1.37,2.62,1.06,0.74,1.8,0.96,1.7
Atlético Madrid,21,29.2,50.1,8,88,720,8.0,12,10,22,12,0,0,11,1,11.8,11.8,9.6,21.4,136,328,1.5,1.25,2.75,1.5,2.75,1.48,1.2,2.68,1.48,2.68
Barcelona,22,24.9,66.0,8,88,720,8.0,25,18,43,24,1,2,14,1,19.6,18.1,14.6,32.6,161,440,3.12,2.25,5.37,3.0,5.25,2.46,1.82,4.28,2.26,4.08
Betis,24,27.9,53.6,8,88,720,8.0,8,5,13,7,1,2,17,0,13.3,11.9,9.4,21.2,133,360,1.0,0.62,1.62,0.87,1.5,1.66,1.17,2.84,1.48,2.66
Celta Vigo,23,26.7,55.5,8,88,720,8.0,14,9,23,13,1,2,16,1,11.6,10.0,8.1,18.1,152,360,1.75,1.13,2.87,1.62,2.75,1.45,1.01,2.46,1.25,2.26
Espanyol,21,25.5,42.6,8,88,720,8.0,6,5,11,5,1,1,23,0,7.2,6.4,5.2,11.6,88,210,0.75,0.62,1.37,0.62,1.25,0.9,0.65,1.55,0.8,1.45
Getafe,22,27.2,42.1,8,88,720,8.0,5,2,7,3,2,2,19,0,7.8,6.3,5.1,11.4,86,200,0.62,0.25,0.87,0.37,0.62,0.98,0.64,1.62,0.79,1.43
Girona,23,27.4,57.9,8,88,720,8.0,9,7,16,8,1,1,13,0,11.1,10.3,8.0,18.3,145,399,1.13,0.87,2.0,1.0,1.87,1.39,1.0,2.39,1.29,2.29
Las Palmas,26,27.8,57.3,7,77,630,7.0,7,6,13,7,0,0,13,0,7.0,7.0,6.0,12.9,99,252,1.0,0.86,1.86,1.0,1.86,0.99,0.85,1.85,0.99,1.85
Leganés,23,27.9,43.1,8,88,720,8.0,5,5,10,5,0,1,17,0,5.4,4.6,3.4,8.0,78,203,0.62,0.62,1.25,0.62,1.25,0.68,0.42,1.1,0.58,1.0
Mallorca,22,28.8,45.0,8,88,720,8.0,7,5,12,6,1,1,14,1,8.2,7.5,5.2,12.7,113,259,0.87,0.62,1.5,0.75,1.37,1.03,0.65,1.68,0.93,1.58
Osasuna,22,27.6,43.4,8,88,720,8.0,10,5,15,8,2,2,16,0,8.2,6.6,5.6,12.2,112,237,1.25,0.62,1.87,1.0,1.62,1.02,0.7,1.72,0.82,1.52
Rayo Vallecano,22,29.3,47.1,8,88,720,8.0,9,8,17,9,0,0,20,0,7.7,7.7,6.0,13.7,106,272,1.13,1.0,2.12,1.13,2.12,0.96,0.75,1.71,0.96,1.71
Real Madrid,19,27.7,61.0,8,88,720,8.0,17,11,28,12,5,5,15,1,16.4,12.9,10.7,23.6,209,476,2.12,1.37,3.5,1.5,2.87,2.05,1.34,3.39,1.61,2.95
Real Sociedad,26,25.8,58.1,8,88,720,8.0,6,5,11,6,0,0,18,1,9.3,9.3,7.3,16.6,147,307,0.75,0.62,1.37,0.75,1.37,1.16,0.91,2.07,1.16,2.07
Sevilla,25,26.6,56.9,8,88,720,8.0,5,4,9,5,0,0,24,3,10.1,10.1,6.5,16.5,141,264,0.62,0.5,1.13,0.62,1.13,1.26,0.81,2.07,1.26,2.07
Valencia,23,24.4,45.9,8,88,720,8.0,5,4,9,5,0,0,15,0,5.1,5.1,4.4,9.5,115,269,0.62,0.5,1.13,0.62,1.13,0.64,0.55,1.19,0.64,1.19
Valladolid,25,25.8,43.8,8,88,720,8.0,4,4,8,4,0,0,23,1,6.2,6.2,4.7,10.8,99,242,0.5,0.5,1.0,0.5,1.0,0.77,0.58,1.35,0.77,1.35
Villarreal,22,27.9,42.9,7,77,630,7.0,12,10,22,12,0,1,27,1,11.2,10.3,8.9,19.2,119,256,1.71,1.43,3.14,1.71,3.14,1.61,1.27,2.88,1.47,2.74
