Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Angers,1,6.0,12,0,0,1,0,12.1,0.34,0.1,0.02,26,68,38.2,147,34,36.7,33.9,36,38.9,33.4,69,7,10.1,6,1.0,11.8
Auxerre,1,6.0,12,1,0,3,1,9.8,0.29,-1.2,-0.2,44,121,36.4,179,26,58.1,41.4,31,54.8,45.5,102,6,5.9,9,1.5,14.8
Brest,1,6.0,13,3,0,0,1,9.1,0.23,-2.9,-0.48,51,124,41.1,172,16,50.0,38.5,50,76.0,54.5,82,4,4.9,2,0.33,10.9
Le Havre,1,6.0,13,1,1,0,0,15.2,0.38,2.2,0.36,17,50,34.0,138,33,26.8,30.7,37,35.1,35.0,76,5,6.6,2,0.33,10.1
Lens,1,6.0,2,1,0,1,0,4.1,0.16,2.1,0.35,34,78,43.6,162,23,38.9,33.9,40,37.5,31.5,74,11,14.9,5,0.83,10.3
Lille,1,6.0,7,1,0,0,0,8.1,0.28,1.1,0.18,14,34,41.2,127,22,25.2,28.4,27,7.4,20.3,38,4,10.5,3,0.5,15.6
Lyon,1,6.0,12,0,1,1,0,12.3,0.36,0.3,0.04,18,65,27.7,140,33,38.6,34.7,40,27.5,32.7,74,8,10.8,10,1.67,16.5
Marseille,1,6.0,7,0,0,2,0,8.1,0.25,1.1,0.19,22,71,31.0,202,32,25.7,27.9,44,43.2,32.0,95,7,7.4,13,2.17,17.0
Monaco,1,6.0,3,1,0,0,0,3.6,0.18,0.6,0.11,16,47,34.0,126,20,27.8,30.3,42,28.6,29.9,61,5,8.2,8,1.33,14.9
Montpellier,2,6.0,17,1,0,0,0,12.2,0.32,-4.8,-0.79,40,98,40.8,145,20,50.3,37.2,58,43.1,33.4,75,10,13.3,6,1.0,15.7
Nantes,1,6.0,6,2,0,1,0,4.7,0.17,-1.3,-0.21,19,62,30.6,118,26,31.4,34.3,35,71.4,51.9,108,8,7.4,1,0.17,8.8
Nice,1,6.0,6,1,0,1,0,8.6,0.28,2.6,0.43,17,41,41.5,169,32,17.8,26.2,48,22.9,24.6,73,9,12.3,4,0.67,10.7
Paris S-G,2,6.0,5,2,0,0,0,4.3,0.16,-0.7,-0.11,12,45,26.7,156,28,20.5,26.1,31,41.9,32.7,55,2,3.6,8,1.33,15.2
Reims,1,6.0,8,0,0,2,0,10.3,0.32,2.3,0.38,20,85,23.5,186,21,32.8,33.5,52,46.2,36.2,93,5,5.4,3,0.5,11.8
Rennes,1,6.0,9,0,0,1,1,7.3,0.25,-0.7,-0.11,27,77,35.1,141,24,42.6,35.0,38,44.7,36.2,68,3,4.4,2,0.33,9.7
Saint-Étienne,1,6.0,17,4,0,2,1,13.7,0.29,-2.3,-0.39,29,98,29.6,161,25,43.5,36.1,52,53.8,39.2,100,3,3.0,5,0.83,13.0
Strasbourg,2,6.0,10,2,0,0,0,10.3,0.26,0.3,0.06,18,65,27.7,228,26,23.7,23.9,46,23.9,23.7,100,6,6.0,5,0.83,11.1
Toulouse,1,6.0,8,0,0,0,2,3.8,0.21,-2.2,-0.37,22,57,38.6,142,19,26.8,27.9,40,47.5,36.6,76,2,2.6,3,0.5,13.4
