Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Angers,23,6.0,99,16.5,76,6,4,3,6,4,8,1.33,6,0,0,0,2,0
Auxerre,23,6.0,135,22.5,106,8,3,6,8,4,14,2.33,8,1,1,2,2,0
Brest,24,6.0,109,18.17,69,16,5,4,10,5,13,2.17,9,0,0,2,2,0
Le Havre,21,6.0,109,18.17,68,12,10,4,11,4,11,1.83,6,2,0,0,3,0
Lens,22,6.0,155,25.83,115,16,7,11,5,1,7,1.17,6,0,0,1,0,0
Lille,22,6.0,161,26.83,130,7,7,10,6,1,19,3.17,14,0,1,3,1,0
Lyon,25,6.0,127,21.17,94,10,10,9,3,1,11,1.83,7,0,1,3,0,0
Marseille,24,6.0,125,20.83,98,6,5,10,5,1,26,4.33,22,0,1,1,2,0
Monaco,22,6.0,186,31.0,140,16,11,12,5,2,22,3.67,15,2,1,2,0,2
Montpellier,25,6.0,109,18.17,81,9,3,5,7,4,11,1.83,6,1,1,2,1,0
Nantes,22,6.0,129,21.5,83,17,16,9,3,1,16,2.67,12,0,3,1,0,0
Nice,24,6.0,136,22.67,90,14,10,8,11,3,22,3.67,12,2,3,4,1,0
Paris S-G,22,6.0,202,33.67,157,12,15,9,6,3,38,6.33,32,1,1,2,2,0
Reims,22,6.0,113,18.83,82,8,7,8,4,4,17,2.83,11,1,2,3,0,0
Rennes,21,6.0,143,23.83,91,18,9,10,8,7,18,3.0,8,4,2,1,3,0
Saint-Étienne,27,6.0,100,16.67,66,7,10,7,7,3,6,1.0,4,0,1,0,1,0
Strasbourg,22,6.0,125,20.83,89,12,4,8,8,4,20,3.33,16,0,0,2,1,1
Toulouse,22,6.0,115,19.17,67,19,8,7,11,3,9,1.5,7,0,1,0,0,1
