Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Angers,1,6,6,540,6.0,12,2.0,36,24,66.7,0,2,4,0,0.0,0,0,0,0,
Auxerre,1,6,6,540,6.0,12,2.0,32,21,65.6,2,0,4,1,16.7,1,1,0,0,0.0
Brest,1,6,6,540,6.0,13,2.17,28,16,64.3,2,0,4,2,33.3,4,3,0,1,0.0
Le Havre,1,6,6,540,6.0,13,2.17,37,23,67.6,2,0,4,1,16.7,2,1,1,0,50.0
Lens,1,6,6,540,6.0,2,0.33,21,19,95.2,2,4,0,4,66.7,1,1,0,0,0.0
Lille,1,6,6,540,6.0,7,1.17,27,20,77.8,3,1,2,3,50.0,1,1,0,0,0.0
Lyon,1,6,6,540,6.0,12,2.0,34,22,64.7,2,1,3,1,16.7,0,0,0,0,
Marseille,1,6,6,540,6.0,7,1.17,29,20,75.9,4,1,1,1,16.7,2,0,2,0,100.0
Monaco,1,6,6,540,6.0,3,0.5,15,12,86.7,5,1,0,3,50.0,1,1,0,0,0.0
Montpellier,2,6,6,540,6.0,17,2.83,36,19,55.6,1,1,4,0,0.0,1,1,0,0,0.0
Nantes,1,6,6,540,6.0,6,1.0,21,15,81.0,2,3,1,2,33.3,2,2,0,0,0.0
Nice,1,6,6,540,6.0,6,1.0,30,24,83.3,2,2,2,2,33.3,1,1,0,0,0.0
Paris S-G,2,6,6,540,6.0,5,0.83,18,13,83.3,5,1,0,1,16.7,2,2,0,0,0.0
Reims,1,6,6,540,6.0,8,1.33,34,26,76.5,3,2,1,0,0.0,0,0,0,0,
Rennes,1,6,6,540,6.0,9,1.5,27,18,66.7,2,1,3,2,33.3,1,0,1,0,100.0
Saint-Étienne,1,6,6,540,6.0,17,2.83,38,22,65.8,1,1,4,1,16.7,4,4,0,0,0.0
Strasbourg,2,6,6,540,6.0,10,1.67,34,24,76.5,2,3,1,1,16.7,2,2,0,0,0.0
Toulouse,1,6,6,540,6.0,8,1.33,18,12,55.6,1,2,3,2,33.3,0,0,0,0,
