Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Angers,23,6.0,11,0,0,78,71,11,109,64,83,2,0,0,262,70,76,47.9
Auxerre,23,6.0,15,2,1,79,74,7,120,57,66,0,1,1,250,74,86,46.3
Brest,24,6.0,11,0,0,75,78,7,103,66,77,3,4,1,263,92,87,51.4
Le Havre,21,6.0,13,0,0,70,64,12,85,63,70,2,2,0,254,71,75,48.6
Lens,22,6.0,13,2,1,93,59,18,129,56,60,0,1,0,292,105,69,60.3
Lille,22,6.0,10,0,0,68,67,16,115,40,67,2,1,0,280,57,52,52.3
Lyon,25,6.0,12,0,0,85,56,17,121,58,66,1,0,0,263,51,75,40.5
Marseille,24,6.0,13,2,2,66,71,12,54,47,58,2,2,0,237,56,41,57.7
Monaco,22,6.0,10,1,1,76,95,15,96,55,92,0,1,0,321,75,61,55.1
Montpellier,25,6.0,19,1,1,84,84,11,125,52,72,1,1,0,254,60,72,45.5
Nantes,22,6.0,16,1,0,75,58,7,125,39,77,0,2,0,226,79,82,49.1
Nice,24,6.0,12,1,1,60,92,13,90,53,73,1,1,0,252,50,68,42.4
Paris S-G,22,6.0,7,0,0,54,68,12,88,38,65,2,2,0,287,41,36,53.2
Reims,22,6.0,11,1,0,55,64,5,83,44,80,0,0,0,260,46,66,41.1
Rennes,21,6.0,13,0,0,84,66,7,85,54,63,1,1,1,265,69,65,51.5
Saint-Étienne,27,6.0,13,0,0,91,58,13,66,51,62,1,4,1,242,61,80,43.3
Strasbourg,22,6.0,15,0,0,73,83,8,69,54,64,0,2,0,250,69,55,55.6
Toulouse,22,6.0,10,1,0,85,75,5,106,48,71,1,0,2,282,92,72,56.1
