Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Angers,23,6.0,2227,2789,79.8,37735,13930,1051,1186,88.6,956,1120,85.4,172,350,49.1,2,3.2,3.7,-1.2,40,165,36,10,208
Auxerre,23,6.0,2155,2740,78.6,38970,14770,928,1068,86.9,948,1093,86.7,221,428,51.6,5,6.3,5.7,-1.3,57,164,45,18,243
Brest,24,6.0,2096,2704,77.5,39388,15337,919,1077,85.3,879,1045,84.1,256,478,53.6,3,3.1,4.5,-0.1,48,150,33,12,164
Le Havre,21,6.0,1823,2343,77.8,32003,12161,813,944,86.1,819,956,85.7,153,326,46.9,4,3.9,3.9,0.1,44,140,35,12,200
Lens,22,6.0,2341,2988,78.3,38506,15545,1183,1357,87.2,883,1048,84.3,199,376,52.9,2,6.7,8.0,-4.7,66,179,69,18,261
Lille,22,6.0,3265,3799,85.9,56628,17602,1490,1629,91.5,1479,1624,91.1,248,385,64.4,7,7.9,8.6,-0.9,66,274,75,13,337
Lyon,25,6.0,2304,2873,80.2,38999,14781,1078,1217,88.6,962,1116,86.2,198,361,54.8,4,5.4,9.1,-1.4,54,222,63,12,273
Marseille,24,6.0,3114,3589,86.8,49823,16910,1572,1675,93.9,1314,1446,90.9,157,315,49.8,8,4.1,4.0,3.9,48,195,39,8,187
Monaco,22,6.0,2703,3283,82.3,44009,17138,1334,1500,88.9,1117,1283,87.1,177,340,52.1,11,11.6,10.7,-0.6,86,207,63,10,287
Montpellier,25,6.0,2060,2612,78.9,38277,14546,880,992,88.7,867,1001,86.6,262,486,53.9,4,4.1,3.6,-0.1,47,170,29,11,208
Nantes,22,6.0,2183,2724,80.1,38948,14546,959,1074,89.3,969,1122,86.4,211,398,53.0,6,5.3,5.5,0.7,53,187,48,17,226
Nice,24,6.0,2487,2975,83.6,40624,15251,1240,1363,91.0,1046,1188,88.0,155,302,51.3,8,6.3,5.4,1.7,49,154,39,7,212
Paris S-G,22,6.0,4106,4537,90.5,67017,19679,1970,2088,94.3,1754,1862,94.2,277,395,70.1,16,14.2,11.4,1.8,95,309,72,11,355
Reims,22,6.0,1962,2452,80.0,34297,13181,900,998,90.2,827,961,86.1,181,368,49.2,5,4.5,4.5,0.5,46,125,41,10,183
Rennes,21,6.0,1993,2528,78.8,36344,14141,825,948,87.0,915,1078,84.9,211,377,56.0,6,4.2,5.2,1.8,58,167,59,10,233
Saint-Étienne,27,6.0,1915,2420,79.1,34922,13071,824,943,87.4,870,1009,86.2,190,380,50.0,2,2.1,2.6,-0.1,38,149,30,7,174
Strasbourg,22,6.0,2318,2833,81.8,40454,14964,997,1136,87.8,1093,1244,87.9,183,349,52.4,8,8.4,5.8,-0.4,53,141,31,10,162
Toulouse,22,6.0,2130,2739,77.8,37454,14401,957,1126,85.0,948,1116,84.9,186,363,51.2,5,6.3,5.0,-1.3,49,162,34,5,236
