Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Angers,23,6.0,4,56,16,28.6,9.33,2.67,0.04,0.13,20.2,2,2,2,5.3,3.7,0.07,-1.3,-1.7
Auxerre,23,6.0,8,73,24,32.9,12.17,4.0,0.1,0.29,17.7,3,1,1,7.8,7.1,0.1,0.2,-0.1
Brest,24,6.0,8,60,25,41.7,10.0,4.17,0.08,0.2,17.5,1,3,4,7.5,4.4,0.07,0.5,0.6
Le Havre,21,6.0,6,59,21,35.6,9.83,3.5,0.07,0.19,20.5,1,2,2,6.5,4.9,0.08,-0.5,-0.9
Lens,22,6.0,4,85,28,32.9,14.17,4.67,0.04,0.11,16.4,2,1,1,9.9,9.1,0.11,-5.9,-6.1
Lille,22,6.0,11,89,35,39.3,14.83,5.83,0.11,0.29,16.9,2,1,2,11.3,10.1,0.12,-0.3,-0.1
Lyon,25,6.0,7,69,24,34.8,11.5,4.0,0.1,0.29,16.1,0,0,2,9.0,7.2,0.11,-2.0,-0.2
Marseille,24,6.0,14,67,29,43.3,11.17,4.83,0.18,0.41,18.3,2,2,2,8.2,6.6,0.1,5.8,5.4
Monaco,22,6.0,12,104,34,32.7,17.33,5.67,0.12,0.35,15.6,1,0,0,13.8,13.8,0.14,-1.8,-1.8
Montpellier,25,6.0,6,60,22,36.7,10.0,3.67,0.08,0.23,19.1,4,1,1,6.1,5.4,0.09,-0.1,-0.4
Nantes,22,6.0,9,70,22,31.4,11.67,3.67,0.11,0.36,16.2,1,1,1,7.3,6.5,0.1,1.7,1.5
Nice,24,6.0,13,78,32,41.0,13.0,5.33,0.15,0.38,15.3,6,1,1,11.9,11.2,0.16,1.1,0.8
Paris S-G,22,6.0,20,107,45,42.1,17.83,7.5,0.17,0.4,15.8,4,2,2,16.7,15.1,0.14,3.3,2.9
Reims,22,6.0,10,66,25,37.9,11.0,4.17,0.15,0.4,18.3,1,0,0,6.0,6.0,0.09,4.0,4.0
Rennes,21,6.0,10,81,33,40.7,13.5,5.5,0.1,0.24,17.7,2,2,2,7.9,6.5,0.08,2.1,1.5
Saint-Étienne,27,6.0,3,58,18,31.0,9.67,3.0,0.03,0.11,19.3,2,1,1,4.3,3.5,0.06,-1.3,-1.5
Strasbourg,22,6.0,11,73,37,50.7,12.17,6.17,0.15,0.3,15.4,3,0,0,11.1,11.1,0.16,-0.1,-0.1
Toulouse,22,6.0,5,65,21,32.3,10.83,3.5,0.08,0.24,15.5,1,0,1,8.6,7.8,0.12,-3.6,-2.8
