Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Angers,23,27.4,47.2,6,66,540,6.0,4,2,6,2,2,2,11,0,5.3,3.7,3.2,6.9,85,208,0.67,0.33,1.0,0.33,0.67,0.88,0.54,1.42,0.61,1.15
Auxerre,23,26.5,47.5,6,66,540,6.0,8,5,13,7,1,1,15,2,7.8,7.1,6.3,13.4,96,243,1.33,0.83,2.17,1.17,2.0,1.3,1.06,2.36,1.18,2.23
Brest,24,28.6,47.0,6,66,540,6.0,8,3,11,5,3,4,11,0,7.5,4.4,3.1,7.5,76,164,1.33,0.5,1.83,0.83,1.33,1.25,0.52,1.77,0.73,1.24
Le Havre,21,26.8,39.7,6,66,540,6.0,6,4,10,4,2,2,13,0,6.5,4.9,3.9,8.9,90,200,1.0,0.67,1.67,0.67,1.33,1.09,0.65,1.74,0.82,1.48
Lens,22,27.4,53.0,6,66,540,6.0,4,2,6,3,1,1,13,2,9.9,9.1,6.7,15.9,91,261,0.67,0.33,1.0,0.5,0.83,1.65,1.12,2.77,1.52,2.64
Lille,22,26.2,61.5,6,66,540,6.0,11,7,18,10,1,2,10,0,11.3,10.1,7.9,18.0,153,337,1.83,1.17,3.0,1.67,2.83,1.88,1.32,3.19,1.69,3.0
Lyon,25,27.7,50.7,6,66,540,6.0,7,4,11,7,0,2,12,0,9.0,7.2,5.4,12.6,117,273,1.17,0.67,1.83,1.17,1.83,1.49,0.9,2.39,1.21,2.1
Marseille,24,26.6,57.3,6,66,540,6.0,14,8,22,12,2,2,13,2,8.2,6.6,4.1,10.7,85,187,2.33,1.33,3.67,2.0,3.33,1.37,0.69,2.05,1.1,1.79
Monaco,22,24.7,61.3,6,66,540,6.0,12,11,23,12,0,0,10,1,13.8,13.8,11.6,25.4,141,287,2.0,1.83,3.83,2.0,3.83,2.3,1.93,4.23,2.3,4.23
Montpellier,25,26.1,46.8,6,66,540,6.0,6,4,10,5,1,1,19,1,6.1,5.4,4.1,9.5,90,208,1.0,0.67,1.67,0.83,1.5,1.02,0.68,1.7,0.9,1.58
Nantes,22,26.5,44.8,6,66,540,6.0,9,6,15,8,1,1,16,1,7.3,6.5,5.3,11.9,111,226,1.5,1.0,2.5,1.33,2.33,1.22,0.89,2.11,1.09,1.98
Nice,24,26.5,50.8,6,66,540,6.0,13,8,21,12,1,1,12,1,11.9,11.2,6.3,17.5,110,212,2.17,1.33,3.5,2.0,3.33,1.98,1.05,3.04,1.86,2.91
Paris S-G,22,23.9,68.0,6,66,540,6.0,20,16,36,18,2,2,7,0,16.7,15.1,14.2,29.3,166,355,3.33,2.67,6.0,3.0,5.67,2.78,2.36,5.15,2.52,4.88
Reims,22,25.0,40.5,6,66,540,6.0,10,5,15,10,0,0,11,1,6.0,6.0,4.5,10.5,103,183,1.67,0.83,2.5,1.67,2.5,1.01,0.75,1.75,1.01,1.75
Rennes,21,26.6,44.2,6,66,540,6.0,10,6,16,8,2,2,13,0,7.9,6.5,4.2,10.7,99,233,1.67,1.0,2.67,1.33,2.33,1.32,0.7,2.02,1.08,1.78
Saint-Étienne,27,26.4,43.5,6,66,540,6.0,3,2,5,2,1,1,13,0,4.3,3.5,2.1,5.6,73,174,0.5,0.33,0.83,0.33,0.67,0.71,0.34,1.06,0.58,0.93
Strasbourg,22,22.2,49.8,6,66,540,6.0,11,8,19,11,0,0,15,0,11.1,11.1,8.4,19.6,98,162,1.83,1.33,3.17,1.83,3.17,1.85,1.4,3.26,1.85,3.26
Toulouse,22,25.4,46.3,6,66,540,6.0,5,5,10,5,0,1,10,1,8.6,7.8,6.3,14.2,84,236,0.83,0.83,1.67,0.83,1.67,1.44,1.06,2.49,1.31,2.36
