Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,21,6.0,21,2,2,76,53,8,93,45,67,0,0,0,199,81,85,48.8
Aston Villa,20,6.0,13,0,0,75,84,8,77,32,69,0,1,0,215,53,59,47.3
Bournemouth,21,5.0,16,0,0,67,49,13,109,44,52,1,0,0,275,66,77,46.2
Brentford,20,6.0,10,0,0,37,59,8,92,57,75,0,0,1,255,70,59,54.3
Brighton,24,6.0,13,0,0,58,69,5,140,48,56,0,2,0,256,85,71,54.5
Chelsea,21,6.0,21,0,0,63,76,13,75,48,61,1,1,0,264,45,55,45.0
Crystal Palace,21,6.0,11,0,0,66,69,11,104,49,77,1,0,0,269,88,110,44.4
Everton,22,6.0,11,1,0,66,59,23,102,71,75,0,0,0,272,105,86,55.0
Fulham,19,6.0,20,0,0,85,75,6,130,51,64,1,0,0,238,77,86,47.2
Ipswich Town,24,6.0,19,0,0,81,79,16,76,54,58,0,1,0,220,73,67,52.1
Leicester City,21,6.0,15,0,0,69,80,13,86,46,79,0,1,1,221,74,86,46.3
Liverpool,22,6.0,12,0,0,68,54,5,92,46,62,1,0,0,276,77,52,59.7
Manchester City,20,6.0,15,0,0,42,64,6,108,38,48,1,1,1,238,45,54,45.5
Manchester Utd,21,6.0,19,1,0,74,53,11,102,76,81,0,1,0,291,61,62,49.6
Newcastle Utd,19,6.0,15,1,0,67,90,12,91,47,55,1,0,1,245,67,55,54.9
Nott'ham Forest,22,6.0,19,1,1,74,79,22,91,56,65,1,1,0,250,89,81,52.4
Southampton,24,5.0,13,1,0,64,66,7,80,40,49,1,0,0,175,28,52,35.0
Tottenham,21,6.0,16,0,0,74,75,9,144,54,75,0,0,0,278,68,58,54.0
West Ham,22,6.0,16,0,0,91,48,9,114,55,51,1,0,0,256,82,78,51.3
Wolves,23,6.0,19,0,0,94,68,13,81,55,70,0,1,0,229,65,66,49.6
