Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,21,6.0,2089,2561,81.6,36442,12029,984,1101,89.4,915,1045,87.6,157,313,50.2,9,7.2,6.4,1.8,68,141,64,10,240
Aston Villa,20,6.0,2501,2952,84.7,41732,13895,1204,1306,92.2,1063,1174,90.5,173,320,54.1,11,7.7,7.6,3.3,53,235,49,9,200
Bournemouth,21,5.0,1527,2044,74.7,28559,11462,646,758,85.2,695,826,84.1,170,364,46.7,4,6.5,5.4,-2.5,62,138,43,13,194
Brentford,20,6.0,2257,2830,79.8,41507,15177,967,1110,87.1,985,1139,86.5,262,451,58.1,4,4.3,4.8,-0.3,44,149,43,13,180
Brighton,24,6.0,2897,3466,83.6,48779,17247,1412,1564,90.3,1184,1355,87.4,238,380,62.6,7,6.2,6.8,0.8,65,234,52,13,321
Chelsea,21,6.0,2703,3196,84.6,46941,15971,1157,1281,90.3,1273,1402,90.8,203,357,56.9,12,10.4,6.1,1.6,63,190,44,7,190
Crystal Palace,21,6.0,2418,3072,78.7,43202,15492,1064,1224,86.9,1089,1268,85.9,218,435,50.1,2,5.6,5.2,-3.6,63,191,48,10,246
Everton,22,6.0,1574,2130,73.9,31332,14070,691,814,84.9,586,714,82.1,263,469,56.1,5,5.2,5.7,-0.2,52,134,42,10,163
Fulham,19,6.0,2330,2868,81.2,41248,13803,1005,1123,89.5,1059,1214,87.2,209,388,53.9,7,6.5,5.8,0.5,74,181,50,12,229
Ipswich Town,24,6.0,1798,2267,79.3,31055,11874,865,958,90.3,747,866,86.3,151,320,47.2,4,4.0,3.2,0.0,43,129,29,8,144
Leicester City,21,6.0,1957,2459,79.6,32474,12917,981,1103,88.9,733,853,85.9,168,342,49.1,7,3.5,4.4,3.5,39,134,34,13,149
Liverpool,22,6.0,3070,3603,85.2,50810,17895,1543,1678,92.0,1257,1407,89.3,206,382,53.9,10,9.7,8.8,0.3,76,226,67,13,272
Manchester City,20,6.0,3605,4056,88.9,57519,15562,1958,2112,92.7,1374,1489,92.3,225,329,68.4,9,10.1,11.2,-1.1,95,267,90,11,318
Manchester Utd,21,6.0,2851,3406,83.7,46999,16273,1376,1523,90.3,1201,1342,89.5,193,356,54.2,5,9.5,7.3,-4.5,66,199,50,10,253
Newcastle Utd,19,6.0,2019,2533,79.7,34465,13586,1006,1140,88.2,816,928,87.9,166,349,47.6,7,6.8,5.7,0.2,57,156,48,13,196
Nott'ham Forest,22,6.0,1708,2310,73.9,28983,11622,870,1000,87.0,632,799,79.1,154,362,42.5,3,5.0,4.5,-2.0,56,136,35,6,164
Southampton,24,5.0,2673,3079,86.8,42125,12244,1362,1476,92.3,1120,1244,90.0,130,238,54.6,2,5.5,4.5,-3.5,45,186,42,6,201
Tottenham,21,6.0,3097,3652,84.8,49787,15900,1539,1692,91.0,1285,1427,90.0,185,324,57.1,8,9.2,8.7,-1.2,82,252,87,16,335
West Ham,22,6.0,2091,2628,79.6,36581,13349,989,1117,88.5,841,982,85.6,214,391,54.7,3,4.1,4.7,-1.1,56,177,46,11,212
Wolves,23,6.0,2023,2526,80.1,35924,12199,921,1047,88.0,873,997,87.6,190,348,54.6,4,4.0,3.7,0.0,41,143,34,11,154
