Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,21,26.1,6,540,90,100,6.0,66,85,45,19,14,35,2.33,12,5,7,1.17,10.1,6.6,3.4,0.57
Aston Villa,20,26.9,6,540,90,100,6.0,66,79,37,30,24,24,2.17,12,9,3,0.5,9.3,6.2,3.1,0.51
Bournemouth,21,25.4,5,450,90,100,5.0,55,81,30,25,20,20,1.0,5,8,-3,-0.6,8.6,7.5,1.1,0.22
Brentford,20,26.3,6,540,90,100,6.0,66,84,43,23,18,31,1.17,8,10,-2,-0.33,7.0,11.7,-4.7,-0.79
Brighton,24,26.3,6,540,90,100,6.0,66,82,38,28,19,26,1.5,10,8,2,0.33,9.0,9.9,-1.0,-0.16
Chelsea,21,23.8,6,540,90,100,6.0,66,81,40,26,22,28,2.17,15,7,8,1.33,12.1,7.0,5.1,0.85
Crystal Palace,21,26.2,6,540,90,100,6.0,66,83,44,22,21,32,0.5,5,9,-4,-0.67,7.5,9.0,-1.5,-0.26
Everton,22,28.6,6,540,90,100,6.0,66,84,46,19,20,34,0.67,7,15,-8,-1.33,6.1,9.9,-3.8,-0.63
Fulham,19,28.1,6,540,90,100,6.0,66,84,37,29,15,25,1.83,8,5,3,0.5,8.2,6.5,1.7,0.28
Ipswich Town,24,26.1,6,540,90,100,6.0,66,83,37,29,16,25,0.67,5,10,-5,-0.83,4.3,11.7,-7.4,-1.23
Leicester City,21,26.7,6,540,90,100,6.0,66,86,43,23,12,31,0.5,8,12,-4,-0.67,4.3,12.4,-8.1,-1.34
Liverpool,22,27.6,6,540,90,100,6.0,66,83,42,24,18,30,2.5,12,2,10,1.67,12.4,4.5,7.9,1.31
Manchester City,20,27.6,6,540,90,100,6.0,66,83,44,22,20,31,2.33,14,6,8,1.33,12.2,5.2,7.1,1.18
Manchester Utd,21,26.1,6,540,90,100,6.0,66,81,39,27,20,27,1.17,5,8,-3,-0.5,10.4,10.8,-0.4,-0.07
Newcastle Utd,19,27.6,6,540,90,100,6.0,66,79,40,25,25,29,1.83,8,7,1,0.17,8.3,9.6,-1.3,-0.22
Nott'ham Forest,22,26.7,6,540,90,100,6.0,66,79,36,29,25,25,1.5,6,5,1,0.17,7.2,5.4,1.9,0.31
Southampton,24,26.2,5,450,90,100,5.0,55,80,30,24,23,21,0.2,2,9,-7,-1.4,6.9,9.5,-2.6,-0.52
Tottenham,21,25.7,6,540,90,100,6.0,66,83,38,28,16,26,1.67,12,5,7,1.17,13.4,6.3,7.2,1.19
West Ham,22,28.6,6,540,90,100,6.0,66,80,36,30,23,24,0.83,6,10,-4,-0.67,7.0,10.4,-3.4,-0.57
Wolves,23,27.0,6,540,90,100,6.0,66,83,39,27,17,27,0.17,6,16,-10,-1.67,5.5,9.7,-4.1,-0.69
