Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,21,47.2,6.0,3220,357,987,1273,988,200,3220,121,57,47.1,48,39.7,1765,9302,4878,113,54,48,63,65,2065,234
Aston Villa,20,52.0,6.0,3578,344,1047,1617,952,131,3578,113,52,46.0,45,39.8,2185,11082,5881,112,79,28,85,73,2463,199
Bournemouth,21,43.0,5.0,2694,319,877,1102,749,129,2693,93,32,34.4,51,54.8,1323,7836,4212,83,52,30,64,43,1511,192
Brentford,20,46.0,6.0,3515,611,1553,1205,786,119,3515,93,32,34.4,49,52.7,1954,9985,4795,87,53,20,78,52,2227,178
Brighton,24,61.5,6.0,4109,392,1263,1756,1132,181,4109,144,57,39.6,74,51.4,2461,13824,7683,149,107,52,88,50,2866,320
Chelsea,21,54.0,6.0,3860,459,1462,1609,818,135,3859,125,57,45.6,52,41.6,2191,11755,6133,120,54,37,84,48,2682,189
Crystal Palace,21,51.3,6.0,3763,398,1273,1699,821,144,3762,75,25,33.3,45,60.0,2014,9617,4932,91,71,29,70,54,2403,243
Everton,22,38.0,6.0,2818,369,980,1168,709,129,2818,120,42,35.0,70,58.3,1377,7454,3348,69,45,24,75,68,1558,161
Fulham,19,50.5,6.0,3527,384,1137,1452,973,159,3526,123,51,41.5,48,39.0,2127,10844,5802,125,90,40,90,42,2304,227
Ipswich Town,24,39.0,6.0,2929,471,1247,1134,581,87,2929,86,41,47.7,37,43.0,1551,8275,3768,72,46,21,83,47,1780,141
Leicester City,21,41.8,6.0,3228,504,1345,1371,554,85,3228,108,43,39.8,49,45.4,1757,9028,4325,68,44,12,93,66,1941,147
Liverpool,22,58.7,6.0,4228,407,1305,1885,1073,206,4227,112,50,44.6,55,49.1,2511,12583,6480,147,95,67,75,63,3039,268
Manchester City,20,64.5,6.0,4628,334,1022,1689,1955,270,4627,128,64,50.0,42,32.8,2782,16340,9341,222,160,83,72,57,3554,317
Manchester Utd,21,53.7,6.0,4056,416,1371,1775,943,163,4056,115,49,42.6,54,47.0,2558,12850,6200,94,70,40,75,61,2818,248
Newcastle Utd,19,44.8,6.0,3192,466,1247,1224,749,118,3191,91,42,46.2,37,40.7,1847,9589,4311,91,53,32,70,76,1999,196
Nott'ham Forest,22,40.7,6.0,3019,385,1033,1227,809,142,3018,98,42,42.9,38,38.8,1446,8233,4409,110,75,37,86,52,1690,162
Southampton,24,60.2,5.0,3578,352,1110,1613,868,129,3577,85,34,40.0,42,49.4,2030,10955,6087,121,77,34,45,54,2650,199
Tottenham,21,62.8,6.0,4351,323,1076,1852,1466,257,4351,141,54,38.3,73,51.8,2732,14594,7867,172,125,66,80,70,3060,332
West Ham,22,44.8,6.0,3318,428,1121,1448,789,147,3317,120,56,46.7,45,37.5,1772,9828,4921,116,73,37,74,91,2070,212
Wolves,23,46.0,6.0,3151,432,1175,1356,669,112,3151,106,53,50.0,42,39.6,1734,10035,5254,89,74,31,86,46,2003,153
