Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,21,6.0,11,86,40,46.5,14.33,6.67,0.13,0.28,14.8,0,0,0,10.1,10.1,0.12,0.9,0.9
Aston Villa,20,6.0,12,69,24,34.8,11.5,4.0,0.17,0.5,15.6,2,0,0,9.3,9.3,0.14,2.7,2.7
Bournemouth,21,5.0,5,83,27,32.5,16.6,5.4,0.06,0.19,18.4,3,0,1,8.6,7.8,0.1,-3.6,-2.8
Brentford,20,6.0,8,59,28,47.5,9.83,4.67,0.14,0.29,15.3,1,0,0,7.0,7.0,0.12,1.0,1.0
Brighton,24,6.0,10,96,27,28.1,16.0,4.5,0.1,0.37,17.7,6,0,0,9.0,9.0,0.1,1.0,1.0
Chelsea,21,6.0,15,73,31,42.5,12.17,5.17,0.19,0.45,16.1,3,1,1,12.1,11.3,0.16,2.9,2.7
Crystal Palace,21,6.0,4,82,22,26.8,13.67,3.67,0.04,0.14,17.6,4,1,1,7.5,6.7,0.08,-3.5,-3.7
Everton,22,6.0,7,68,19,27.9,11.33,3.17,0.1,0.37,15.4,1,0,0,6.1,6.1,0.09,0.9,0.9
Fulham,19,6.0,8,93,29,31.2,15.5,4.83,0.08,0.24,16.3,3,1,1,8.2,7.4,0.08,-0.2,-0.4
Ipswich Town,24,6.0,5,53,19,35.8,8.83,3.17,0.09,0.26,16.8,1,0,0,4.3,4.3,0.08,0.7,0.7
Leicester City,21,6.0,8,52,19,36.5,8.67,3.17,0.15,0.42,18.5,1,0,0,4.3,4.3,0.08,3.7,3.7
Liverpool,22,6.0,12,90,38,42.2,15.0,6.33,0.12,0.29,15.1,2,1,1,12.4,11.6,0.13,-0.4,-0.6
Manchester City,20,6.0,14,114,41,36.0,19.0,6.83,0.11,0.32,17.9,3,1,1,12.2,11.5,0.1,1.8,1.5
Manchester Utd,21,6.0,5,79,29,36.7,13.17,4.83,0.06,0.17,16.1,0,0,0,10.4,10.4,0.13,-5.4,-5.4
Newcastle Utd,19,6.0,8,66,23,34.8,11.0,3.83,0.11,0.3,15.4,1,1,1,8.3,7.5,0.12,-0.3,-0.5
Nott'ham Forest,22,6.0,6,72,27,37.5,12.0,4.5,0.07,0.19,17.5,1,1,1,7.2,6.4,0.09,-1.2,-1.4
Southampton,24,5.0,2,58,15,25.9,11.6,3.0,0.03,0.13,17.0,2,0,1,6.9,6.1,0.11,-4.9,-4.1
Tottenham,21,6.0,11,110,43,39.1,18.33,7.17,0.1,0.26,15.8,2,0,0,13.4,13.4,0.13,-2.4,-2.4
West Ham,22,6.0,5,86,20,23.3,14.33,3.33,0.05,0.2,17.2,1,1,1,7.0,6.2,0.07,-2.0,-2.2
Wolves,23,6.0,6,62,21,33.9,10.33,3.5,0.1,0.29,18.5,2,0,0,5.5,5.5,0.09,0.5,0.5
