Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,21,26.1,47.2,6,66,540,6.0,11,9,20,11,0,0,21,2,10.1,10.1,7.2,17.2,113,240,1.83,1.5,3.33,1.83,3.33,1.68,1.2,2.87,1.68,2.87
Aston Villa,20,26.9,52.0,6,66,540,6.0,12,11,23,12,0,0,13,0,9.3,9.3,7.7,17.0,112,200,2.0,1.83,3.83,2.0,3.83,1.54,1.28,2.83,1.54,2.83
Bournemouth,21,25.4,43.0,5,55,450,5.0,5,4,9,5,0,1,16,0,8.6,7.8,6.5,14.4,83,194,1.0,0.8,1.8,1.0,1.8,1.73,1.31,3.03,1.57,2.87
Brentford,20,26.3,46.0,6,66,540,6.0,8,4,12,8,0,0,10,0,7.0,7.0,4.3,11.3,87,180,1.33,0.67,2.0,1.33,2.0,1.17,0.71,1.89,1.17,1.89
Brighton,24,26.3,61.5,6,66,540,6.0,10,7,17,10,0,0,13,0,9.0,9.0,6.2,15.2,149,321,1.67,1.17,2.83,1.67,2.83,1.5,1.04,2.53,1.5,2.53
Chelsea,21,23.8,54.0,6,66,540,6.0,15,12,27,14,1,1,21,0,12.1,11.3,10.4,21.7,120,190,2.5,2.0,4.5,2.33,4.33,2.01,1.74,3.75,1.88,3.62
Crystal Palace,21,26.2,51.3,6,66,540,6.0,4,2,6,3,1,1,11,0,7.5,6.7,5.6,12.3,91,246,0.67,0.33,1.0,0.5,0.83,1.25,0.93,2.18,1.12,2.05
Everton,22,28.6,38.0,6,66,540,6.0,7,5,12,7,0,0,11,1,6.1,6.1,5.2,11.3,69,163,1.17,0.83,2.0,1.17,2.0,1.02,0.87,1.88,1.02,1.88
Fulham,19,28.1,50.5,6,66,540,6.0,8,7,15,7,1,1,20,0,8.2,7.4,6.5,13.9,125,229,1.33,1.17,2.5,1.17,2.33,1.37,1.08,2.44,1.24,2.31
Ipswich Town,24,26.1,39.0,6,66,540,6.0,5,4,9,5,0,0,19,0,4.3,4.3,4.0,8.4,72,144,0.83,0.67,1.5,0.83,1.5,0.72,0.67,1.4,0.72,1.4
Leicester City,21,26.7,41.8,6,66,540,6.0,8,7,15,8,0,0,15,0,4.3,4.3,3.5,7.8,68,149,1.33,1.17,2.5,1.33,2.5,0.72,0.59,1.31,0.72,1.31
Liverpool,22,27.6,58.7,6,66,540,6.0,12,10,22,11,1,1,12,0,12.4,11.6,9.7,21.3,147,272,2.0,1.67,3.67,1.83,3.5,2.06,1.61,3.68,1.93,3.55
Manchester City,20,27.6,64.5,6,66,540,6.0,14,9,23,13,1,1,15,0,12.2,11.5,10.1,21.5,222,318,2.33,1.5,3.83,2.17,3.67,2.04,1.68,3.72,1.91,3.59
Manchester Utd,21,26.1,53.7,6,66,540,6.0,5,5,10,5,0,0,19,1,10.4,10.4,9.5,19.9,94,253,0.83,0.83,1.67,0.83,1.67,1.74,1.58,3.32,1.74,3.32
Newcastle Utd,19,27.6,44.8,6,66,540,6.0,8,7,15,7,1,1,15,1,8.3,7.5,6.8,14.3,91,196,1.33,1.17,2.5,1.17,2.33,1.38,1.13,2.51,1.25,2.38
Nott'ham Forest,22,26.7,40.7,6,66,540,6.0,6,3,9,5,1,1,19,1,7.2,6.4,5.0,11.5,110,164,1.0,0.5,1.5,0.83,1.33,1.2,0.84,2.04,1.07,1.91
Southampton,24,26.2,60.2,5,55,450,5.0,2,2,4,2,0,1,13,1,6.9,6.1,5.5,11.6,121,201,0.4,0.4,0.8,0.4,0.8,1.39,1.1,2.49,1.23,2.33
Tottenham,21,25.7,62.8,6,66,540,6.0,11,8,19,11,0,0,16,0,13.4,13.4,9.2,22.6,172,335,1.83,1.33,3.17,1.83,3.17,2.24,1.53,3.77,2.24,3.77
West Ham,22,28.6,44.8,6,66,540,6.0,5,3,8,4,1,1,16,0,7.0,6.2,4.1,10.3,116,212,0.83,0.5,1.33,0.67,1.17,1.16,0.69,1.85,1.03,1.71
Wolves,23,27.0,46.0,6,66,540,6.0,6,4,10,6,0,0,19,0,5.5,5.5,4.0,9.5,89,154,1.0,0.67,1.67,1.0,1.67,0.92,0.67,1.59,0.92,1.59
