Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,2,6.0,12,0,0,2,2,9.0,0.35,-1.0,-0.17,18,70,25.7,130,20,29.2,33.1,45,71.1,49.7,53,3,5.7,10,1.67,17.5
Bologna,2,6.0,9,0,0,1,1,7.8,0.35,-0.2,-0.03,19,51,37.3,178,28,22.5,29.8,37,29.7,32.4,70,6,8.6,7,1.17,12.7
Cagliari,1,5.0,8,0,0,3,0,5.6,0.3,-2.4,-0.47,24,52,46.2,120,23,34.2,32.1,35,31.4,32.6,69,3,4.3,5,1.0,13.1
Como,2,6.0,11,2,0,1,0,8.5,0.28,-2.5,-0.42,18,69,26.1,181,18,35.4,32.9,29,17.2,19.3,80,5,6.3,3,0.5,15.3
Empoli,1,6.0,2,0,0,1,0,3.1,0.19,1.1,0.18,33,105,31.4,127,20,66.9,40.4,59,33.9,27.9,114,8,7.0,2,0.33,9.7
Fiorentina,2,6.0,7,0,0,0,0,5.7,0.21,-1.3,-0.22,26,56,46.4,154,28,29.9,30.9,35,28.6,30.9,61,2,3.3,4,0.67,9.3
Genoa,1,6.0,10,2,0,0,0,9.4,0.29,-0.6,-0.09,29,67,43.3,150,17,29.3,31.3,53,43.4,39.2,81,2,2.5,2,0.33,10.1
Hellas Verona,1,6.0,11,1,0,1,0,7.5,0.22,-3.5,-0.59,22,106,20.8,124,14,54.8,41.3,46,82.6,56.7,86,5,5.8,4,0.67,12.1
Inter,1,6.0,7,0,0,1,0,6.8,0.23,-0.2,-0.03,6,22,27.3,185,27,10.3,23.7,30,10.0,21.9,73,2,2.7,3,0.5,13.4
Juventus,2,6.0,0,0,0,0,0,1.8,0.22,1.8,0.29,11,35,31.4,138,23,18.1,28.3,28,35.7,34.9,59,5,8.5,4,0.67,20.0
Lazio,1,6.0,10,2,0,1,0,8.4,0.3,-1.6,-0.27,30,75,40.0,162,22,44.4,35.8,37,8.1,17.3,68,9,13.2,6,1.0,12.1
Lecce,1,6.0,11,2,0,1,0,8.7,0.26,-2.3,-0.39,29,89,32.6,114,24,61.4,38.2,52,36.5,29.7,93,4,4.3,4,0.67,10.7
Milan,1,6.0,7,0,0,0,1,6.1,0.26,0.1,0.02,17,38,44.7,197,35,15.2,25.9,36,22.2,28.6,66,3,4.5,17,2.83,21.4
Monza,2,6.0,8,0,0,2,0,6.1,0.29,-1.9,-0.32,46,108,42.6,148,14,54.1,37.2,62,45.2,36.0,89,0,0.0,4,0.67,17.5
Napoli,2,6.0,4,1,0,0,0,6.5,0.39,2.5,0.41,10,40,25.0,112,22,23.2,29.2,44,31.8,30.9,67,4,6.0,3,0.5,18.0
Parma,2,5.0,9,0,2,1,0,8.0,0.29,-1.0,-0.2,23,85,27.1,176,30,38.1,33.9,45,40.0,34.6,92,7,7.6,5,1.25,16.3
Roma,1,6.0,4,1,0,0,0,6.5,0.25,2.5,0.41,16,62,25.8,164,20,22.0,30.0,54,48.1,39.6,82,1,1.2,1,0.17,12.3
Torino,2,6.0,8,0,0,1,0,11.2,0.33,3.2,0.53,37,100,37.0,186,34,35.5,35.4,63,54.0,49.4,103,2,1.9,6,1.0,10.7
Udinese,1,6.0,10,2,0,1,0,10.0,0.26,0.0,0.0,31,74,41.9,139,15,38.8,30.7,59,33.9,30.0,103,2,1.9,3,0.5,12.3
Venezia,1,6.0,10,3,0,3,1,8.8,0.2,-0.2,-0.03,16,65,24.6,200,41,29.0,30.4,39,17.9,26.4,91,6,6.6,4,0.67,9.7
