Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Atalanta,27,6.0,2560,3072,83.3,46320,14837,1040,1161,89.6,1248,1401,89.1,239,397,60.2,7,6.6,6.7,0.4,67,223,68,19,309
Bologna,25,6.0,2714,3282,82.7,51851,16810,986,1105,89.2,1351,1529,88.4,317,487,65.1,5,4.7,4.0,0.3,59,246,39,16,255
Cagliari,23,5.0,1736,2307,75.2,33027,12419,668,788,84.8,845,1011,83.6,201,398,50.5,1,4.9,5.8,-3.9,54,153,36,10,172
Como,27,6.0,2349,2865,82.0,39723,13828,1107,1225,90.4,987,1117,88.4,183,365,50.1,7,6.2,4.8,0.8,71,145,40,9,202
Empoli,22,6.0,1362,1919,71.0,24442,10175,592,732,80.9,594,739,80.4,142,334,42.5,3,3.5,2.5,-0.5,44,106,19,5,134
Fiorentina,26,6.0,2457,2997,82.0,46863,15436,921,1037,88.8,1210,1364,88.7,282,479,58.9,3,5.2,4.6,-2.2,63,171,38,17,218
Genoa,24,6.0,1783,2294,77.7,32892,12575,743,848,87.6,784,915,85.7,209,399,52.4,2,4.0,3.5,-2.0,49,130,35,16,158
Hellas Verona,24,6.0,1594,2134,74.7,27118,9481,754,863,87.4,643,786,81.8,135,361,37.4,7,4.0,2.3,3.0,33,117,21,5,150
Inter,21,6.0,3093,3563,86.8,55213,16486,1295,1408,92.0,1479,1611,91.8,265,400,66.3,8,7.3,7.6,0.7,63,207,71,28,271
Juventus,23,6.0,3377,3786,89.2,60008,16668,1391,1482,93.9,1688,1821,92.7,254,378,67.2,6,4.6,3.8,1.4,51,205,45,13,217
Lazio,22,6.0,2506,3006,83.4,45204,14620,1066,1166,91.4,1103,1236,89.2,271,444,61.0,8,7.4,6.0,0.6,67,203,41,18,236
Lecce,21,6.0,1856,2344,79.2,33376,13195,833,926,90.0,773,900,85.9,219,425,51.5,2,6.2,4.6,-4.2,78,156,38,16,174
Milan,24,6.0,2853,3268,87.3,48603,15855,1327,1434,92.5,1284,1416,90.7,202,329,61.4,9,7.3,6.1,1.7,75,200,53,13,288
Monza,23,6.0,2383,2896,82.3,43520,13781,975,1089,89.5,1132,1267,89.3,234,417,56.1,3,1.5,2.5,1.5,27,137,19,6,145
Napoli,22,6.0,2385,2885,82.7,39844,14149,1161,1299,89.4,1007,1147,87.8,172,300,57.3,10,8.0,7.1,2.0,75,217,51,13,287
Parma,24,5.0,1731,2134,81.1,30750,11493,764,873,87.5,739,832,88.8,175,317,55.2,7,5.9,4.2,1.1,55,110,39,5,157
Roma,21,6.0,2863,3407,84.0,49766,15403,1288,1408,91.5,1293,1452,89.0,229,406,56.4,4,5.7,6.2,-1.7,76,211,62,19,250
Torino,25,6.0,2658,3192,83.3,47783,15833,1127,1272,88.6,1214,1354,89.7,254,431,58.9,6,4.6,5.2,1.4,46,178,50,14,199
Udinese,21,6.0,1762,2239,78.7,32296,12244,749,848,88.3,721,853,84.5,228,395,57.7,7,4.7,4.4,2.3,42,117,41,23,152
Venezia,26,6.0,1708,2191,78.0,30049,11771,727,842,86.3,793,929,85.4,150,306,49.0,3,3.5,4.0,-0.5,47,90,28,8,121
