Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,27,27.1,6,540,90,100,6.0,66,81,40,26,22,47,1.17,11,12,-1,-0.17,11.3,8.1,3.2,0.53
Bologna,25,26.9,6,540,90,100,6.0,66,79,36,29,23,55,1.17,7,9,-2,-0.33,7.2,8.1,-0.9,-0.15
Cagliari,23,27.5,5,450,90,100,5.0,55,80,32,23,25,47,0.4,1,8,-7,-1.4,6.9,6.9,0.0,0.0
Como,27,28.0,6,540,90,100,6.0,66,81,37,30,20,45,1.33,9,11,-2,-0.33,7.7,6.9,0.8,0.13
Empoli,22,25.7,6,540,90,100,6.0,66,83,38,28,17,45,1.67,5,2,3,0.5,5.8,7.6,-1.8,-0.3
Fiorentina,26,26.9,6,540,90,100,6.0,66,80,35,30,21,47,1.17,7,7,0,0.0,8.8,5.7,3.1,0.52
Genoa,24,27.3,6,540,90,100,6.0,66,80,39,27,25,48,0.83,4,10,-6,-1.0,6.4,10.3,-3.9,-0.64
Hellas Verona,24,25.6,6,540,90,100,6.0,66,77,34,30,26,60,1.0,10,11,-1,-0.17,6.2,9.3,-3.1,-0.51
Inter,21,30.0,6,540,90,100,6.0,66,81,36,30,19,42,1.83,13,7,6,1.0,10.1,6.4,3.7,0.62
Juventus,23,24.9,6,540,90,100,6.0,66,82,42,24,23,37,2.0,9,0,9,1.5,6.7,2.2,4.5,0.75
Lazio,22,27.5,6,540,90,100,6.0,66,82,37,29,19,39,1.67,12,10,2,0.33,10.1,7.0,3.1,0.51
Lecce,21,26.3,6,540,90,100,6.0,66,80,37,27,21,57,0.83,3,11,-8,-1.33,7.1,9.9,-2.8,-0.47
Milan,24,26.3,6,540,90,100,6.0,66,82,39,27,19,41,1.83,14,7,7,1.17,10.8,6.2,4.5,0.76
Monza,23,27.3,6,540,90,100,6.0,66,84,43,23,19,48,0.5,4,8,-4,-0.67,2.2,6.7,-4.5,-0.75
Napoli,22,28.5,6,540,90,100,6.0,66,83,40,26,18,47,2.17,11,4,7,1.17,8.9,5.7,3.2,0.53
Parma,24,24.1,5,450,90,100,5.0,55,79,31,23,24,35,1.0,8,9,-1,-0.2,8.0,8.8,-0.8,-0.17
Roma,21,26.7,6,540,90,100,6.0,66,81,39,27,21,54,1.5,7,4,3,0.5,9.1,7.7,1.4,0.23
Torino,25,27.8,6,540,90,100,6.0,66,81,37,29,21,46,1.83,10,8,2,0.33,7.7,10.1,-2.4,-0.39
Udinese,21,27.2,6,540,90,100,6.0,66,80,36,29,21,47,1.67,9,10,-1,-0.17,6.7,11.0,-4.3,-0.72
Venezia,26,26.7,6,540,90,100,6.0,66,82,35,30,17,43,0.67,4,10,-6,-1.0,5.7,8.7,-3.0,-0.5
