Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Atalanta,27,54.8,6.0,3645,279,932,1675,1076,169,3642,93,37,39.8,48,51.6,2100,11483,6074,129,113,31,83,64,2539,307
Bologna,25,58.7,6.0,3885,367,1129,1877,913,125,3884,99,35,35.4,53,53.5,2167,10975,5393,97,52,24,83,63,2693,253
Cagliari,23,53.4,5.0,2864,312,997,1216,679,120,2864,79,38,48.1,35,44.3,1451,8017,3982,78,59,18,58,46,1716,172
Como,27,51.3,6.0,3472,372,1150,1574,778,128,3471,84,39,46.4,38,45.2,1981,10246,4958,92,79,27,76,65,2308,201
Empoli,22,34.8,6.0,2615,421,1068,1095,487,75,2614,89,43,48.3,32,36.0,1155,6556,3218,73,40,20,84,57,1345,132
Fiorentina,26,56.7,6.0,3568,368,1189,1639,762,132,3566,106,51,48.1,39,36.8,2106,11645,5676,117,86,28,73,59,2434,216
Genoa,24,42.5,6.0,2911,351,1024,1290,628,92,2910,63,23,36.5,32,50.8,1491,8185,4274,80,70,11,75,56,1760,155
Hellas Verona,24,36.5,6.0,2708,318,973,1264,504,64,2706,87,41,47.1,39,44.8,1432,8096,3920,68,52,20,60,49,1585,150
Inter,21,60.2,6.0,4107,393,1190,1983,962,149,4106,53,14,26.4,34,64.2,2561,13019,6823,87,87,18,58,33,3073,268
Juventus,23,60.0,6.0,4339,331,1323,2243,801,98,4337,103,48,46.6,49,47.6,2587,14657,7539,128,93,27,90,39,3336,214
Lazio,22,54.7,6.0,3541,317,979,1712,882,140,3540,102,53,52.0,37,36.3,2261,12656,6433,127,90,31,80,53,2487,236
Lecce,21,41.8,6.0,2977,394,1096,1277,647,105,2977,81,30,37.0,37,45.7,1621,9074,4599,94,60,31,67,44,1843,174
Milan,24,56.0,6.0,3801,310,1131,1744,966,165,3799,102,51,50.0,41,40.2,2471,13265,7389,155,105,45,64,40,2830,286
Monza,23,49.3,6.0,3461,450,1338,1595,547,50,3461,75,35,46.7,31,41.3,2148,10763,4689,73,64,8,76,58,2357,143
Napoli,22,49.2,6.0,3486,296,914,1644,965,145,3486,104,40,38.5,48,46.2,1958,10896,5653,122,92,39,73,56,2364,284
Parma,24,46.2,5.0,2707,419,989,1081,661,109,2706,84,37,44.0,33,39.3,1368,7301,3936,89,42,30,80,44,1716,154
Roma,21,60.7,6.0,4030,353,1056,1878,1129,181,4029,105,34,32.4,57,54.3,2318,13684,7029,134,114,28,85,45,2835,248
Torino,25,54.0,6.0,3734,437,1177,1841,744,101,3733,53,19,35.8,25,47.2,2213,11128,5634,80,65,11,69,43,2633,198
Udinese,21,39.3,6.0,2872,442,1138,1196,578,108,2871,94,45,47.9,45,47.9,1462,8209,3978,72,66,22,87,41,1739,150
Venezia,26,39.8,6.0,2775,434,1159,1104,553,100,2774,71,39,54.9,27,38.0,1583,8731,4589,77,60,18,87,66,1677,120
