Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,27,6.0,11,88,29,33.0,14.67,4.83,0.1,0.31,15.9,1,2,3,11.3,9.0,0.11,-0.3,0.0
Bologna,25,6.0,7,77,23,29.9,12.83,3.83,0.08,0.26,17.3,4,1,1,7.2,6.4,0.09,-0.2,-0.4
Cagliari,23,5.0,1,85,16,18.8,17.0,3.2,0.01,0.06,15.4,1,0,0,6.9,6.9,0.08,-5.9,-5.9
Como,27,6.0,7,89,30,33.7,14.83,5.0,0.08,0.23,18.6,0,0,1,7.7,7.0,0.08,-0.7,0.0
Empoli,22,6.0,5,52,15,28.8,8.67,2.5,0.08,0.27,16.7,1,1,1,5.8,5.0,0.1,-0.8,-1.0
Fiorentina,26,6.0,7,85,29,34.1,14.17,4.83,0.06,0.17,17.5,3,2,2,8.8,7.2,0.09,-1.8,-2.2
Genoa,24,6.0,4,70,17,24.3,11.67,2.83,0.06,0.24,18.7,6,0,1,6.4,5.5,0.08,-2.4,-1.5
Hellas Verona,24,6.0,10,45,13,28.9,7.5,2.17,0.18,0.62,18.8,3,2,2,6.2,4.7,0.11,3.8,3.3
Inter,21,6.0,12,85,26,30.6,14.17,4.33,0.13,0.42,15.5,2,1,1,10.1,9.3,0.11,1.9,1.7
Juventus,23,6.0,9,63,17,27.0,10.5,2.83,0.11,0.41,18.6,3,2,2,6.7,5.1,0.08,2.3,1.9
Lazio,22,6.0,11,83,33,39.8,13.83,5.5,0.12,0.3,17.2,1,1,1,10.1,9.3,0.11,0.9,0.7
Lecce,21,6.0,3,98,27,27.6,16.33,4.5,0.03,0.11,18.7,3,0,0,7.1,7.1,0.07,-4.1,-4.1
Milan,24,6.0,14,94,34,36.2,15.67,5.67,0.13,0.35,17.9,1,2,2,10.8,9.2,0.1,3.2,2.8
Monza,23,6.0,4,35,12,34.3,5.83,2.0,0.11,0.33,18.8,3,0,0,2.2,2.2,0.06,1.8,1.8
Napoli,22,6.0,11,91,24,26.4,15.17,4.0,0.12,0.46,17.4,1,0,0,8.9,8.9,0.1,2.1,2.1
Parma,24,5.0,8,69,25,36.2,13.8,5.0,0.1,0.28,18.2,4,1,1,8.0,7.2,0.11,0.0,-0.2
Roma,21,6.0,7,102,28,27.5,17.0,4.67,0.06,0.21,17.6,2,1,1,9.1,8.4,0.08,-2.1,-2.4
Torino,25,6.0,9,64,24,37.5,10.67,4.0,0.14,0.38,17.6,4,0,1,7.7,7.0,0.11,1.3,2.0
Udinese,21,6.0,9,57,17,29.8,9.5,2.83,0.16,0.53,16.0,0,0,1,6.7,5.9,0.11,2.3,3.1
Venezia,26,6.0,4,67,20,29.9,11.17,3.33,0.06,0.2,19.4,3,0,1,5.7,4.9,0.07,-1.7,-0.9
