Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,27,27.1,54.8,6,66,540,6.0,11,7,18,9,2,3,14,0,11.3,9.0,6.6,15.6,129,309,1.83,1.17,3.0,1.5,2.67,1.89,1.1,2.99,1.49,2.6
Bologna,25,26.9,58.7,6,66,540,6.0,7,5,12,6,1,1,8,1,7.2,6.4,4.7,11.2,97,255,1.17,0.83,2.0,1.0,1.83,1.2,0.79,1.99,1.07,1.87
Cagliari,23,27.5,53.4,5,55,450,5.0,1,1,2,1,0,0,9,0,6.9,6.9,4.9,11.8,78,172,0.2,0.2,0.4,0.2,0.4,1.37,0.99,2.36,1.37,2.36
Como,27,28.0,51.3,6,66,540,6.0,7,7,14,7,0,1,13,0,7.7,7.0,6.2,13.2,92,202,1.17,1.17,2.33,1.17,2.33,1.28,1.04,2.32,1.16,2.2
Empoli,22,25.7,34.8,6,66,540,6.0,5,3,8,4,1,1,9,0,5.8,5.0,3.5,8.5,73,134,0.83,0.5,1.33,0.67,1.17,0.97,0.58,1.55,0.84,1.41
Fiorentina,26,26.9,56.7,6,66,540,6.0,7,3,10,5,2,2,12,1,8.8,7.2,5.2,12.5,117,218,1.17,0.5,1.67,0.83,1.33,1.46,0.87,2.34,1.2,2.08
Genoa,24,27.3,42.5,6,66,540,6.0,4,2,6,4,0,1,12,0,6.4,5.5,4.0,9.5,80,158,0.67,0.33,1.0,0.67,1.0,1.07,0.66,1.73,0.91,1.58
Hellas Verona,24,25.6,36.5,6,66,540,6.0,10,7,17,8,2,2,22,2,6.2,4.7,4.0,8.6,68,150,1.67,1.17,2.83,1.33,2.5,1.04,0.66,1.7,0.78,1.44
Inter,21,30.0,60.2,6,66,540,6.0,12,8,20,11,1,1,8,0,10.1,9.3,7.3,16.7,87,271,2.0,1.33,3.33,1.83,3.17,1.69,1.22,2.91,1.56,2.78
Juventus,23,24.9,60.0,6,66,540,6.0,9,6,15,7,2,2,8,0,6.7,5.1,4.6,9.7,128,217,1.5,1.0,2.5,1.17,2.17,1.12,0.76,1.88,0.86,1.62
Lazio,22,27.5,54.7,6,66,540,6.0,11,8,19,10,1,1,15,0,10.1,9.3,7.4,16.7,127,236,1.83,1.33,3.17,1.67,3.0,1.68,1.24,2.92,1.54,2.78
Lecce,21,26.3,41.8,6,66,540,6.0,3,2,5,3,0,0,11,2,7.1,7.1,6.2,13.3,94,174,0.5,0.33,0.83,0.5,0.83,1.18,1.03,2.21,1.18,2.21
Milan,24,26.3,56.0,6,66,540,6.0,14,9,23,12,2,2,10,1,10.8,9.2,7.3,16.5,155,288,2.33,1.5,3.83,2.0,3.5,1.8,1.21,3.01,1.54,2.75
Monza,23,27.3,49.3,6,66,540,6.0,4,3,7,4,0,0,14,0,2.2,2.2,1.5,3.7,73,145,0.67,0.5,1.17,0.67,1.17,0.36,0.25,0.61,0.36,0.61
Napoli,22,28.5,49.2,6,66,540,6.0,11,10,21,11,0,0,8,0,8.9,8.9,8.0,17.0,122,287,1.83,1.67,3.5,1.83,3.5,1.49,1.34,2.83,1.49,2.83
Parma,24,24.1,46.2,5,55,450,5.0,8,7,15,7,1,1,9,3,8.0,7.2,5.9,13.1,89,157,1.6,1.4,3.0,1.4,2.8,1.59,1.18,2.77,1.43,2.61
Roma,21,26.7,60.7,6,66,540,6.0,7,4,11,6,1,1,8,0,9.1,8.4,5.7,14.1,134,250,1.17,0.67,1.83,1.0,1.67,1.52,0.96,2.48,1.39,2.35
Torino,25,27.8,54.0,6,66,540,6.0,9,6,15,9,0,1,15,0,7.7,7.0,4.6,11.6,80,199,1.5,1.0,2.5,1.5,2.5,1.29,0.76,2.05,1.17,1.93
Udinese,21,27.2,39.3,6,66,540,6.0,9,7,16,9,0,1,17,1,6.7,5.9,4.7,10.5,72,152,1.5,1.17,2.67,1.5,2.67,1.11,0.78,1.89,0.98,1.76
Venezia,26,26.7,39.8,6,66,540,6.0,4,3,7,4,0,1,13,1,5.7,4.9,3.5,8.3,77,121,0.67,0.5,1.17,0.67,1.17,0.94,0.58,1.52,0.81,1.39
