Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-116,2001,4.5,12,2.65,8,0,1,2,1,0,3,0.66,2,0,0,1,0,0,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,22-256,2002,3.4,13,3.84,8,0,2,2,1,0,3,0.89,3,0,0,0,0,0,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24-143,2000,1.4,4,2.81,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,26-231,1998,3.1,9,2.91,3,0,3,2,1,0,0,0.00,0,0,0,0,0,0,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-003,1999,4.7,12,2.56,10,0,1,0,1,0,1,0.21,1,0,0,0,0,0,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-164,1995,5.0,8,1.60,8,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
7,Andreas Albers,dk DEN,FW,St. Pauli,34-191,1990,0.3,2,7.83,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Skelly Alvero,fr FRA,MF,Werder Bremen,22-149,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-061,2003,0.6,1,1.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,Nadiem Amiri,de GER,MF,Mainz 05,27-339,1996,3.3,11,3.30,9,2,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches
11,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24-144,2000,2.4,3,1.23,3,0,0,0,0,0,2,0.82,2,0,0,0,0,0,Matches
12,Robert Andrich,de GER,MF,Leverkusen,30-008,1994,2.8,7,2.52,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
13,Waldemar Anton,de GER,DF,Dortmund,28-072,1996,5.0,4,0.80,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,30-126,1994,4.9,9,1.82,5,2,1,0,1,0,1,0.20,0,1,0,0,0,0,Matches
15,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,24-268,2000,1.5,7,4.77,3,1,1,0,2,0,1,0.68,0,1,0,0,0,0,Matches
16,Arthur,br BRA,DF,Leverkusen,21-197,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Noah Atubolu,de GER,GK,Freiburg,22-128,2002,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Ridle Baku,de GER,"FW,MF",Wolfsburg,26-175,1998,3.6,8,2.21,6,0,0,0,1,1,2,0.55,1,0,0,0,1,0,Matches
19,Aliou Baldé,gn GUI,"MF,FW",Bochum,21-293,2002,1.0,3,3.07,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Samuel Bamba,de GER,"FW,MF",Bochum,20-230,2004,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Scott Banks,sct SCO,FW,St. Pauli,23-004,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Aymen Barkok,ma MAR,MF,Mainz 05,26-132,1998,0.8,2,2.47,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Maximilian Bauer,de GER,DF,Augsburg,24-234,2000,2.8,3,1.08,1,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
24,Oliver Baumann,de GER,GK,Hoffenheim,34-120,1990,5.0,3,0.60,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Christoph Baumgartner,at AUT,"MF,DF",RB Leipzig,25-060,1999,1.2,2,1.71,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Adrian Beck,de GER,FW,Heidenheim,27-113,1997,2.3,3,1.30,2,1,0,0,0,0,1,0.43,0,1,0,0,0,0,Matches
27,Timo Becker,de GER,DF,Holstein Kiel,27-189,1997,5.0,4,0.80,2,0,0,2,0,0,1,0.20,1,0,0,0,0,0,Matches
28,Kevin Behrens,de GER,FW,Wolfsburg,33-240,1991,0.5,2,4.00,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Maximilian Beier,de GER,"FW,MF",Dortmund,21-349,2002,1.5,5,3.26,2,0,2,1,0,0,1,0.65,0,0,0,1,0,0,Matches
30,Stefan Bell,de GER,DF,Mainz 05,33-037,1991,1.8,2,1.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Jeanuël Belocian,fr FRA,DF,Leverkusen,19-226,2005,0.5,1,1.96,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
32,László Bénes,sk SVK,"MF,FW",Union Berlin,27-021,1997,1.5,6,3.91,2,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Ramy Bensebaini,dz ALG,"DF,FW",Dortmund,29-167,1995,1.9,4,2.08,4,0,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches
34,Mergim Berisha,de GER,FW,Hoffenheim,26-142,1998,2.4,3,1.23,2,0,0,1,0,0,1,0.41,1,0,0,0,0,0,Matches
35,Alexander Bernhardsson,se SWE,"DF,FW",Holstein Kiel,26-022,1998,1.7,2,1.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Matúš Bero,sk SVK,MF,Bochum,29-024,1995,4.7,14,2.95,10,3,0,0,1,0,1,0.21,1,0,0,0,0,0,Matches
37,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,22-363,2001,0.7,6,8.18,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Tom Bischof,de GER,MF,Hoffenheim,19-094,2005,2.1,6,2.87,3,3,0,0,0,0,1,0.48,1,0,0,0,0,0,Matches
39,Leonardo Bittencourt,de GER,MF,Werder Bremen,30-286,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Myron Boadu,nl NED,"FW,MF",Bochum,23-260,2001,2.9,7,2.43,6,0,0,0,1,0,1,0.35,1,0,0,0,0,0,Matches
41,Sacha Boey,fr FRA,DF,Bayern Munich,24-017,2000,1.4,3,2.13,1,0,2,0,0,0,2,1.42,1,0,1,0,0,0,Matches
42,Victor Boniface,ng NGA,FW,Leverkusen,23-282,2000,3.8,14,3.70,8,0,3,3,0,0,3,0.79,1,0,2,0,0,0,Matches
43,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25-192,1999,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Carlo Boukhalfa,ma MAR,MF,St. Pauli,25-150,1999,2.6,7,2.66,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Julian Brandt,de GER,MF,Dortmund,28-151,1996,4.2,15,3.53,11,3,0,1,0,0,2,0.47,2,0,0,0,0,0,Matches
46,Tim Breithaupt,de GER,MF,Augsburg,22-236,2002,1.3,3,2.25,3,0,0,0,0,0,2,1.50,2,0,0,0,0,0,Matches
47,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-047,2000,2.4,4,1.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
