Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Noah Atubolu,de GER,GK,Freiburg,22-128,2002,3.0,4,0,0,0,0,3.4,0.43,-0.6,-0.21,18,44,40.9,119,15,34.5,33.3,9,33.3,38.7,31,2,6.5,7,2.33,17.0,Matches
2,Oliver Baumann,de GER,GK,Hoffenheim,34-120,1990,5.0,15,1,0,3,0,15.2,0.48,0.2,0.03,22,67,32.8,142,24,39.4,36.0,28,39.3,37.1,76,3,3.9,6,1.2,15.6,Matches
3,Patrick Drewes,de GER,GK,Bochum,31-239,1993,5.0,11,1,0,0,0,10.7,0.35,-0.3,-0.06,64,140,45.7,174,16,54.6,38.2,52,86.5,56.1,97,6,6.2,9,1.8,13.1,Matches
4,Kamil Grabara,pl POL,GK,Wolfsburg,25-266,1999,5.0,11,1,0,3,1,11.5,0.33,1.5,0.3,44,137,32.1,182,15,62.6,43.4,25,92.0,64.9,56,0,0.0,0,0.0,10.8,Matches
5,Péter Gulácsi,hu HUN,GK,RB Leipzig,34-147,1990,5.0,2,0,0,0,0,4.4,0.17,2.4,0.48,9,24,37.5,130,20,16.2,27.2,24,12.5,27.2,59,4,6.8,3,0.6,12.4,Matches
6,Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-311,1989,4.0,7,0,0,1,1,4.4,0.24,-1.6,-0.41,16,38,42.1,99,18,28.3,30.2,21,47.6,38.8,43,3,7.0,4,1.0,15.1,Matches
7,Gregor Kobel,ch SUI,GK,Dortmund,26-299,1997,5.0,9,1,0,1,0,7.9,0.34,-1.1,-0.22,12,35,34.3,183,20,15.8,24.3,14,42.9,39.1,73,1,1.4,4,0.8,12.2,Matches
8,Matej Kovar,cz CZE,GK,Leverkusen,24-136,2000,1.0,3,0,0,0,0,1.3,0.33,-1.7,-1.69,4,5,80.0,24,1,20.8,28.1,1,0.0,14.0,6,0,0.0,3,3.0,20.2,Matches
9,Nediljko Labrović,hr CRO,GK,Augsburg,24-356,1999,5.0,14,1,0,0,0,10.1,0.37,-3.9,-0.77,23,60,38.3,134,33,29.9,31.7,26,76.9,53.1,63,3,4.8,6,1.2,13.7,Matches
10,Florian Müller,de GER,GK,Freiburg,26-322,1997,2.0,3,1,0,1,0,2.5,0.35,-0.5,-0.27,7,38,18.4,60,3,46.7,37.8,13,76.9,57.9,26,0,0.0,1,0.5,13.8,Matches
11,Kevin Müller,de GER,GK,Heidenheim,33-199,1991,5.0,7,1,0,0,0,5.7,0.33,-1.3,-0.25,30,73,41.1,148,21,32.4,33.8,42,59.5,47.4,84,3,3.6,4,0.8,13.4,Matches
12,Manuel Neuer,de GER,GK,Bayern Munich,38-187,1986,4.0,4,1,0,1,0,2.5,0.21,-1.5,-0.37,15,30,50.0,207,20,14.0,24.6,6,16.7,24.8,32,1,3.1,9,2.25,21.1,Matches
13,Moritz Nicolas,de GER,GK,Gladbach,26-345,1997,2.0,2,0,0,0,0,2.8,0.47,0.8,0.41,6,13,46.2,82,13,14.6,24.2,8,12.5,26.6,26,2,7.7,4,2.0,23.0,Matches
14,Alexander Nübel,de GER,GK,Stuttgart,28-000,1996,5.0,10,1,0,1,0,8.9,0.36,-1.1,-0.23,22,58,37.9,198,23,27.3,30.2,13,30.8,32.5,48,2,4.2,5,1.0,16.5,Matches
15,Jonas Omlin,ch SUI,GK,Gladbach,30-264,1994,3.0,6,0,0,1,0,6.0,0.25,0.0,-0.01,23,45,51.1,135,10,28.1,30.2,11,63.6,47.3,35,0,0.0,3,1.0,17.8,Matches
16,Frederik Rønnow,dk DEN,GK,Union Berlin,32-057,1992,5.0,3,0,1,0,0,3.1,0.18,0.1,0.01,30,78,38.5,138,24,42.8,36.0,23,82.6,58.7,71,3,4.2,3,0.6,11.5,Matches
17,Kauã Santos,br BRA,GK,Eint Frankfurt,21-172,2003,2.5,3,1,0,1,0,3.2,0.16,0.2,0.07,7,29,24.1,83,15,27.7,31.8,8,75.0,53.1,49,6,12.2,7,2.8,16.1,Matches
18,Kevin Trapp,de GER,GK,Eint Frankfurt,34-084,1990,2.5,3,0,0,0,0,2.4,0.24,-0.6,-0.25,13,34,38.2,73,14,35.6,30.8,17,47.1,39.8,50,1,2.0,1,0.4,11.5,Matches
19,Sven Ulreich,de GER,GK,Bayern Munich,36-058,1988,1.0,0,0,0,0,0,0.0,,0.0,0.0,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.0,12.3,Matches
20,Nikola Vasilj,ba BIH,GK,St. Pauli,28-303,1995,5.0,6,0,0,2,0,8.0,0.31,2.0,0.4,32,85,37.6,188,19,37.8,35.2,28,50.0,42.4,75,4,5.3,4,0.8,16.7,Matches
21,Timon Weiner,de GER,GK,Holstein Kiel,25-256,1999,5.0,17,2,1,2,1,12.1,0.29,-3.9,-0.78,30,76,39.5,177,31,39.5,33.2,22,27.3,28.2,89,8,9.0,1,0.2,8.4,Matches
22,Robin Zentner,de GER,GK,Mainz 05,29-338,1994,5.0,10,1,1,1,0,9.8,0.29,-0.2,-0.05,29,89,32.6,133,29,45.9,38.6,46,60.9,50.7,124,10,8.1,14,2.8,15.4,Matches
23,Michael Zetterer,de GER,GK,Werder Bremen,29-080,1995,5.0,11,0,0,0,0,9.4,0.41,-1.6,-0.32,16,47,34.0,155,28,24.5,32.5,25,36.0,42.2,76,6,7.9,3,0.6,12.9,Matches
