Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-116,2001,4.5,2,0,0,6,8,8,2,2,0,0,0,0,18,14,28,33.3,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,22-256,2002,3.4,0,0,0,5,3,0,1,1,5,0,0,0,12,1,3,25.0,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24-143,2000,1.4,1,0,0,2,5,0,3,0,2,1,0,0,7,6,4,60.0,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,26-231,1998,3.1,0,0,0,4,7,0,9,2,2,0,0,0,15,4,10,28.6,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-003,1999,4.7,0,0,0,4,8,2,14,5,3,0,0,0,12,4,2,66.7,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-164,1995,5.0,2,0,0,7,6,0,4,1,2,0,0,0,28,9,8,52.9,Matches
7,Andreas Albers,dk DEN,FW,St. Pauli,34-191,1990,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,66.7,Matches
8,Skelly Alvero,fr FRA,MF,Werder Bremen,22-149,2002,0.5,0,0,0,2,1,0,0,1,3,0,0,0,2,1,1,50.0,Matches
9,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-061,2003,0.6,1,0,0,2,1,0,0,1,0,0,0,0,1,1,1,50.0,Matches
10,Nadiem Amiri,de GER,MF,Mainz 05,27-339,1996,3.3,2,1,1,4,3,0,21,2,1,0,0,0,23,2,0,100.0,Matches
11,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24-144,2000,2.4,1,0,0,5,1,3,4,0,1,0,0,0,10,1,2,33.3,Matches
12,Robert Andrich,de GER,MF,Leverkusen,30-008,1994,2.8,2,0,0,6,4,0,1,3,2,0,0,0,12,6,1,85.7,Matches
13,Waldemar Anton,de GER,DF,Dortmund,28-072,1996,5.0,1,0,0,5,5,0,3,6,7,0,0,0,19,14,9,60.9,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,30-126,1994,4.9,4,0,0,10,14,0,15,2,7,0,0,0,21,3,5,37.5,Matches
15,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,24-268,2000,1.5,1,0,0,2,5,0,4,0,4,0,0,0,3,1,1,50.0,Matches
16,Arthur,br BRA,DF,Leverkusen,21-197,2003,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
17,Noah Atubolu,de GER,GK,Freiburg,22-128,2002,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
18,Ridle Baku,de GER,"FW,MF",Wolfsburg,26-175,1998,3.6,1,0,0,3,2,0,14,4,4,0,0,0,20,1,4,20.0,Matches
19,Aliou Baldé,gn GUI,"MF,FW",Bochum,21-293,2002,1.0,1,0,0,0,0,2,4,0,1,0,0,0,3,0,1,0.0,Matches
20,Samuel Bamba,de GER,"FW,MF",Bochum,20-230,2004,0.1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,50.0,Matches
21,Scott Banks,sct SCO,FW,St. Pauli,23-004,2001,0.2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0.0,Matches
22,Aymen Barkok,ma MAR,MF,Mainz 05,26-132,1998,0.8,0,0,0,2,1,0,5,2,1,0,0,0,4,2,5,28.6,Matches
23,Maximilian Bauer,de GER,DF,Augsburg,24-234,2000,2.8,0,0,0,2,5,0,2,2,3,0,0,0,6,5,5,50.0,Matches
24,Oliver Baumann,de GER,GK,Hoffenheim,34-120,1990,5.0,0,0,0,0,2,0,0,0,0,0,0,0,8,2,0,100.0,Matches
25,Christoph Baumgartner,at AUT,"MF,DF",RB Leipzig,25-060,1999,1.2,0,0,0,4,4,0,0,0,2,0,0,0,6,4,3,57.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Adrian Beck,de GER,FW,Heidenheim,27-113,1997,2.3,0,0,0,2,1,0,4,3,2,0,0,0,17,5,2,71.4,Matches
27,Timo Becker,de GER,DF,Holstein Kiel,27-189,1997,5.0,0,0,0,0,4,0,1,3,5,0,0,0,21,6,6,50.0,Matches
28,Kevin Behrens,de GER,FW,Wolfsburg,33-240,1991,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,42.9,Matches
29,Maximilian Beier,de GER,"FW,MF",Dortmund,21-349,2002,1.5,0,0,0,1,1,2,0,0,1,0,0,0,4,3,6,33.3,Matches
30,Stefan Bell,de GER,DF,Mainz 05,33-037,1991,1.8,0,0,0,4,0,0,0,5,2,0,0,0,5,13,5,72.2,Matches
31,Jeanuël Belocian,fr FRA,DF,Leverkusen,19-226,2005,0.5,1,0,0,1,4,0,0,0,1,0,0,0,1,1,1,50.0,Matches
32,László Bénes,sk SVK,"MF,FW",Union Berlin,27-021,1997,1.5,1,0,0,3,1,0,9,0,0,0,0,0,11,1,4,20.0,Matches
33,Ramy Bensebaini,dz ALG,"DF,FW",Dortmund,29-167,1995,1.9,2,0,0,3,4,0,0,3,0,0,0,0,7,6,1,85.7,Matches
34,Mergim Berisha,de GER,FW,Hoffenheim,26-142,1998,2.4,0,0,0,3,5,3,2,0,1,0,0,0,4,3,5,37.5,Matches
35,Alexander Bernhardsson,se SWE,"DF,FW",Holstein Kiel,26-022,1998,1.7,1,0,0,3,0,0,3,0,1,0,0,0,5,2,2,50.0,Matches
36,Matúš Bero,sk SVK,MF,Bochum,29-024,1995,4.7,2,0,0,5,9,0,4,1,5,0,0,0,19,2,3,40.0,Matches
37,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,22-363,2001,0.7,0,0,0,2,0,1,0,0,1,0,0,0,1,2,3,40.0,Matches
38,Tom Bischof,de GER,MF,Hoffenheim,19-094,2005,2.1,1,0,0,5,1,0,10,1,6,0,0,0,13,1,2,33.3,Matches
39,Leonardo Bittencourt,de GER,MF,Werder Bremen,30-286,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
40,Myron Boadu,nl NED,"FW,MF",Bochum,23-260,2001,2.9,0,0,0,2,1,2,0,0,0,0,0,0,1,1,3,25.0,Matches
