Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-116,2001,4.5,57,93,61.3,678,38,30,45,66.7,15,25,60.0,1,2,50.0,1,1.1,1.2,-0.1,8,1,1,0,2,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,22-256,2002,3.4,60,82,73.2,816,94,32,42,76.2,22,26,84.6,0,0,,3,1.7,0.6,+1.3,9,0,3,0,3,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24-143,2000,1.4,45,62,72.6,565,69,29,37,78.4,12,15,80.0,2,7,28.6,0,0.0,0.4,0.0,1,1,1,0,3,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,26-231,1998,3.1,42,65,64.6,797,169,21,28,75.0,11,20,55.0,9,11,81.8,0,0.4,0.1,-0.4,3,6,2,1,6,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-003,1999,4.7,155,186,83.3,2713,853,70,80,87.5,70,80,87.5,13,17,76.5,0,0.4,0.8,-0.4,7,4,11,7,10,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-164,1995,5.0,262,293,89.4,4876,1903,100,102,98.0,134,148,90.5,23,34,67.6,0,0.0,0.1,0.0,1,36,0,0,26,Matches
7,Andreas Albers,dk DEN,FW,St. Pauli,34-191,1990,0.3,6,14,42.9,92,18,4,8,50.0,1,3,33.3,1,1,100.0,0,0.1,0.0,-0.1,2,0,0,0,1,Matches
8,Skelly Alvero,fr FRA,MF,Werder Bremen,22-149,2002,0.5,6,8,75.0,76,18,4,4,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
9,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-061,2003,0.6,26,30,86.7,487,166,7,8,87.5,16,16,100.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
10,Nadiem Amiri,de GER,MF,Mainz 05,27-339,1996,3.3,147,196,75.0,2811,1087,57,67,85.1,55,66,83.3,27,46,58.7,0,0.5,1.4,-0.5,6,24,6,1,23,Matches
