Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-116,2001,4.5,93,86,6,0,0,0,2,0,0,0,0,0,57,1,5,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,22-256,2002,3.4,82,80,1,0,1,0,1,0,0,0,0,0,60,1,7,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24-143,2000,1.4,62,58,4,0,0,1,3,4,0,0,0,0,45,0,1,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,26-231,1998,3.1,65,62,1,0,0,3,9,1,0,0,0,0,42,2,2,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-003,1999,4.7,186,156,29,1,0,2,14,28,0,0,0,0,155,1,5,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-164,1995,5.0,293,271,21,11,0,2,4,1,0,0,0,0,262,1,3,Matches
7,Andreas Albers,dk DEN,FW,St. Pauli,34-191,1990,0.3,14,14,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
8,Skelly Alvero,fr FRA,MF,Werder Bremen,22-149,2002,0.5,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
9,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-061,2003,0.6,30,29,1,0,0,1,0,1,0,0,0,0,26,0,1,Matches
10,Nadiem Amiri,de GER,MF,Mainz 05,27-339,1996,3.3,196,165,29,12,1,2,21,1,16,4,8,1,147,2,6,Matches
11,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24-144,2000,2.4,49,48,1,0,0,0,4,0,0,0,0,0,32,0,3,Matches
12,Robert Andrich,de GER,MF,Leverkusen,30-008,1994,2.8,137,134,3,3,0,1,1,0,0,0,0,0,122,0,2,Matches
13,Waldemar Anton,de GER,DF,Dortmund,28-072,1996,5.0,363,350,13,9,0,2,3,4,0,0,0,0,334,0,1,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,30-126,1994,4.9,175,141,33,18,0,1,15,0,8,8,0,0,138,1,2,Matches
15,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,24-268,2000,1.5,34,25,7,1,0,1,4,5,0,0,0,0,20,2,1,Matches
16,Arthur,br BRA,DF,Leverkusen,21-197,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
17,Noah Atubolu,de GER,GK,Freiburg,22-128,2002,3.0,128,113,15,6,0,0,0,0,0,0,0,0,100,0,0,Matches
18,Ridle Baku,de GER,"FW,MF",Wolfsburg,26-175,1998,3.6,123,116,6,0,2,1,14,6,0,0,0,0,82,1,7,Matches
19,Aliou Baldé,gn GUI,"MF,FW",Bochum,21-293,2002,1.0,20,18,1,0,1,0,4,1,0,0,0,0,11,1,1,Matches
20,Samuel Bamba,de GER,"FW,MF",Bochum,20-230,2004,0.1,9,8,1,0,0,0,3,0,1,1,0,0,6,0,1,Matches
21,Scott Banks,sct SCO,FW,St. Pauli,23-004,2001,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
22,Aymen Barkok,ma MAR,MF,Mainz 05,26-132,1998,0.8,37,35,2,1,0,0,5,0,1,1,0,0,26,0,2,Matches
23,Maximilian Bauer,de GER,DF,Augsburg,24-234,2000,2.8,104,101,3,2,0,1,2,1,0,0,0,0,86,0,1,Matches
24,Oliver Baumann,de GER,GK,Hoffenheim,34-120,1990,5.0,170,127,43,15,0,1,0,0,0,0,0,0,121,0,0,Matches
25,Christoph Baumgartner,at AUT,"MF,DF",RB Leipzig,25-060,1999,1.2,48,43,4,1,1,0,0,2,0,0,0,0,27,1,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Adrian Beck,de GER,FW,Heidenheim,27-113,1997,2.3,87,80,7,2,0,2,4,2,2,0,2,0,66,0,1,Matches
27,Timo Becker,de GER,DF,Holstein Kiel,27-189,1997,5.0,189,160,29,8,0,7,1,21,0,0,0,0,154,0,3,Matches
28,Kevin Behrens,de GER,FW,Wolfsburg,33-240,1991,0.5,19,16,3,0,0,0,0,1,0,0,0,0,10,0,1,Matches
29,Maximilian Beier,de GER,"FW,MF",Dortmund,21-349,2002,1.5,27,25,2,0,0,0,0,0,0,0,0,0,18,0,2,Matches
30,Stefan Bell,de GER,DF,Mainz 05,33-037,1991,1.8,79,78,1,1,0,1,0,0,0,0,0,0,62,0,0,Matches
31,Jeanuël Belocian,fr FRA,DF,Leverkusen,19-226,2005,0.5,33,29,4,1,0,0,0,3,0,0,0,0,28,0,1,Matches
32,László Bénes,sk SVK,"MF,FW",Union Berlin,27-021,1997,1.5,64,49,14,9,0,0,9,0,5,2,3,0,45,1,0,Matches
33,Ramy Bensebaini,dz ALG,"DF,FW",Dortmund,29-167,1995,1.9,78,65,13,2,0,0,0,11,0,0,0,0,62,0,2,Matches
34,Mergim Berisha,de GER,FW,Hoffenheim,26-142,1998,2.4,31,28,2,0,2,1,2,0,0,0,0,0,22,1,0,Matches
35,Alexander Bernhardsson,se SWE,"DF,FW",Holstein Kiel,26-022,1998,1.7,34,32,2,0,1,0,3,2,0,0,0,0,22,0,0,Matches
36,Matúš Bero,sk SVK,MF,Bochum,29-024,1995,4.7,160,139,20,1,1,0,4,18,0,0,0,0,116,1,2,Matches
37,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,22-363,2001,0.7,20,19,0,0,0,0,0,0,0,0,0,0,14,1,0,Matches
38,Tom Bischof,de GER,MF,Hoffenheim,19-094,2005,2.1,87,73,14,5,1,0,10,0,8,4,2,1,62,0,6,Matches
39,Leonardo Bittencourt,de GER,MF,Werder Bremen,30-286,1993,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
40,Myron Boadu,nl NED,"FW,MF",Bochum,23-260,2001,2.9,32,31,1,0,0,0,0,0,0,0,0,0,22,0,4,Matches
41,Sacha Boey,fr FRA,DF,Bayern Munich,24-017,2000,1.4,87,72,15,1,0,0,2,14,0,0,0,0,76,0,0,Matches
42,Victor Boniface,ng NGA,FW,Leverkusen,23-282,2000,3.8,66,62,3,0,0,0,1,1,0,0,0,0,51,1,1,Matches
43,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25-192,1999,5.0,138,130,8,7,0,1,0,1,0,0,0,0,106,0,2,Matches
44,Carlo Boukhalfa,ma MAR,MF,St. Pauli,25-150,1999,2.6,72,71,1,0,0,1,2,0,0,0,0,0,44,0,4,Matches
45,Julian Brandt,de GER,MF,Dortmund,28-151,1996,4.2,217,204,12,3,0,0,13,6,1,0,0,0,172,1,3,Matches
46,Tim Breithaupt,de GER,MF,Augsburg,22-236,2002,1.3,67,65,2,2,0,0,1,0,0,0,0,0,58,0,2,Matches
47,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-047,2000,2.4,55,54,1,0,0,1,1,1,0,0,0,0,31,0,5,Matches
48,Moritz Broschinski,de GER,FW,Bochum,24-007,2000,2.8,45,40,5,0,0,0,2,0,0,0,0,0,26,0,4,Matches
49,Jacob Bruun Larsen,dk DEN,"DF,FW",Hoffenheim,26-011,1998,1.0,38,33,5,0,1,1,6,3,1,0,1,0,27,0,1,Matches
50,Marius Bülter,de GER,FW,Hoffenheim,31-185,1993,4.0,81,74,7,0,1,0,15,1,0,0,0,0,60,0,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
51,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,24-081,2000,5.0,93,78,15,0,0,3,6,2,0,0,0,0,69,0,1,Matches
52,Marnon Busch,de GER,DF,Heidenheim,29-297,1994,1.7,101,90,11,2,0,1,6,9,0,0,0,0,74,0,1,Matches
53,Anthony Caci,fr FRA,DF,Mainz 05,27-091,1997,4.2,196,166,29,4,0,2,20,20,5,3,2,0,135,1,7,Matches
54,Emre Can,de GER,"MF,DF",Dortmund,30-262,1994,3.2,213,209,4,3,0,1,4,1,0,0,0,0,187,0,2,Matches
55,Julian Chabot,de GER,DF,Stuttgart,26-231,1998,4.8,362,345,17,10,0,2,0,0,0,0,0,0,316,0,1,Matches
56,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19-137,2005,1.1,51,51,0,0,0,0,0,0,0,0,0,0,43,0,1,Matches
57,Fares Chaïbi,dz ALG,"FW,MF",Eint Frankfurt,21-307,2002,3.1,125,95,28,4,1,2,32,3,21,7,12,0,84,2,1,Matches
58,Anrie Chase,jp JPN,DF,Stuttgart,20-190,2004,2.5,170,163,7,3,0,2,0,4,0,0,0,0,155,0,1,Matches
59,Fabio Chiarodia,it ITA,DF,Gladbach,19-117,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Nnamdi Collins,de GER,DF,Eint Frankfurt,20-264,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,28-109,1996,2.3,106,105,1,0,0,0,9,1,0,0,0,0,85,0,1,Matches
62,Sirlord Conteh,de GER,"FW,DF",Heidenheim,28-083,1996,1.4,42,39,2,0,0,0,6,1,0,0,0,0,28,1,4,Matches
63,Yan Couto,br BRA,DF,Dortmund,22-119,2002,1.6,114,100,14,2,0,2,7,11,1,0,1,0,92,0,1,Matches
64,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,24-048,2000,0.9,26,26,0,0,0,0,2,0,0,0,0,0,18,0,0,Matches
65,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,28-273,1996,0.6,31,31,0,0,0,0,1,0,0,0,0,0,25,0,1,Matches
66,Bence Dárdai,de GER,FW,Wolfsburg,18-250,2006,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
67,Lukas Daschner,de GER,"MF,FW",Bochum,25-365,1998,2.0,46,39,7,3,0,0,9,0,2,1,1,0,30,0,0,Matches
68,Alphonso Davies,ca CAN,DF,Bayern Munich,23-333,2000,3.3,225,199,26,4,1,0,1,22,0,0,0,0,208,0,3,Matches
69,Olivier Deman,be BEL,DF,Werder Bremen,24-177,2000,0.2,6,3,3,0,0,0,0,3,0,0,0,0,5,0,0,Matches
70,Ermedin Demirović,ba BIH,FW,Stuttgart,26-189,1998,3.6,73,68,4,0,1,0,0,0,0,0,0,0,51,1,5,Matches
71,Justin Diehl,de GER,DF,Stuttgart,19-308,2004,0.3,17,16,1,0,0,0,5,0,1,1,0,0,11,0,0,Matches
72,Eric Dier,eng ENG,DF,Bayern Munich,30-259,1994,0.1,8,7,1,0,0,0,0,0,0,0,0,0,8,0,0,Matches
73,Junior Dina Ebimbe,fr FRA,"FW,MF",Eint Frankfurt,23-314,2000,1.0,34,34,0,0,0,0,4,0,0,0,0,0,19,0,1,Matches
74,Eren Dinkçi,de GER,MF,Freiburg,22-292,2001,2.1,76,75,0,0,0,0,2,0,0,0,0,0,55,1,4,Matches
75,Ritsu Doan,jp JPN,FW,Freiburg,26-106,1998,4.6,158,155,3,0,2,0,10,3,0,0,0,0,104,0,11,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
76,Danilho Doekhi,nl NED,DF,Union Berlin,26-092,1998,5.0,168,163,5,5,0,0,0,0,0,0,0,0,128,0,5,Matches
77,Niklas Dorsch,de GER,MF,Augsburg,26-259,1998,0.4,26,24,2,2,1,0,1,0,0,0,0,0,22,0,1,Matches
78,Niklas Dorsch,de GER,MF,Heidenheim,26-259,1998,1.4,72,64,8,5,0,1,2,1,2,0,2,0,62,0,1,Matches
79,Patrick Drewes,de GER,GK,Bochum,31-239,1993,5.0,227,146,80,28,0,0,0,0,0,0,0,0,146,1,1,Matches
80,Tim Drexler,de GER,DF,Hoffenheim,19-208,2005,3.5,159,153,6,3,1,2,1,3,0,0,0,0,135,0,3,Matches
81,Marvin Ducksch,de GER,FW,Werder Bremen,30-207,1994,4.1,118,86,30,7,0,4,26,1,15,4,7,0,71,2,1,Matches
82,Julien Duranville,be BEL,FW,Dortmund,18-148,2006,0.3,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
83,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,29-005,1995,1.0,66,55,11,2,0,0,2,8,0,0,0,0,48,0,2,Matches
84,Johannes Eggestein,de GER,FW,St. Pauli,26-145,1998,4.4,122,118,4,0,2,1,12,0,0,0,0,0,85,0,5,Matches
85,Maximilian Eggestein,de GER,MF,Freiburg,27-297,1996,4.7,192,187,3,3,0,0,1,0,0,0,0,0,153,2,7,Matches
86,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,22-102,2002,3.2,86,79,7,1,1,0,5,0,0,0,0,0,65,0,2,Matches
87,Nico Elvedi,ch SUI,DF,Gladbach,28-000,1996,5.0,358,339,18,5,0,0,1,0,0,0,0,0,321,1,4,Matches
