Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-116,2001,5,408,82,90.7,4.5,5,82,2,0,,0,1.80,8,7,+1,+0.22,+0.22,9.1,4.3,+4.8,+1.06,+0.98,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,22-256,2002,5,305,61,67.8,3.4,4,68,1,1,34,0,2.00,7,6,+1,+0.30,-0.33,6.2,4.9,+1.3,+0.39,+0.82,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24-143,2000,5,128,26,28.4,1.4,1,55,0,4,18,0,2.00,4,5,-1,-0.70,-2.10,3.4,1.7,+1.7,+1.19,+0.36,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,26-231,1998,5,278,56,61.8,3.1,2,89,0,3,34,0,0.80,4,4,0,0.00,+1.05,3.1,4.8,-1.7,-0.55,-0.38,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-003,1999,5,422,84,93.8,4.7,5,84,3,0,,0,1.60,7,11,-4,-0.85,-4.07,6.2,6.4,-0.2,-0.04,+0.84,Matches
6,Jonathan Akaegbobi,de GER,FW,Wolfsburg,18-158,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-164,1995,5,450,90,100.0,5.0,5,90,5,0,,0,0.60,9,15,-6,-1.20,,7.0,11.9,-4.9,-0.98,,Matches
8,Andreas Albers,dk DEN,FW,St. Pauli,34-191,1990,3,23,8,5.1,0.3,0,,0,3,8,1,1.00,0,1,-1,-3.91,-3.70,0.2,1.0,-0.7,-2.83,-2.56,Matches
9,Ben Alexander Voll,de GER,GK,St. Pauli,23-296,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
10,Skelly Alvero,fr FRA,MF,Werder Bremen,22-149,2002,4,42,11,9.3,0.5,0,,0,4,11,1,1.75,0,0,0,0.00,+0.66,0.6,0.7,-0.1,-0.14,-0.05,Matches
11,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-061,2003,2,51,26,11.3,0.6,1,45,0,1,6,3,3.00,1,1,0,0.00,-1.13,1.0,1.5,-0.5,-0.87,-1.86,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,27-339,1996,4,300,75,66.7,3.3,4,75,2,0,,0,1.25,6,6,0,0.00,+1.20,4.6,6.2,-1.6,-0.48,+0.69,Matches
13,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24-144,2000,3,219,73,48.7,2.4,2,87,0,1,45,0,0.33,6,5,+1,+0.41,+1.19,2.6,4.8,-2.2,-0.91,-0.51,Matches
14,Robert Andrich,de GER,MF,Leverkusen,30-008,1994,3,250,83,55.6,2.8,3,83,1,0,,2,2.33,7,3,+4,+1.44,+1.44,5.0,3.3,+1.7,+0.60,-0.75,Matches
15,Mathys Angély,fr FRA,DF,Wolfsburg,17-162,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
16,Waldemar Anton,de GER,DF,Dortmund,28-072,1996,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,11,9,+2,+0.40,,8.8,8.1,+0.6,+0.13,,Matches
17,Maximilian Arnold,de GER,MF,Wolfsburg,30-126,1994,5,445,89,98.9,4.9,5,89,4,0,,0,0.80,10,10,0,0.00,+18.00,6.4,9.5,-3.0,-0.61,+3.66,Matches
