Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-116,2001,4.5,137,3,15,64,61,21,137,4,4,100.0,0,0.0,72,314,132,3,2,1,11,5,88,20,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,22-256,2002,3.4,135,2,12,60,68,17,135,22,12,54.5,9,40.9,81,689,351,12,10,8,10,5,101,29,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24-143,2000,1.4,84,2,10,26,49,12,84,9,4,44.4,4,44.4,42,289,172,6,6,2,4,2,64,15,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,26-231,1998,3.1,117,2,17,45,59,12,117,22,13,59.1,7,31.8,74,506,212,8,4,3,9,9,79,21,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-003,1999,4.7,230,15,70,88,73,13,230,5,1,20.0,4,80.0,113,656,357,10,2,4,7,1,145,40,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-164,1995,5.0,359,56,159,173,28,1,359,6,3,50.0,3,50.0,218,974,435,5,4,0,2,1,226,8,Matches
7,Andreas Albers,dk DEN,FW,St. Pauli,34-191,1990,0.3,18,0,1,3,14,4,18,0,0,,0,,8,22,1,0,0,0,0,4,17,4,Matches
8,Skelly Alvero,fr FRA,MF,Werder Bremen,22-149,2002,0.5,23,5,14,5,4,0,23,0,0,,0,,4,21,8,0,0,0,1,1,7,0,Matches
9,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-061,2003,0.6,38,7,14,21,3,0,38,1,1,100.0,0,0.0,25,107,46,1,0,0,0,0,23,1,Matches
10,Nadiem Amiri,de GER,MF,Mainz 05,27-339,1996,3.3,229,9,42,116,72,4,228,5,4,80.0,1,20.0,108,498,187,5,3,1,4,5,135,8,Matches
11,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24-144,2000,2.4,74,0,9,24,42,8,74,7,0,0.0,7,100.0,42,292,164,6,3,4,3,1,54,21,Matches
12,Robert Andrich,de GER,MF,Leverkusen,30-008,1994,2.8,161,9,39,95,29,1,161,2,1,50.0,0,0.0,48,191,74,0,2,0,0,0,108,4,Matches
