Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-116,2001,5,5,408,4.5,2,1,3,2,0,0,2,0,2.1,2.1,1.1,3.3,3,2,20,0.44,0.22,0.66,0.44,0.66,0.47,0.25,0.72,0.47,0.72,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,22-256,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24-143,2000,5,1,128,1.4,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,6,3,15,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.29,0.28,0.29,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,26-231,1998,5,2,278,3.1,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.0,8,6,21,0.32,0.00,0.32,0.32,0.32,0.22,0.12,0.34,0.22,0.34,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-003,1999,5,5,422,4.7,1,0,1,1,0,0,0,0,0.1,0.1,0.4,0.5,10,10,40,0.21,0.00,0.21,0.21,0.21,0.01,0.09,0.11,0.01,0.11,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29-164,1995,5,5,450,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,26,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
7,Andreas Albers,dk DEN,FW,St. Pauli,34-191,1990,3,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,4,0.00,0.00,0.00,0.00,0.00,0.36,0.37,0.73,0.36,0.73,Matches
8,Skelly Alvero,fr FRA,MF,Werder Bremen,22-149,2002,4,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-061,2003,2,1,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Nadiem Amiri,de GER,MF,Mainz 05,27-339,1996,4,4,300,3.3,2,0,2,1,1,1,2,1,1.1,0.3,0.5,0.8,5,23,8,0.60,0.00,0.60,0.30,0.30,0.33,0.14,0.47,0.09,0.24,Matches
11,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24-144,2000,3,2,219,2.4,1,2,3,1,0,0,1,0,0.6,0.6,0.5,1.1,6,1,21,0.41,0.82,1.23,0.41,1.23,0.26,0.20,0.47,0.26,0.47,Matches
12,Robert Andrich,de GER,MF,Leverkusen,30-008,1994,3,3,250,2.8,1,0,1,1,0,0,2,0,0.1,0.1,0.0,0.1,0,7,4,0.36,0.00,0.36,0.36,0.36,0.03,0.02,0.05,0.03,0.05,Matches
13,Waldemar Anton,de GER,DF,Dortmund,28-072,1996,5,5,450,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,22,6,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,30-126,1994,5,5,445,4.9,1,1,2,1,0,0,4,0,0.1,0.1,0.2,0.3,0,16,2,0.20,0.20,0.40,0.20,0.40,0.02,0.03,0.05,0.02,0.05,Matches
15,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,24-268,2000,5,0,132,1.5,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,2,12,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.24,0.19,0.24,Matches
16,Arthur,br BRA,DF,Leverkusen,21-197,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Noah Atubolu,de GER,GK,Freiburg,22-128,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Ridle Baku,de GER,"FW,MF",Wolfsburg,26-175,1998,5,4,326,3.6,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.8,2,11,25,0.28,0.00,0.28,0.28,0.28,0.14,0.07,0.21,0.14,0.21,Matches
