Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Julen Agirrezabala,es ESP,GK,Athletic Club,23-279,2000,6,6,486,5.4,4,0.74,13,9,76.9,4,1,1,2,33.3,1,1,0,0,0.0,Matches
2,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28-153,1996,4,4,360,4.0,3,0.75,11,8,72.7,1,3,0,1,25.0,0,0,0,0,,Matches
3,Cárdenas,es ESP,GK,Rayo Vallecano,27-186,1997,4,4,360,4.0,5,1.25,12,7,58.3,1,1,2,1,25.0,0,0,0,0,,Matches
4,Jasper Cillessen,nl NED,GK,Las Palmas,35-161,1989,7,7,630,7.0,13,1.86,36,23,69.4,0,3,4,0,0.0,4,2,1,1,33.3,Matches
5,Diego Conde,es ESP,GK,Villarreal,25-338,1998,7,7,630,7.0,14,2.00,38,25,63.2,4,2,1,0,0.0,1,0,0,1,,Matches
6,Thibaut Courtois,be BEL,GK,Real Madrid,32-142,1992,8,8,720,8.0,6,0.75,19,14,68.4,5,3,0,3,37.5,0,0,0,0,,Matches
7,Marko Dmitrović,rs SRB,GK,Leganés,32-250,1992,2,2,180,2.0,2,1.00,10,8,90.0,0,2,0,0,0.0,1,1,0,0,0.0,Matches
8,Joan García,es ESP,GK,Espanyol,23-149,2001,8,8,720,8.0,12,1.50,51,38,78.4,2,1,5,1,12.5,2,1,1,0,50.0,Matches
9,Paulo Gazzaniga,ar ARG,GK,Girona,32-272,1992,8,8,720,8.0,11,1.37,28,17,60.7,2,3,3,3,37.5,0,0,0,0,,Matches
10,Dominik Greif,sk SVK,GK,Mallorca,27-177,1997,5,5,450,5.0,5,1.00,22,17,77.3,2,1,2,1,20.0,0,0,0,0,,Matches
11,Vicente Guaita,es ESP,GK,Celta Vigo,37-264,1987,4,4,360,4.0,6,1.50,13,7,53.8,1,1,2,0,0.0,0,0,0,0,,Matches
12,Sergio Herrera,es ESP,GK,Osasuna,31-117,1993,8,8,720,8.0,13,1.62,35,23,62.9,4,2,2,2,25.0,0,0,0,0,,Matches
13,Karl Jakob Hein,ee EST,GK,Valladolid,22-170,2002,8,8,720,8.0,17,2.12,46,30,63.0,1,2,5,3,37.5,0,0,0,0,,Matches
14,Giorgi Mamardashvili,ge GEO,GK,Valencia,24-001,2000,8,8,720,8.0,13,1.62,32,18,62.5,1,2,5,2,25.0,2,1,1,0,50.0,Matches
15,Juan Musso,ar ARG,GK,Atlético Madrid,30-147,1994,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
16,Ørjan Nyland,no NOR,GK,Sevilla,34-020,1990,8,8,720,8.0,10,1.25,34,25,73.5,2,3,3,2,25.0,1,1,0,0,0.0,Matches
17,Jan Oblak,si SVN,GK,Atlético Madrid,31-267,1993,7,7,630,7.0,4,0.57,21,18,81.0,3,4,0,4,57.1,0,0,0,0,,Matches
18,Alex Padilla,es ESP,GK,Athletic Club,21-029,2003,4,2,231,2.6,4,1.56,11,8,63.6,0,1,1,0,0.0,0,0,0,0,,Matches
19,Iñaki Peña,es ESP,GK,Barcelona,25-212,1999,3,2,226,2.5,4,1.59,7,3,57.1,1,0,1,1,50.0,1,1,0,0,0.0,Matches
20,Álex Remiro,es ESP,GK,Real Sociedad,29-190,1995,8,8,720,8.0,7,0.87,29,22,89.7,2,2,4,4,50.0,4,4,0,0,0.0,Matches
21,Leo Román,es ESP,GK,Mallorca,24-086,2000,3,3,270,3.0,1,0.33,13,12,92.3,2,1,0,2,66.7,0,0,0,0,,Matches
22,Rui Silva,pt POR,GK,Betis,30-236,1994,8,8,720,8.0,7,0.87,24,17,75.0,3,3,2,3,37.5,1,1,0,0,0.0,Matches
23,Antonio Sivera,es ESP,GK,Alavés,28-050,1996,8,8,720,8.0,12,1.50,32,20,68.8,3,1,4,2,25.0,2,2,0,0,0.0,Matches
24,David Soria,es ESP,GK,Getafe,31-179,1993,8,8,720,8.0,6,0.75,22,16,77.3,1,4,3,3,37.5,1,1,0,0,0.0,Matches
25,Juan Soriano,es ESP,GK,Leganés,27-038,1997,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Marc-André ter Stegen,de GER,GK,Barcelona,32-153,1992,6,6,494,5.5,5,0.91,15,10,73.3,6,0,0,1,16.7,1,1,0,0,0.0,Matches
27,Iván Villar,es ESP,GK,Celta Vigo,27-083,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,Matches
