Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Álvaro Abajas,es ESP,GK,Leganés,21-141,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21-141,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
3,Abel,es ESP,DF,Osasuna,24-040,2000,7,521,74,72.4,5.8,6,85,4,1,14,1,2.00,8,8,0,0.00,+0.45,4.3,6.4,-2.0,-0.35,-0.61,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,22-038,2002,4,224,56,31.1,2.5,3,74,1,1,2,0,1.50,1,1,0,0.00,+0.18,1.6,0.6,+1.0,+0.41,+0.55,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,25-204,1999,8,612,77,85.0,6.8,8,77,5,0,,0,1.25,8,10,-2,-0.29,-1.13,8.1,7.8,+0.3,+0.05,+0.08,Matches
6,Adrián,es ESP,GK,Betis,37-271,1987,0,,,0.0,0.0,0,,0,0,,7,3.00,2,0,+2,,,,,,,,Matches
7,Julen Agirrezabala,es ESP,GK,Athletic Club,23-279,2000,6,486,81,67.5,5.4,6,81,4,0,,1,2.17,9,4,+5,+0.93,+1.31,6.8,5.6,+1.2,+0.22,+1.10,Matches
8,Lucien Agoume,fr FRA,MF,Sevilla,22-234,2002,8,465,58,64.6,5.2,5,82,2,3,18,0,1.13,4,10,-6,-1.16,-2.57,5.8,7.7,-2.0,-0.38,-1.24,Matches
9,Álvaro Aguado,es ESP,MF,Espanyol,28-152,1996,7,228,33,31.7,2.5,2,72,0,5,17,1,1.00,3,3,0,0.00,+0.91,2.7,4.4,-1.8,-0.69,+0.44,Matches
10,Nayef Aguerd,ma MAR,DF,Real Sociedad,28-184,1996,4,334,84,46.4,3.7,4,84,2,0,,0,1.00,3,3,0,0.00,+0.23,6.4,4.7,+1.6,+0.44,+1.01,Matches
11,Lalo Aguilar,es ESP,DF,Leganés,22-111,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
12,Joseph Aidoo,gh GHA,DF,Celta Vigo,29-001,1995,1,2,2,0.3,0.0,0,,0,1,2,7,3.00,1,0,+1,+45.00,+45.13,0.3,0.0,+0.3,+14.69,+14.48,Matches
13,Ilias Akhomach,ma MAR,MF,Villarreal,20-167,2004,6,291,49,46.2,3.2,3,71,0,3,26,1,1.83,4,4,0,0.00,0.00,3.5,3.1,+0.5,+0.14,+0.08,Matches
14,Raúl Albiol,es ESP,DF,Villarreal,39-026,1985,6,401,67,63.7,4.5,5,79,4,1,6,1,2.33,10,7,+3,+0.67,+1.85,7.1,5.3,+1.8,+0.39,+0.82,Matches
15,Alcázar,es ESP,DF,Betis,22-081,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
16,Omar Alderete,py PAR,DF,Getafe,27-279,1996,7,630,90,87.5,7.0,7,90,7,0,,0,1.00,5,5,0,0.00,+1.00,6.8,6.2,+0.6,+0.09,+0.48,Matches
17,Carles Aleñá,es ESP,"MF,FW",Getafe,26-269,1998,6,305,51,42.4,3.4,3,70,0,3,32,2,0.50,1,3,-2,-0.59,-0.81,2.1,4.6,-2.5,-0.75,-1.34,Matches
18,Alfon,es ESP,"FW,MF",Celta Vigo,25-149,1999,4,187,47,26.0,2.1,2,63,0,2,31,3,0.25,2,6,-4,-1.93,-2.60,1.9,3.6,-1.7,-0.82,-1.46,Matches
19,Tadeo Allende,ar ARG,"FW,MF",Celta Vigo,25-223,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
20,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,24-123,2000,7,346,49,48.1,3.8,4,74,1,3,16,0,0.71,3,8,-5,-1.30,-0.58,3.4,6.7,-3.3,-0.87,+0.39,Matches
21,Iker Almena,es ESP,"FW,DF",Girona,20-149,2004,2,48,24,6.7,0.5,0,,0,2,24,0,0.50,1,1,0,0.00,+0.27,1.1,1.0,+0.1,+0.24,-0.32,Matches
22,Marcos Alonso,es ESP,"DF,MF",Celta Vigo,33-277,1990,4,282,71,39.2,3.1,2,90,2,2,51,0,1.00,3,4,-1,-0.32,-0.52,3.8,1.8,+2.0,+0.64,+0.63,Matches
23,Adrià Altimira,es ESP,"FW,DF",Leganés,23-186,2001,4,178,45,24.7,2.0,2,65,0,2,25,3,1.00,1,5,-4,-2.02,-2.02,1.1,3.6,-2.6,-1.29,-0.86,Matches
24,Sergi Altimira,es ESP,MF,Betis,23-036,2001,6,354,59,49.2,3.9,3,83,1,3,35,2,1.83,5,2,+3,+0.76,+1.25,7.8,2.5,+5.4,+1.37,+1.24,Matches
25,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21-090,2003,8,594,74,82.5,6.6,6,86,5,2,39,0,1.25,13,12,+1,+0.15,+0.87,10.5,6.8,+3.6,+0.55,+1.67,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Iker Álvarez,ad AND,GK,Villarreal,23-067,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
27,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,24-243,2000,8,438,55,60.8,4.9,5,72,1,3,27,0,2.00,5,2,+3,+0.62,-0.98,4.3,4.7,-0.4,-0.08,-1.92,Matches
28,Yeray Álvarez,es ESP,DF,Athletic Club,29-250,1995,4,360,90,50.0,4.0,4,90,4,0,,0,1.00,3,4,-1,-0.25,-1.50,3.0,4.5,-1.5,-0.37,-0.47,Matches
29,Selim Amallah,ma MAR,MF,Valladolid,27-320,1996,6,374,62,51.9,4.2,5,68,0,1,32,0,0.83,2,7,-5,-1.20,+0.88,3.3,6.6,-3.4,-0.81,+0.68,Matches
30,Amath,sn SEN,"FW,DF",Valladolid,28-076,1996,5,226,45,31.4,2.5,4,55,0,1,6,3,0.80,1,5,-4,-1.59,+0.05,1.9,3.1,-1.2,-0.47,+0.97,Matches
