Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Abel,es ESP,DF,Osasuna,24-040,2000,5.8,321,17,110,138,76,2,321,8,5,62.5,3,37.5,105,696,369,13,17,1,4,3,122,12,Matches
2,Nabil Aberdin,fr FRA,MF,Getafe,22-038,2002,2.5,70,5,16,45,9,2,70,3,2,66.7,1,33.3,31,130,64,2,0,0,1,0,28,2,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,25-204,1999,6.8,274,31,132,130,14,4,274,0,0,,0,,116,835,525,6,3,0,6,0,112,0,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,23-279,2000,5.4,166,140,165,1,0,0,166,0,0,,0,,80,530,273,0,0,0,1,0,66,0,Matches
5,Lucien Agoume,fr FRA,MF,Sevilla,22-234,2002,5.2,357,13,90,211,61,4,357,8,6,75.0,2,25.0,176,839,414,7,8,1,8,4,255,7,Matches
6,Álvaro Aguado,es ESP,MF,Espanyol,28-152,1996,2.5,157,3,28,90,40,0,157,4,2,50.0,1,25.0,90,731,390,7,3,0,4,2,104,2,Matches
7,Nayef Aguerd,ma MAR,DF,Real Sociedad,28-184,1996,3.7,311,28,144,159,8,3,311,0,0,,0,,212,1273,843,5,4,0,1,0,241,0,Matches
8,Joseph Aidoo,gh GHA,DF,Celta Vigo,29-001,1995,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0,Matches
9,Ilias Akhomach,ma MAR,MF,Villarreal,20-167,2004,3.2,128,5,28,39,62,13,128,20,7,35.0,10,50.0,86,594,325,13,7,9,10,6,87,32,Matches
10,Raúl Albiol,es ESP,DF,Villarreal,39-026,1985,4.5,290,55,173,113,4,1,290,0,0,,0,,131,560,222,0,1,0,1,1,192,0,Matches
11,Omar Alderete,py PAR,DF,Getafe,27-279,1996,7.0,335,44,154,147,36,14,335,7,3,42.9,4,57.1,123,862,497,7,6,1,4,2,124,0,Matches
12,Carles Aleñá,es ESP,"MF,FW",Getafe,26-269,1998,3.4,112,2,17,60,38,8,112,4,3,75.0,1,25.0,59,318,126,2,2,0,3,3,64,7,Matches
13,Alfon,es ESP,"FW,MF",Celta Vigo,25-149,1999,2.1,70,0,4,15,51,17,70,10,5,50.0,5,50.0,52,293,167,9,6,4,5,4,62,20,Matches
14,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,24-123,2000,3.8,201,2,23,113,67,11,201,5,2,40.0,3,60.0,121,541,233,6,9,3,7,5,148,16,Matches
15,Iker Almena,es ESP,"FW,DF",Girona,20-149,2004,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10,Matches
16,Marcos Alonso,es ESP,"DF,MF",Celta Vigo,33-277,1990,3.1,296,14,92,162,46,4,296,1,1,100.0,0,0.0,227,1228,836,12,5,1,2,0,232,18,Matches
17,Adrià Altimira,es ESP,"FW,DF",Leganés,23-186,2001,2.0,86,6,25,42,22,1,86,6,3,50.0,2,33.3,50,253,138,3,3,0,2,2,49,6,Matches
18,Sergi Altimira,es ESP,MF,Betis,23-036,2001,3.9,266,5,41,167,62,2,266,4,4,100.0,0,0.0,158,613,283,5,3,0,5,3,190,6,Matches
19,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21-090,2003,6.6,475,10,108,190,183,28,475,27,10,37.0,17,63.0,298,1605,934,29,18,17,14,7,315,70,Matches
20,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,24-243,2000,4.9,173,3,19,70,85,19,173,5,2,40.0,3,60.0,93,568,296,11,4,6,3,2,119,27,Matches
21,Yeray Álvarez,es ESP,DF,Athletic Club,29-250,1995,4.0,275,19,101,168,7,3,275,4,2,50.0,2,50.0,143,938,618,3,1,0,2,2,174,0,Matches
22,Selim Amallah,ma MAR,MF,Valladolid,27-320,1996,4.2,172,0,29,91,55,7,172,18,9,50.0,6,33.3,89,549,265,8,4,2,4,8,107,7,Matches
23,Amath,sn SEN,"FW,DF",Valladolid,28-076,1996,2.5,83,1,9,37,38,6,83,5,2,40.0,3,60.0,54,273,150,6,5,0,5,3,64,15,Matches
24,Marcos André,br BRA,FW,Valladolid,27-346,1996,2.3,51,3,7,37,9,3,51,4,2,50.0,1,25.0,36,197,45,1,1,1,7,5,45,5,Matches
25,Antoniu,es ESP,MF,Espanyol,22-025,2002,0.3,13,0,1,5,7,1,13,0,0,,0,,6,34,14,0,1,0,0,1,7,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Aritz Arambarri,es ESP,DF,Leganés,26-243,1998,2.0,86,12,59,26,1,1,86,0,0,,0,,44,253,137,0,0,0,1,0,48,0,Matches
27,Mauro Arambarri,uy URU,"MF,FW",Getafe,29-000,1995,4.2,161,8,36,95,31,8,161,5,2,40.0,3,60.0,70,247,110,1,0,0,11,4,76,6,Matches
28,Jon Aramburu,ve VEN,DF,Real Sociedad,22-069,2002,3.8,274,17,108,126,42,2,274,3,0,0.0,3,100.0,120,559,288,7,1,0,5,0,136,8,Matches
29,Adu Ares,es ESP,FW,Athletic Club,22-354,2001,0.2,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2,Matches
30,Jesús Areso,es ESP,DF,Osasuna,25-090,1999,6.8,385,18,74,172,143,7,385,12,5,41.7,6,50.0,165,1062,593,27,9,4,10,6,213,28,Matches
31,José Arnaiz,es ESP,FW,Osasuna,29-168,1995,0.2,12,1,1,6,5,0,12,2,0,0.0,1,50.0,9,32,11,1,0,0,0,1,9,1,Matches
