Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Abel,es ESP,DF,Osasuna,24-040,2000,7,6,521,5.8,2,0,2,2,0,0,1,0,0.2,0.2,0.2,0.4,13,25,12,0.35,0.00,0.35,0.35,0.35,0.04,0.03,0.07,0.04,0.07,Matches
2,Nabil Aberdin,fr FRA,MF,Getafe,22-038,2002,4,3,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
3,Abdel Abqar,ma MAR,DF,Alavés,25-204,1999,8,8,612,6.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.1,6,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,23-279,2000,6,6,486,5.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Lucien Agoume,fr FRA,MF,Sevilla,22-234,2002,8,5,465,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,7,24,7,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
6,Álvaro Aguado,es ESP,MF,Espanyol,28-152,1996,7,2,228,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,19,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
7,Nayef Aguerd,ma MAR,DF,Real Sociedad,28-184,1996,4,4,334,3.7,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,5,15,0,0.00,0.00,0.00,0.00,0.00,0.22,0.01,0.22,0.22,0.22,Matches
8,Joseph Aidoo,gh GHA,DF,Celta Vigo,29-001,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ilias Akhomach,ma MAR,MF,Villarreal,20-167,2004,6,3,291,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.7,13,4,32,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,Matches
10,Raúl Albiol,es ESP,DF,Villarreal,39-026,1985,6,5,401,4.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
11,Omar Alderete,py PAR,DF,Getafe,27-279,1996,7,7,630,7.0,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,7,31,0,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches
12,Carles Aleñá,es ESP,"MF,FW",Getafe,26-269,1998,6,3,305,3.4,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,8,7,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches
13,Alfon,es ESP,"FW,MF",Celta Vigo,25-149,1999,4,2,187,2.1,0,0,0,0,0,0,0,1,0.7,0.7,0.3,1.1,9,6,20,0.00,0.00,0.00,0.00,0.00,0.35,0.17,0.52,0.35,0.52,Matches
14,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,24-123,2000,7,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,28,16,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.10,0.04,0.10,Matches
15,Iker Almena,es ESP,"FW,DF",Girona,20-149,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Matches
16,Marcos Alonso,es ESP,"DF,MF",Celta Vigo,33-277,1990,4,2,282,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,12,31,18,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
17,Adrià Altimira,es ESP,"FW,DF",Leganés,23-186,2001,4,2,178,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,6,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
18,Sergi Altimira,es ESP,MF,Betis,23-036,2001,6,3,354,3.9,0,1,1,0,0,0,2,0,0.3,0.2,0.2,0.4,5,22,6,0.00,0.25,0.25,0.00,0.25,0.07,0.05,0.12,0.05,0.09,Matches
19,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21-090,2003,8,6,594,6.6,1,1,2,1,0,0,3,0,0.4,0.4,0.3,0.7,29,20,70,0.15,0.15,0.30,0.15,0.30,0.06,0.05,0.11,0.06,0.11,Matches
20,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,24-243,2000,8,5,438,4.9,2,0,2,2,0,0,1,0,1.6,1.6,0.2,1.8,11,5,27,0.41,0.00,0.41,0.41,0.41,0.33,0.04,0.37,0.33,0.37,Matches
21,Yeray Álvarez,es ESP,DF,Athletic Club,29-250,1995,4,4,360,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,28,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
22,Selim Amallah,ma MAR,MF,Valladolid,27-320,1996,6,5,374,4.2,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.6,8,20,7,0.00,0.24,0.24,0.00,0.24,0.11,0.03,0.14,0.11,0.14,Matches
23,Amath,sn SEN,"FW,DF",Valladolid,28-076,1996,5,4,226,2.5,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,6,8,15,0.00,0.40,0.40,0.00,0.40,0.11,0.08,0.19,0.11,0.19,Matches
