Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18-178,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-002,1987,5.0,5,2,5,0,0,4,7,57.1,3,9,8,1,3,8,24,0,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24-318,1999,5.9,12,8,2,4,6,5,9,55.6,4,5,0,5,6,18,5,0,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25-242,1999,1.8,9,6,6,2,1,6,11,54.5,5,1,1,0,0,9,4,1,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30-285,1993,1.5,8,5,3,2,3,7,10,70.0,3,3,1,2,1,9,4,0,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21-186,2003,5.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0,Matches
7,Abner,br BRA,DF,Lyon,24-126,2000,5.1,12,8,4,6,2,9,13,69.2,4,8,1,7,5,17,12,0,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24-225,2000,4.6,1,0,0,0,1,0,2,0.0,2,3,0,3,2,3,0,0,Matches
9,Akor Adams,ng NGA,FW,Montpellier,24-245,2000,5.1,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0,Matches
10,Martin Adeline,fr FRA,MF,Reims,20-303,2003,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,Matches
11,Adryelson,br BRA,DF,Lyon,26-191,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-105,1997,6.0,18,11,14,2,2,13,17,76.5,4,14,10,4,8,26,31,1,Matches
13,Ruben Aguilar,fr FRA,DF,Lens,31-157,1993,2.9,9,6,5,4,0,7,9,77.8,2,5,1,4,5,14,2,0,Matches
14,Jean-Eudes Aholou,ci CIV,MF,Angers,30-194,1994,4.1,11,8,5,4,2,4,9,44.4,5,4,2,2,8,19,5,0,Matches
15,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-097,2005,1.0,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0,Matches
16,Ludovic Ajorque,fr FRA,FW,Brest,30-218,1994,4.5,3,2,0,2,1,1,4,25.0,3,2,0,2,0,3,4,0,Matches
17,Ümit Akdag,ro ROU,DF,Toulouse,20-360,2003,0.9,3,2,1,2,0,3,5,60.0,2,1,1,0,5,8,0,0,Matches
18,Sergio Akieme,es ESP,DF,Reims,26-289,1997,4.0,5,4,4,1,0,3,6,50.0,3,4,2,2,1,6,12,0,Matches
19,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,22-218,2002,4.2,8,6,5,2,1,2,7,28.6,5,2,0,2,0,8,2,0,Matches
20,Clément Akpa,ci CIV,DF,Auxerre,22-311,2001,3.8,4,1,1,0,3,2,6,33.3,4,7,2,5,5,9,16,1,Matches
21,Mohamed Ali Cho,fr FRA,FW,Nice,20-255,2004,3.9,3,2,0,1,2,0,3,0.0,3,2,0,2,1,4,1,0,Matches
22,Jim Allevinah,ga GAB,FW,Angers,29-216,1995,2.3,2,1,1,0,1,0,2,0.0,2,1,0,1,1,3,2,0,Matches
23,Jordan Amavi,fr FRA,DF,Brest,30-205,1994,3.8,14,10,5,6,3,9,13,69.2,4,5,2,3,6,20,8,0,Matches
24,Kelvin Amian,fr FRA,DF,Nantes,26-235,1998,4.2,19,11,17,2,0,9,11,81.8,2,4,1,3,1,20,11,0,Matches
25,Michael Amir Murillo,pa PAN,DF,Marseille,28-232,1996,6.0,13,7,8,3,2,6,12,50.0,6,3,3,0,4,17,17,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Mathis Amougou,fr FRA,MF,Saint-Étienne,18-256,2006,5.1,5,3,3,2,0,2,5,40.0,3,4,0,4,5,10,2,0,Matches
27,Benjamin André,fr FRA,MF,Lille,34-058,1990,4.9,13,6,5,7,1,8,13,61.5,5,5,0,5,6,19,4,0,Matches
28,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-113,1992,3.9,13,11,9,4,0,10,21,47.6,11,7,4,3,3,16,16,0,Matches
29,Carlens Arcus,ht HAI,DF,Angers,28-094,1996,4.8,13,5,7,5,1,8,16,50.0,8,6,1,5,9,22,7,1,Matches
30,Hákon Arnar Haraldsson,is ISL,MF,Lille,21-173,2003,1.9,5,2,2,2,1,3,7,42.9,4,0,0,0,1,6,0,0,Matches
31,Marco Asensio,es ESP,"FW,MF",Paris S-G,28-253,1996,2.9,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0,Matches
32,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-100,2000,4.3,6,4,2,4,0,4,7,57.1,3,5,3,2,7,13,20,0,Matches
33,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19-166,2005,0.3,2,1,0,0,2,0,0,,0,0,0,0,0,2,1,0,Matches
34,Valentin Atangana Edoa,fr FRA,MF,Reims,19-036,2005,5.6,14,9,7,6,1,5,8,62.5,3,6,3,3,7,21,10,0,Matches
35,Florian Ayé,fr FRA,FW,Auxerre,27-255,1997,1.6,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,3,0,Matches
36,Neil El Aynaoui,fr FRA,MF,Lens,23-090,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
37,Shavy Babicka,ga GAB,MF,Toulouse,24-121,2000,2.7,7,6,3,3,1,4,5,80.0,1,1,0,1,0,7,0,0,Matches
38,Theo Bair,ca CAN,FW,Auxerre,25-034,1999,2.1,0,0,0,0,0,0,0,,0,2,1,1,0,0,2,0,Matches
39,Mitchel Bakker,nl NED,DF,Lille,24-102,2000,0.6,5,4,1,2,2,2,2,100.0,0,0,0,0,4,9,0,0,Matches
40,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,22-035,2002,5.8,8,5,5,1,2,4,7,57.1,3,3,0,3,3,11,6,0,Matches
41,Leonardo Balerdi,ar ARG,DF,Marseille,25-248,1999,2.0,2,2,2,0,0,1,2,50.0,1,2,2,0,3,5,7,1,Matches
42,Folarin Balogun,us USA,FW,Monaco,23-089,2001,3.8,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
43,Abdoulaye Bamba,ci CIV,DF,Angers,34-158,1990,2.7,5,2,4,1,0,2,3,66.7,1,1,1,0,4,9,12,0,Matches
44,Bradley Barcola,fr FRA,FW,Paris S-G,22-028,2002,4.2,8,4,5,2,1,1,3,33.3,2,6,0,6,2,10,1,0,Matches
45,Melvin Bard,fr FRA,"MF,DF",Nice,23-329,2000,3.7,8,4,4,4,0,3,6,50.0,3,7,2,5,2,10,4,1,Matches
46,Gabriel Bares,ch SUI,MF,Montpellier,24-032,2000,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
47,Dylan Batubinsika,cd COD,DF,Saint-Étienne,28-228,1996,6.0,11,6,9,2,0,5,7,71.4,2,6,3,3,11,22,29,0,Matches
48,Haris Belkebla,dz ALG,MF,Angers,30-246,1994,2.9,6,5,5,1,0,2,6,33.3,4,4,1,3,1,7,3,1,Matches
49,Yassin Belkhdim,fr FRA,MF,Angers,22-229,2002,3.1,11,5,3,5,3,3,5,60.0,2,4,0,4,6,17,4,0,Matches
50,Eliesse Ben Seghir,ma MAR,"FW,MF",Monaco,19-227,2005,4.4,11,8,4,4,3,6,8,75.0,2,6,0,6,0,11,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-051,1995,2.9,2,1,1,1,0,1,3,33.3,2,0,0,0,1,3,0,0,Matches
52,Lucas Beraldo,br BRA,DF,Paris S-G,20-311,2003,4.9,10,9,9,1,0,7,13,53.8,6,4,0,4,3,13,8,0,Matches
53,Dimitry Bertaud,cd COD,GK,Montpellier,26-116,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
54,Emmanuel Biumla,fr FRA,DF,Angers,19-145,2005,3.1,10,5,6,4,0,8,10,80.0,2,4,0,4,3,13,8,0,Matches
55,Marco Bizot,nl NED,GK,Brest,33-204,1991,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
56,Ludovic Blas,fr FRA,"MF,FW",Rennes,26-274,1997,5.6,5,4,1,2,2,4,9,44.4,5,5,2,3,3,8,2,0,Matches
57,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,23-332,2000,0.6,3,1,1,2,0,2,4,50.0,2,0,0,0,0,3,0,0,Matches
58,Jeremie Boga,ci CIV,"FW,MF",Nice,27-271,1997,1.9,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
59,Moïse Bombito,ca CAN,DF,Nice,24-184,2000,3.7,7,6,4,3,0,4,5,80.0,1,5,5,0,4,11,19,1,Matches
60,Ayyoub Bouaddi,fr FRA,MF,Lille,16-364,2007,1.0,7,3,4,2,1,3,6,50.0,3,1,0,1,0,7,0,0,Matches
61,Badredine Bouanani,dz ALG,"FW,MF",Nice,19-297,2004,2.9,0,0,0,0,0,0,2,0.0,2,3,0,3,3,3,0,0,Matches
