Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Dimitry Bertaud,cd COD,GK,Montpellier,26-116,1998,2,2,180,2.0,4,2.0,11,7,63.6,1,0,1,0,0.0,0,0,0,0,,Matches
2,Marco Bizot,nl NED,GK,Brest,33-204,1991,6,6,540,6.0,13,2.17,28,16,64.3,2,0,4,2,33.3,4,3,0,1,0.0,Matches
3,Marcin Bułka,pl POL,GK,Nice,24-362,1999,6,6,540,6.0,6,1.0,30,24,83.3,2,2,2,2,33.3,1,1,0,0,0.0,Matches
4,Lucas Chevalier,fr FRA,GK,Lille,22-329,2001,6,6,540,6.0,7,1.17,27,20,77.8,3,1,2,3,50.0,1,1,0,0,0.0,Matches
5,Arthur Desmas,fr FRA,GK,Le Havre,30-176,1994,6,6,540,6.0,13,2.17,37,23,67.6,2,0,4,1,16.7,2,1,1,0,50.0,Matches
6,Yehvann Diouf,fr FRA,GK,Reims,24-319,1999,6,6,540,6.0,8,1.33,34,26,76.5,3,2,1,0,0.0,0,0,0,0,,Matches
7,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25-218,1999,4,4,360,4.0,3,0.75,12,9,83.3,4,0,0,1,25.0,1,1,0,0,0.0,Matches
8,Yahia Fofana,ci CIV,GK,Angers,24-040,2000,6,6,540,6.0,12,2.0,36,24,66.7,0,2,4,0,0.0,0,0,0,0,,Matches
9,Karl-Johan Johnsson,se SWE,GK,Strasbourg,34-246,1990,3,3,270,3.0,6,2.0,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0,Matches
10,Philipp Köhn,ch SUI,GK,Monaco,26-181,1998,6,6,540,6.0,3,0.5,15,12,86.7,5,1,0,3,50.0,1,1,0,0,0.0,Matches
11,Alban Lafont,fr FRA,GK,Nantes,25-251,1999,6,6,540,6.0,6,1.0,21,15,81.0,2,3,1,2,33.3,2,2,0,0,0.0,Matches
12,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27-220,1997,6,6,540,6.0,17,2.83,38,22,65.8,1,1,4,1,16.7,4,4,0,0,0.0,Matches
13,Benjamin Lecomte,fr FRA,GK,Montpellier,33-157,1991,4,4,360,4.0,13,3.25,25,12,52.0,0,1,3,0,0.0,1,1,0,0,0.0,Matches
14,Donovan Léon,gf GUF,GK,Auxerre,31-332,1992,6,6,540,6.0,12,2.0,32,21,65.6,2,0,4,1,16.7,1,1,0,0,0.0,Matches
15,Steve Mandanda,fr FRA,GK,Rennes,39-186,1985,6,6,540,6.0,9,1.5,27,18,66.7,2,1,3,2,33.3,1,0,1,0,100.0,Matches
16,Lucas Perri,br BRA,GK,Lyon,26-295,1997,6,6,540,6.0,12,2.0,34,22,64.7,2,1,3,1,16.7,0,0,0,0,,Matches
17,Đorđe Petrović,rs SRB,GK,Strasbourg,24-358,1999,3,3,270,3.0,4,1.33,12,8,75.0,1,2,0,1,33.3,1,1,0,0,0.0,Matches
18,Guillaume Restes,fr FRA,GK,Toulouse,19-203,2005,6,6,540,6.0,8,1.33,18,12,55.6,1,2,3,2,33.3,0,0,0,0,,Matches
19,Gerónimo Rulli,ar ARG,GK,Marseille,32-133,1992,6,6,540,6.0,7,1.17,29,20,75.9,4,1,1,1,16.7,2,0,2,0,100.0,Matches
20,Matvei Safonov,ru RUS,GK,Paris S-G,25-218,1999,2,2,180,2.0,2,1.0,6,4,83.3,1,1,0,0,0.0,1,1,0,0,0.0,Matches
21,Brice Samba,fr FRA,GK,Lens,30-158,1994,6,6,540,6.0,2,0.33,21,19,95.2,2,4,0,4,66.7,1,1,0,0,0.0,Matches
