Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Dimitry Bertaud,cd COD,GK,Montpellier,26-116,1998,2.0,4,0,0,0,0,3.5,0.33,-0.5,-0.26,17,39,43.6,52,11,48.1,38.7,18,77.8,55.0,30,7,23.3,0,0.0,10.1,Matches
2,Marco Bizot,nl NED,GK,Brest,33-204,1991,6.0,13,3,0,0,1,9.1,0.23,-2.9,-0.48,51,124,41.1,175,16,49.1,38.5,47,80.9,57.5,82,4,4.9,2,0.33,10.9,Matches
3,Marcin Bułka,pl POL,GK,Nice,24-362,1999,6.0,6,1,0,1,0,8.6,0.28,2.6,0.43,17,41,41.5,180,32,16.7,26.2,37,29.7,29.7,73,9,12.3,4,0.67,10.7,Matches
4,Lucas Chevalier,fr FRA,GK,Lille,22-329,2001,6.0,7,1,0,0,0,8.1,0.28,1.1,0.18,14,34,41.2,135,22,23.7,28.4,19,10.5,25.3,38,4,10.5,3,0.5,15.6,Matches
5,Arthur Desmas,fr FRA,GK,Le Havre,30-176,1994,6.0,13,1,1,0,0,15.2,0.38,2.2,0.36,17,50,34.0,142,33,26.8,30.7,33,36.4,35.5,76,5,6.6,2,0.33,10.1,Matches
6,Yehvann Diouf,fr FRA,GK,Reims,24-319,1999,6.0,8,0,0,2,0,10.3,0.32,2.3,0.38,20,85,23.5,207,21,30.4,33.5,31,71.0,49.8,93,5,5.4,3,0.5,11.8,Matches
7,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25-218,1999,4.0,3,1,0,0,0,3.2,0.2,0.2,0.04,7,28,25.0,101,15,16.8,26.1,21,52.4,34.4,34,1,2.9,3,0.75,15.2,Matches
8,Yahia Fofana,ci CIV,GK,Angers,24-040,2000,6.0,12,0,0,1,0,12.1,0.34,0.1,0.02,26,68,38.2,149,34,36.2,33.9,34,41.2,34.9,69,7,10.1,6,1.0,11.8,Matches
9,Karl-Johan Johnsson,se SWE,GK,Strasbourg,34-246,1990,3.0,6,1,0,0,0,6.7,0.26,0.7,0.22,6,22,27.3,122,21,15.6,23.9,7,42.9,39.7,48,2,4.2,3,1.0,11.1,Matches
10,Philipp Köhn,ch SUI,GK,Monaco,26-181,1998,6.0,3,1,0,0,0,3.6,0.18,0.6,0.11,16,47,34.0,132,20,26.5,30.3,36,33.3,33.4,61,5,8.2,8,1.33,14.9,Matches
11,Alban Lafont,fr FRA,GK,Nantes,25-251,1999,6.0,6,2,0,1,0,4.7,0.17,-1.3,-0.21,19,62,30.6,119,26,31.1,34.3,34,73.5,53.1,108,8,7.4,1,0.17,8.8,Matches
12,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,27-220,1997,6.0,17,4,0,2,1,13.7,0.29,-2.3,-0.39,29,98,29.6,174,25,40.2,36.1,39,71.8,49.5,100,3,3.0,5,0.83,13.0,Matches
13,Benjamin Lecomte,fr FRA,GK,Montpellier,33-157,1991,4.0,13,1,0,0,0,8.8,0.32,-4.2,-1.06,23,59,39.0,107,9,44.9,37.2,26,42.3,32.3,45,3,6.7,6,1.5,15.7,Matches
14,Donovan Léon,gf GUF,GK,Auxerre,31-332,1992,6.0,12,1,0,3,1,9.8,0.29,-1.2,-0.2,44,121,36.4,187,26,55.6,41.4,23,73.9,58.3,102,6,5.9,9,1.5,14.8,Matches
15,Steve Mandanda,fr FRA,GK,Rennes,39-186,1985,6.0,9,0,0,1,1,7.3,0.25,-0.7,-0.11,27,77,35.1,152,24,39.5,35.0,27,63.0,46.7,68,3,4.4,2,0.33,9.7,Matches
16,Lucas Perri,br BRA,GK,Lyon,26-295,1997,6.0,12,0,1,1,0,12.3,0.36,0.3,0.04,18,65,27.7,149,33,36.2,34.7,31,35.5,39.3,74,8,10.8,10,1.67,16.5,Matches
17,Đorđe Petrović,rs SRB,GK,Strasbourg,24-358,1999,3.0,4,1,0,0,0,3.7,0.26,-0.3,-0.11,12,43,27.9,136,5,25.7,30.0,9,88.9,61.4,52,4,7.7,2,0.67,11.8,Matches
18,Guillaume Restes,fr FRA,GK,Toulouse,19-203,2005,6.0,8,0,0,0,2,3.8,0.21,-2.2,-0.37,22,57,38.6,154,19,24.7,27.9,28,67.9,48.9,76,2,2.6,3,0.5,13.4,Matches
19,Gerónimo Rulli,ar ARG,GK,Marseille,32-133,1992,6.0,7,0,0,2,0,8.1,0.25,1.1,0.19,22,71,31.0,217,32,24.0,27.9,29,65.5,44.1,95,7,7.4,13,2.17,17.0,Matches
20,Matvei Safonov,ru RUS,GK,Paris S-G,25-218,1999,2.0,2,1,0,0,0,1.2,0.08,-0.8,-0.42,5,17,29.4,56,13,26.8,28.8,9,22.2,31.8,21,1,4.8,5,2.5,22.3,Matches
21,Brice Samba,fr FRA,GK,Lens,30-158,1994,6.0,2,1,0,1,0,4.1,0.16,2.1,0.35,34,78,43.6,173,23,36.4,33.9,29,51.7,39.7,74,11,14.9,5,0.83,10.3,Matches
