Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18-178,2006,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-002,1987,5.0,204,229,89.1,3740,1298,69,74,93.2,121,128,94.5,12,23,52.2,0,0.0,0.0,0.0,1,14,0,0,10,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24-318,1999,5.9,298,371,80.3,4225,1228,165,185,89.2,109,127,85.8,10,35,28.6,0,1.0,0.8,-1.0,11,36,12,0,44,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25-242,1999,1.8,62,74,83.8,1004,368,27,30,90.0,32,38,84.2,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,6,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30-285,1993,1.5,42,57,73.7,557,196,24,30,80.0,14,17,82.4,0,3,0.0,0,0.5,0.0,-0.5,1,3,0,0,2,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21-186,2003,5.3,62,89,69.7,993,158,28,36,77.8,28,38,73.7,3,5,60.0,0,0.6,0.5,-0.6,5,5,4,0,16,Matches
7,Abner,br BRA,DF,Lyon,24-126,2000,5.1,214,270,79.3,3049,1438,127,141,90.1,62,79,78.5,15,26,57.7,0,0.4,1.4,-0.4,7,17,3,1,19,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24-225,2000,4.6,50,76,65.8,623,168,34,44,77.3,14,23,60.9,0,3,0.0,0,0.1,0.4,-0.1,1,2,1,0,6,Matches
9,Akor Adams,ng NGA,FW,Montpellier,24-245,2000,5.1,39,68,57.4,539,86,23,33,69.7,12,21,57.1,1,4,25.0,1,0.6,0.1,+0.4,6,2,0,0,3,Matches
10,Martin Adeline,fr FRA,MF,Reims,20-303,2003,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
11,Adryelson,br BRA,DF,Lyon,26-191,1998,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-105,1997,6.0,320,365,87.7,6170,2672,132,141,93.6,151,160,94.4,36,62,58.1,0,0.1,0.2,-0.1,1,18,1,0,26,Matches
13,Ruben Aguilar,fr FRA,DF,Lens,31-157,1993,2.9,150,187,80.2,2037,795,93,103,90.3,39,55,70.9,8,11,72.7,1,0.7,0.5,+0.3,2,7,3,0,10,Matches
14,Jean-Eudes Aholou,ci CIV,MF,Angers,30-194,1994,4.1,171,189,90.5,2793,697,80,87,92.0,84,89,94.4,4,6,66.7,0,0.1,0.1,-0.1,3,10,1,0,18,Matches
15,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-097,2005,1.0,10,17,58.8,143,71,7,10,70.0,2,4,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,1,0,4,Matches
16,Ludovic Ajorque,fr FRA,FW,Brest,30-218,1994,4.5,82,119,68.9,1093,161,52,68,76.5,24,35,68.6,2,3,66.7,0,0.3,0.2,-0.3,5,6,2,0,4,Matches
17,Ümit Akdag,ro ROU,DF,Toulouse,20-360,2003,0.9,39,61,63.9,697,310,16,28,57.1,21,25,84.0,2,5,40.0,0,0.0,0.0,0.0,0,4,0,0,9,Matches
18,Sergio Akieme,es ESP,DF,Reims,26-289,1997,4.0,86,117,73.5,1170,367,55,60,91.7,27,36,75.0,2,15,13.3,0,0.0,0.0,0.0,1,4,0,0,8,Matches
19,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,22-218,2002,4.2,159,194,82.0,2233,693,95,104,91.3,48,62,77.4,7,8,87.5,1,0.8,1.2,+0.2,7,10,8,0,29,Matches
20,Clément Akpa,ci CIV,DF,Auxerre,22-311,2001,3.8,156,203,76.8,2758,1148,65,78,83.3,72,87,82.8,14,28,50.0,0,0.3,0.4,-0.3,6,12,7,4,22,Matches
21,Mohamed Ali Cho,fr FRA,FW,Nice,20-255,2004,3.9,74,104,71.2,935,201,52,61,85.2,15,26,57.7,3,7,42.9,0,0.7,0.4,-0.7,6,3,3,0,7,Matches
22,Jim Allevinah,ga GAB,FW,Angers,29-216,1995,2.3,61,74,82.4,835,155,34,37,91.9,24,30,80.0,1,2,50.0,0,0.0,0.1,0.0,2,4,0,0,13,Matches
