Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18-178,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-002,1987,5.0,229,201,27,13,0,0,0,1,0,0,0,0,204,1,0,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24-318,1999,5.9,371,336,34,13,4,0,15,5,5,3,1,0,298,1,7,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25-242,1999,1.8,74,68,6,6,0,1,0,0,0,0,0,0,62,0,0,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30-285,1993,1.5,57,49,7,0,0,0,3,7,0,0,0,0,42,1,2,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21-186,2003,5.3,89,84,5,0,1,2,4,0,0,0,0,0,62,0,6,Matches
7,Abner,br BRA,DF,Lyon,24-126,2000,5.1,270,223,45,2,1,1,20,37,6,6,0,0,214,2,9,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24-225,2000,4.6,76,71,5,0,0,0,7,2,1,1,0,0,50,0,1,Matches
9,Akor Adams,ng NGA,FW,Montpellier,24-245,2000,5.1,68,62,5,0,0,0,4,0,0,0,0,0,39,1,2,Matches
10,Martin Adeline,fr FRA,MF,Reims,20-303,2003,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
11,Adryelson,br BRA,DF,Lyon,26-191,1998,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-105,1997,6.0,365,334,31,9,1,9,0,1,0,0,0,0,320,0,1,Matches
13,Ruben Aguilar,fr FRA,DF,Lens,31-157,1993,2.9,187,148,39,3,0,1,9,36,0,0,0,0,150,0,7,Matches
14,Jean-Eudes Aholou,ci CIV,MF,Angers,30-194,1994,4.1,189,184,3,3,0,0,0,0,0,0,0,0,171,2,0,Matches
15,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-097,2005,1.0,17,17,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches
16,Ludovic Ajorque,fr FRA,FW,Brest,30-218,1994,4.5,119,118,1,0,0,1,0,0,0,0,0,0,82,0,2,Matches
17,Ümit Akdag,ro ROU,DF,Toulouse,20-360,2003,0.9,61,59,2,0,0,0,0,2,0,0,0,0,39,0,2,Matches
18,Sergio Akieme,es ESP,DF,Reims,26-289,1997,4.0,117,101,15,1,0,0,10,12,2,2,0,0,86,1,2,Matches
19,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,22-218,2002,4.2,194,187,6,2,0,1,8,2,2,0,1,0,159,1,10,Matches
20,Clément Akpa,ci CIV,DF,Auxerre,22-311,2001,3.8,203,167,35,3,0,4,19,31,1,1,0,0,156,1,8,Matches
21,Mohamed Ali Cho,fr FRA,FW,Nice,20-255,2004,3.9,104,97,6,2,3,0,14,0,4,0,4,0,74,1,3,Matches
22,Jim Allevinah,ga GAB,FW,Angers,29-216,1995,2.3,74,73,1,0,0,0,3,0,1,0,1,0,61,0,3,Matches
23,Jordan Amavi,fr FRA,DF,Brest,30-205,1994,3.8,209,170,38,6,0,0,7,32,0,0,0,0,149,1,8,Matches
24,Kelvin Amian,fr FRA,DF,Nantes,26-235,1998,4.2,191,143,48,1,1,0,9,47,0,0,0,0,164,0,6,Matches
25,Michael Amir Murillo,pa PAN,DF,Marseille,28-232,1996,6.0,359,310,47,9,0,0,5,38,0,0,0,0,317,2,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Mathis Amougou,fr FRA,MF,Saint-Étienne,18-256,2006,5.1,147,142,4,3,0,1,1,1,0,0,0,0,117,1,3,Matches
27,Benjamin André,fr FRA,MF,Lille,34-058,1990,4.9,366,350,13,12,0,2,3,1,0,0,0,0,307,3,6,Matches
28,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-113,1992,3.9,183,146,35,4,0,0,12,31,0,0,0,0,135,2,8,Matches
29,Carlens Arcus,ht HAI,DF,Angers,28-094,1996,4.8,204,170,33,5,0,0,11,28,0,0,0,0,165,1,4,Matches
30,Hákon Arnar Haraldsson,is ISL,MF,Lille,21-173,2003,1.9,158,153,5,1,0,1,4,1,3,2,1,0,132,0,0,Matches
31,Marco Asensio,es ESP,"FW,MF",Paris S-G,28-253,1996,2.9,142,130,10,1,0,0,6,3,2,0,0,0,122,2,2,Matches
32,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-100,2000,4.3,171,133,38,3,0,0,4,35,0,0,0,0,130,0,5,Matches
33,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19-166,2005,0.3,15,12,3,1,0,0,3,1,0,0,0,0,14,0,0,Matches
34,Valentin Atangana Edoa,fr FRA,MF,Reims,19-036,2005,5.6,238,236,2,2,0,0,3,0,0,0,0,0,212,0,2,Matches
35,Florian Ayé,fr FRA,FW,Auxerre,27-255,1997,1.6,32,29,3,0,0,0,0,0,0,0,0,0,25,0,0,Matches
36,Neil El Aynaoui,fr FRA,MF,Lens,23-090,2001,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
37,Shavy Babicka,ga GAB,MF,Toulouse,24-121,2000,2.7,62,61,1,0,0,1,6,0,0,0,0,0,45,0,1,Matches
