Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18-178,2006,1,3,3,0.6,0.0,0,,0,1,3,2,3.00,0,0,0,0.00,-1.34,0.0,0.0,0.0,-0.49,-0.30,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-002,1987,5,450,90,83.3,5.0,5,90,5,0,,1,0.60,1,15,-14,-2.80,-2.80,3.3,13.3,-10.1,-2.01,-1.24,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24-318,1999,6,529,88,98.0,5.9,6,88,5,0,,0,0.33,3,12,-9,-1.53,-9.71,4.7,10.0,-5.3,-0.90,-4.81,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25-242,1999,3,158,53,29.3,1.8,2,68,1,1,23,1,1.33,2,2,0,0.00,-1.88,3.5,2.2,+1.3,+0.74,-0.08,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30-285,1993,3,132,44,24.4,1.5,1,90,1,2,21,0,1.33,2,0,+2,+1.36,+0.04,4.2,2.2,+2.0,+1.34,+0.72,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21-186,2003,6,476,79,88.1,5.3,6,79,0,0,,0,1.50,7,5,+2,+0.38,-1.03,6.1,4.8,+1.3,+0.25,+0.39,Matches
7,Abner,br BRA,DF,Lyon,24-126,2000,6,457,76,84.6,5.1,6,76,1,0,,0,1.17,4,8,-4,-0.79,-0.79,6.7,8.6,-1.9,-0.38,-1.62,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24-225,2000,6,413,69,76.5,4.6,5,77,2,1,27,0,0.83,2,6,-4,-0.87,-1.58,7.0,3.0,+3.9,+0.86,+0.13,Matches
9,Mathieu Acapandié,fr FRA,DF,Nantes,19-291,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
10,Akor Adams,ng NGA,FW,Montpellier,24-245,2000,6,461,77,85.4,5.1,5,88,3,1,23,0,0.67,6,11,-5,-0.98,+5.86,5.8,8.6,-2.8,-0.55,+2.98,Matches
11,Martin Adeline,fr FRA,MF,Reims,20-303,2003,1,26,26,4.8,0.3,0,,0,1,26,1,1.00,0,1,-1,-3.46,-3.99,0.1,1.0,-1.0,-3.42,-2.88,Matches
12,Raphaël Adiceam,fr FRA,GK,Auxerre,34-089,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
13,Adryelson,br BRA,DF,Lyon,26-191,1998,1,1,1,0.2,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,+0.67,0.0,0.0,0.0,0.00,+0.13,Matches
14,Emmanuel Agbadou,ci CIV,DF,Reims,27-105,1997,6,540,90,100.0,6.0,6,90,6,0,,0,1.83,10,8,+2,+0.33,,6.0,10.1,-4.1,-0.68,,Matches
15,Ruben Aguilar,fr FRA,DF,Lens,31-157,1993,4,257,64,47.6,2.9,3,81,2,1,13,2,2.00,3,0,+3,+1.05,+1.05,5.4,2.2,+3.2,+1.12,+0.69,Matches
16,Naouirou Ahamada,fr FRA,MF,Rennes,22-185,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
17,Jean-Eudes Aholou,ci CIV,MF,Angers,30-194,1994,5,373,75,69.1,4.1,5,75,1,0,,0,0.40,2,7,-5,-1.21,+0.41,2.9,7.0,-4.1,-1.00,-0.62,Matches
18,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-097,2005,3,87,29,16.1,1.0,1,58,0,2,15,0,0.00,0,2,-2,-2.07,+0.32,0.2,2.4,-2.2,-2.26,-0.54,Matches
19,Ludovic Ajorque,fr FRA,FW,Brest,30-218,1994,6,401,67,74.3,4.5,5,75,1,1,25,0,1.00,7,10,-3,-0.67,+0.62,6.6,9.5,-2.9,-0.66,+1.33,Matches
20,Ümit Akdag,ro ROU,DF,Toulouse,20-360,2003,1,85,85,15.7,0.9,1,85,0,0,,3,0.00,0,1,-1,-1.06,-0.66,2.7,0.3,+2.4,+2.58,+2.08,Matches
21,Sergio Akieme,es ESP,DF,Reims,26-289,1997,4,360,90,66.7,4.0,4,90,4,0,,0,1.25,6,6,0,0.00,-1.00,4.1,7.8,-3.6,-0.91,-0.71,Matches
22,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,22-218,2002,6,380,63,70.4,4.2,4,82,2,2,26,0,2.67,8,2,+6,+1.42,-0.27,9.2,3.9,+5.3,+1.25,-0.89,Matches
23,Clément Akpa,ci CIV,DF,Auxerre,22-311,2001,5,341,68,63.1,3.8,4,74,2,1,45,0,1.20,6,9,-3,-0.79,-0.34,5.7,7.9,-2.2,-0.58,-0.09,Matches
24,Mohamed Ali Cho,fr FRA,FW,Nice,20-255,2004,5,352,70,65.2,3.9,5,70,0,0,,0,1.40,11,5,+6,+1.53,+0.58,7.3,4.3,+2.9,+0.74,-0.14,Matches
25,Jim Allevinah,ga GAB,FW,Angers,29-216,1995,3,207,69,38.3,2.3,3,69,0,0,,0,0.67,2,4,-2,-0.87,+0.75,2.1,4.7,-2.6,-1.15,-0.55,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Jordan Amavi,fr FRA,DF,Brest,30-205,1994,5,344,69,63.7,3.8,4,84,1,1,9,1,1.20,4,10,-6,-1.57,-2.03,4.8,8.0,-3.2,-0.82,+0.49,Matches
27,Kelvin Amian,fr FRA,DF,Nantes,26-235,1998,5,377,75,69.8,4.2,4,90,4,1,17,1,1.60,5,3,+2,+0.48,-0.07,4.3,4.3,0.0,-0.01,-0.69,Matches
28,Michael Amir Murillo,pa PAN,DF,Marseille,28-232,1996,6,540,90,100.0,6.0,6,90,6,0,,0,2.17,15,7,+8,+1.33,,8.2,9.3,-1.1,-0.19,,Matches
29,Mathis Amougou,fr FRA,MF,Saint-Étienne,18-256,2006,6,460,77,85.2,5.1,6,77,2,0,,0,0.67,3,13,-10,-1.96,+2.54,3.9,11.3,-7.4,-1.45,+2.38,Matches
30,Benjamin André,fr FRA,MF,Lille,34-058,1990,5,442,88,81.9,4.9,5,88,4,0,,0,1.40,9,7,+2,+0.41,-1.43,7.7,8.0,-0.3,-0.06,-3.20,Matches
31,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-113,1992,5,347,69,64.3,3.9,3,90,3,2,39,0,0.80,3,14,-11,-2.85,-1.45,3.6,10.9,-7.4,-1.91,-0.28,Matches
32,Carlens Arcus,ht HAI,DF,Angers,28-094,1996,6,432,72,80.0,4.8,6,72,1,0,,0,0.33,2,9,-7,-1.46,-0.62,3.2,7.7,-4.5,-0.95,-0.71,Matches
33,Hákon Arnar Haraldsson,is ISL,MF,Lille,21-173,2003,3,168,56,31.1,1.9,2,61,0,1,47,0,2.00,3,2,+1,+0.54,-0.19,3.0,2.4,+0.6,+0.30,-0.32,Matches
34,Marco Asensio,es ESP,"FW,MF",Paris S-G,28-253,1996,4,265,66,49.1,2.9,4,66,0,0,,0,3.00,9,2,+7,+2.38,-0.24,8.8,2.4,+6.3,+2.15,+0.36,Matches
35,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-100,2000,6,386,64,71.5,4.3,5,73,2,1,19,0,1.17,7,5,+2,+0.47,+1.05,5.0,4.5,+0.5,+0.13,+0.53,Matches
36,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,19-166,2005,3,23,8,4.3,0.3,0,,0,3,8,3,0.67,0,1,-1,-3.91,-4.61,0.4,0.2,+0.3,+1.07,+0.91,Matches
37,Valentin Atangana Edoa,fr FRA,MF,Reims,19-036,2005,6,507,85,93.9,5.6,6,85,4,0,,0,1.83,10,7,+3,+0.53,+3.26,5.9,9.2,-3.3,-0.59,+1.45,Matches
38,Florian Ayé,fr FRA,FW,Auxerre,27-255,1997,5,144,29,26.7,1.6,1,63,0,4,20,1,0.60,2,3,-1,-0.62,+0.06,1.3,3.7,-2.4,-1.49,-1.29,Matches
39,Neil El Aynaoui,fr FRA,MF,Lens,23-090,2001,1,6,6,1.1,0.1,0,,0,1,6,1,1.00,0,0,0,0.00,-0.51,0.2,0.0,+0.2,+2.44,+1.70,Matches
40,Shavy Babicka,ga GAB,MF,Toulouse,24-121,2000,5,241,48,44.6,2.7,2,77,1,3,29,0,0.80,5,3,+2,+0.75,+2.25,5.6,1.0,+4.5,+1.70,+1.57,Matches
41,Theo Bair,ca CAN,FW,Auxerre,25-034,1999,5,190,38,35.2,2.1,3,57,0,2,10,1,1.20,2,3,-1,-0.47,+0.30,2.7,2.8,-0.1,-0.05,+0.76,Matches
42,Mitchel Bakker,nl NED,DF,Lille,24-102,2000,3,50,17,9.3,0.6,0,,0,3,17,0,1.33,2,0,+2,+3.60,+3.23,3.0,0.8,+2.2,+3.98,+3.81,Matches
43,Darryl Bakola,fr FRA,MF,Marseille,16-305,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
44,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,22-035,2002,6,526,88,97.4,5.8,6,88,5,0,,0,1.50,12,10,+2,+0.34,+0.34,11.1,9.2,+1.9,+0.32,+0.62,Matches
45,Leonardo Balerdi,ar ARG,DF,Marseille,25-248,1999,3,184,61,34.1,2.0,3,61,2,0,,1,2.33,7,3,+4,+1.96,+0.95,5.4,2.2,+3.2,+1.58,+2.69,Matches
46,Folarin Balogun,us USA,FW,Monaco,23-089,2001,5,339,68,62.8,3.8,4,78,2,1,27,1,2.60,7,2,+5,+1.33,-0.46,8.7,3.1,+5.6,+1.50,-0.06,Matches
