Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18-178,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,2,16,9,1,0,0,1,0,3,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-002,1987,5.0,283,59,173,103,7,3,283,2,1,50.0,1,50.0,138,747,426,2,0,0,6,1,175,3,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24-318,1999,5.9,461,6,59,242,164,15,459,37,12,32.4,25,67.6,246,1493,866,24,17,7,13,12,323,28,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25-242,1999,1.8,92,12,48,41,3,0,92,0,0,,0,,40,175,98,1,0,0,1,0,50,0,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30-285,1993,1.5,83,7,25,32,26,4,83,1,0,0.0,1,100.0,35,159,78,3,2,2,4,1,44,10,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21-186,2003,5.3,154,6,10,52,96,29,154,16,5,31.3,10,62.5,107,747,302,16,6,10,20,11,137,39,Matches
7,Abner,br BRA,DF,Lyon,24-126,2000,5.1,321,14,61,142,119,13,321,3,2,66.7,1,33.3,151,683,427,12,1,4,10,3,196,33,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24-225,2000,4.6,129,0,5,49,79,24,128,7,3,42.9,4,57.1,83,397,188,7,6,3,13,7,95,34,Matches
9,Akor Adams,ng NGA,FW,Montpellier,24-245,2000,5.1,98,2,7,46,45,18,98,5,2,40.0,2,40.0,49,199,67,2,0,2,5,8,74,21,Matches
10,Martin Adeline,fr FRA,MF,Reims,20-303,2003,0.3,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1,Matches
11,Adryelson,br BRA,DF,Lyon,26-191,1998,0.0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-105,1997,6.0,446,100,269,165,14,2,446,7,5,71.4,2,28.6,252,1411,762,4,4,0,2,4,291,0,Matches
13,Ruben Aguilar,fr FRA,DF,Lens,31-157,1993,2.9,218,2,49,101,72,8,218,3,1,33.3,2,66.7,96,417,166,2,5,0,4,1,119,27,Matches
14,Jean-Eudes Aholou,ci CIV,MF,Angers,30-194,1994,4.1,245,9,47,157,45,6,245,7,4,57.1,2,28.6,119,548,314,6,2,1,7,5,169,5,Matches
15,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-097,2005,1.0,31,0,7,15,9,1,31,3,0,0.0,3,100.0,24,109,44,2,1,0,4,6,25,6,Matches
16,Ludovic Ajorque,fr FRA,FW,Brest,30-218,1994,4.5,152,5,10,84,59,13,152,8,4,50.0,4,50.0,68,228,46,1,3,1,7,1,113,20,Matches
17,Ümit Akdag,ro ROU,DF,Toulouse,20-360,2003,0.9,70,3,28,41,1,0,70,0,0,,0,,33,88,32,0,0,0,0,0,37,0,Matches
