Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18-178,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-002,1987,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24-318,1999,5.9,2,7,1,14.3,1.19,0.17,0.00,0.00,26.2,0,2,2,1.8,0.3,0.04,+0.2,-0.3,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25-242,1999,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30-285,1993,1.5,0,2,0,0.0,1.36,0.00,0.00,,12.7,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21-186,2003,5.3,1,19,6,31.6,3.59,1.13,0.05,0.17,14.7,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
7,Abner,br BRA,DF,Lyon,24-126,2000,5.1,0,4,2,50.0,0.79,0.39,0.00,0.00,18.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24-225,2000,4.6,0,14,6,42.9,3.05,1.31,0.00,0.00,13.9,0,0,1,3.0,2.3,0.16,-3.0,-2.3,Matches
9,Akor Adams,ng NGA,FW,Montpellier,24-245,2000,5.1,3,14,8,57.1,2.73,1.56,0.21,0.38,14.8,0,0,0,2.6,2.6,0.19,+0.4,+0.4,Matches
10,Martin Adeline,fr FRA,MF,Reims,20-303,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Adryelson,br BRA,DF,Lyon,26-191,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-105,1997,6.0,0,7,3,42.9,1.17,0.50,0.00,0.00,28.1,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
13,Ruben Aguilar,fr FRA,DF,Lens,31-157,1993,2.9,0,2,0,0.0,0.70,0.00,0.00,,13.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
14,Jean-Eudes Aholou,ci CIV,MF,Angers,30-194,1994,4.1,0,8,0,0.0,1.93,0.00,0.00,,19.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
15,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-097,2005,1.0,0,2,0,0.0,2.07,0.00,0.00,,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
16,Ludovic Ajorque,fr FRA,FW,Brest,30-218,1994,4.5,1,5,2,40.0,1.12,0.45,0.20,0.50,12.6,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
17,Ümit Akdag,ro ROU,DF,Toulouse,20-360,2003,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Sergio Akieme,es ESP,DF,Reims,26-289,1997,4.0,1,4,1,25.0,1.00,0.25,0.25,1.00,18.8,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
19,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,22-218,2002,4.2,0,9,1,11.1,2.13,0.24,0.00,0.00,17.0,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
20,Clément Akpa,ci CIV,DF,Auxerre,22-311,2001,3.8,0,2,0,0.0,0.53,0.00,0.00,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
21,Mohamed Ali Cho,fr FRA,FW,Nice,20-255,2004,3.9,2,8,5,62.5,2.05,1.28,0.25,0.40,16.8,0,0,0,1.0,1.0,0.12,+1.0,+1.0,Matches
22,Jim Allevinah,ga GAB,FW,Angers,29-216,1995,2.3,0,4,0,0.0,1.74,0.00,0.00,,19.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
23,Jordan Amavi,fr FRA,DF,Brest,30-205,1994,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,Kelvin Amian,fr FRA,DF,Nantes,26-235,1998,4.2,0,1,0,0.0,0.24,0.00,0.00,,27.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
25,Michael Amir Murillo,pa PAN,DF,Marseille,28-232,1996,6.0,0,2,0,0.0,0.33,0.00,0.00,,24.9,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
