Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18-178,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-002,1987,5,5,450,5.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,10,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,24-318,1999,6,6,529,5.9,2,0,2,0,2,2,0,0,1.8,0.3,1.0,1.2,24,44,28,0.34,0.00,0.34,0.00,0.00,0.31,0.16,0.48,0.05,0.21,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,25-242,1999,3,2,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,30-285,1993,3,1,132,1.5,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,3,2,10,0.00,0.00,0.00,0.00,0.00,0.33,0.35,0.68,0.33,0.68,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21-186,2003,6,6,476,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.6,1.9,16,16,39,0.19,0.00,0.19,0.19,0.19,0.24,0.12,0.36,0.24,0.36,Matches
7,Abner,br BRA,DF,Lyon,24-126,2000,6,6,457,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,12,19,33,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24-225,2000,6,5,413,4.6,0,0,0,0,0,1,0,0,3.0,2.3,0.1,2.4,7,6,34,0.00,0.00,0.00,0.00,0.00,0.66,0.02,0.69,0.49,0.51,Matches
9,Akor Adams,ng NGA,FW,Montpellier,24-245,2000,6,5,461,5.1,3,1,4,3,0,0,1,0,2.6,2.6,0.6,3.2,2,3,21,0.59,0.20,0.78,0.59,0.78,0.51,0.11,0.62,0.51,0.62,Matches
10,Martin Adeline,fr FRA,MF,Reims,20-303,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Adryelson,br BRA,DF,Lyon,26-191,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-105,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,4,26,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,Matches
13,Ruben Aguilar,fr FRA,DF,Lens,31-157,1993,4,3,257,2.9,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,2,10,27,0.00,0.35,0.35,0.00,0.35,0.05,0.24,0.29,0.05,0.29,Matches
14,Jean-Eudes Aholou,ci CIV,MF,Angers,30-194,1994,5,5,373,4.1,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,6,18,5,0.00,0.00,0.00,0.00,0.00,0.13,0.02,0.15,0.13,0.15,Matches
15,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-097,2005,3,1,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
