Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-006,1997,1.3,0,0,0,1,0,0,0,1,2,0,0,0,4,0,0,,Matches
2,Simon Adingra,ci CIV,"FW,MF",Brighton,22-273,2002,1.5,0,0,0,2,0,0,9,2,2,0,0,0,10,1,1,50.0,Matches
3,Ola Aina,ng NGA,DF,Nott'ham Forest,27-358,1996,5.6,1,0,0,3,7,0,10,10,6,0,0,0,39,1,6,14.3,Matches
4,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,23-116,2001,5.3,3,0,0,10,5,0,8,4,6,0,0,0,24,1,2,33.3,Matches
5,Kristoffer Ajer,no NOR,DF,Brentford,26-166,1998,5.1,1,0,0,5,3,0,4,4,3,0,0,0,12,5,8,38.5,Matches
6,Manuel Akanji,ch SUI,DF,Manchester City,29-073,1995,6.0,1,0,0,3,3,0,5,3,2,0,0,0,26,7,12,36.8,Matches
7,Nathan Aké,nl NED,DF,Manchester City,29-225,1995,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,Matches
8,Carlos Alcaraz,ar ARG,MF,Southampton,21-305,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches
9,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-359,1998,5.5,2,0,0,2,2,0,29,4,9,0,0,0,26,1,3,25.0,Matches
10,Alisson,br BRA,GK,Liverpool,31-364,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,100.0,Matches
11,Miguel Almirón,py PAR,FW,Newcastle Utd,30-233,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
12,Edson Álvarez,mx MEX,"MF,DF",West Ham,26-342,1997,2.5,2,0,0,8,2,0,0,3,5,0,0,0,10,3,1,75.0,Matches
13,Samuel Amo-Ameyaw,eng ENG,DF,Southampton,18-074,2006,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
14,Joachim Andersen,dk DEN,DF,Crystal Palace,28-122,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,Matches
15,Joachim Andersen,dk DEN,DF,Fulham,28-122,1996,3.0,0,0,0,1,3,0,0,4,2,0,0,0,14,9,10,47.4,Matches
16,Elliot Anderson,eng ENG,"MF,FW",Nott'ham Forest,21-329,2002,4.0,1,0,0,5,10,0,11,4,11,0,0,0,26,6,4,60.0,Matches
17,André,br BRA,MF,Wolves,23-076,2001,2.9,2,0,0,4,7,0,0,2,4,0,0,0,16,0,0,,Matches
18,Michail Antonio,jm JAM,FW,West Ham,34-186,1990,4.0,1,0,0,6,1,1,10,0,0,0,0,0,7,6,13,31.6,Matches
19,Antony,br BRA,FW,Manchester Utd,24-219,2000,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
20,Julian Araujo,mx MEX,DF,Bournemouth,23-048,2001,3.0,0,0,0,3,1,0,3,3,2,0,0,0,17,1,4,20.0,Matches
21,Cameron Archer,eng ENG,FW,Southampton,23-071,2001,2.3,0,0,0,2,3,0,1,0,1,0,0,0,4,0,3,0.0,Matches
22,Alphonse Areola,fr FRA,GK,West Ham,31-216,1993,5.5,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,,Matches
23,Joe Aribo,ng NGA,MF,Southampton,28-071,1996,2.5,0,0,0,4,5,0,6,2,1,0,0,0,13,1,2,33.3,Matches
24,Adam Armstrong,eng ENG,FW,Southampton,27-233,1997,2.4,1,0,0,1,1,1,1,0,1,0,0,0,4,0,1,0.0,Matches
25,Harrison Armstrong,eng ENG,MF,Everton,17-255,2007,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29-363,1994,2.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,Matches
27,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-049,1997,0.9,0,0,0,4,4,0,1,0,0,0,0,0,2,2,4,33.3,Matches
28,Yasin Ayari,se SWE,MF,Brighton,20-360,2003,2.2,0,0,0,2,6,1,4,2,5,0,0,0,16,1,3,25.0,Matches
29,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-019,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches
30,Jordan Ayew,gh GHA,FW,Leicester City,33-019,1991,3.0,1,0,0,4,14,2,9,1,2,0,0,0,19,3,7,30.0,Matches
31,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-052,1997,3.2,1,0,0,5,5,2,7,0,0,0,0,0,16,2,1,66.7,Matches
32,Carlos Baleba,cm CMR,MF,Brighton,20-271,2004,3.9,1,0,0,5,6,0,0,7,7,0,1,0,25,7,4,63.6,Matches
33,Ross Barkley,eng ENG,MF,Aston Villa,30-300,1993,1.4,1,0,0,2,0,0,0,1,1,0,0,0,8,1,0,100.0,Matches
34,Harvey Barnes,eng ENG,FW,Newcastle Utd,26-296,1997,3.6,0,0,0,1,4,0,7,2,2,0,0,0,9,2,1,66.7,Matches
35,Calvin Bassey,ng NGA,DF,Fulham,24-274,1999,6.0,1,0,0,7,7,0,0,2,3,0,0,0,24,4,5,44.4,Matches
36,Jan Bednarek,pl POL,DF,Southampton,28-171,1996,4.9,1,0,0,4,4,0,0,9,2,0,0,0,26,4,4,50.0,Matches
37,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-095,1998,4.3,1,0,0,7,10,0,6,4,4,0,0,0,10,1,9,10.0,Matches
38,Rodrigo Bentancur,uy URU,MF,Tottenham,27-097,1997,3.4,3,0,0,5,1,0,0,9,5,0,0,0,22,3,3,50.0,Matches
39,Sander Berge,no NOR,MF,Fulham,26-229,1998,1.2,0,0,0,1,0,0,0,4,2,0,0,0,8,4,1,80.0,Matches
40,Lucas Bergvall,se SWE,"MF,FW",Tottenham,18-241,2006,0.6,0,0,0,2,1,0,5,0,2,0,0,0,5,1,0,100.0,Matches
41,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21-289,2002,5.9,1,0,0,7,6,0,22,9,13,0,0,0,21,4,14,22.2,Matches
42,Beto,gw GNB,FW,Everton,26-243,1998,0.5,0,0,0,3,0,1,0,0,0,0,0,0,0,4,2,66.7,Matches
43,Philip Billing,dk DEN,MF,Bournemouth,28-111,1996,0.3,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,50.0,Matches
44,Yves Bissouma,ml MLI,MF,Tottenham,28-031,1996,2.0,2,0,0,3,1,0,0,2,4,0,0,0,5,0,1,0.0,Matches
45,Lamare Bogarde,nl NED,DF,Aston Villa,20-269,2004,1.9,1,0,0,5,3,0,0,1,4,0,0,0,6,1,1,50.0,Matches
46,Willy Boly,ci CIV,DF,Nott'ham Forest,33-240,1991,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,0,100.0,Matches
47,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27-285,1996,5.7,0,0,0,6,6,0,30,2,4,0,0,0,26,1,8,11.1,Matches
48,Conor Bradley,nir NIR,DF,Liverpool,21-083,2003,0.9,0,0,0,1,0,0,1,2,0,0,0,0,8,1,0,100.0,Matches
49,Jarrad Branthwaite,eng ENG,DF,Everton,22-095,2002,1.0,0,0,0,0,1,0,0,3,2,0,0,0,5,3,3,50.0,Matches
50,Ben Brereton,cl CHI,FW,Southampton,25-165,1999,3.8,1,0,0,4,6,1,3,0,2,0,0,0,11,6,5,54.5,Matches
