Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-006,1997,1.3,97,88,8,5,0,0,0,0,0,0,0,0,87,1,1,Matches
2,Simon Adingra,ci CIV,"FW,MF",Brighton,22-273,2002,1.5,67,66,0,0,0,0,9,0,0,0,0,0,42,1,2,Matches
3,Ola Aina,ng NGA,DF,Nott'ham Forest,27-358,1996,5.6,262,207,54,5,0,0,10,49,0,0,0,0,198,1,7,Matches
4,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,23-116,2001,5.3,233,183,47,14,0,1,8,31,2,0,1,0,200,3,3,Matches
5,Kristoffer Ajer,no NOR,DF,Brentford,26-166,1998,5.1,220,195,25,2,0,2,4,23,0,0,0,0,170,0,9,Matches
6,Manuel Akanji,ch SUI,DF,Manchester City,29-073,1995,6.0,546,540,5,1,2,3,5,3,0,0,0,0,515,1,2,Matches
7,Nathan Aké,nl NED,DF,Manchester City,29-225,1995,0.0,7,4,3,1,0,0,0,2,0,0,0,0,6,0,1,Matches
8,Carlos Alcaraz,ar ARG,MF,Southampton,21-305,2002,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0,Matches
9,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-359,1998,5.5,366,296,69,13,3,5,29,41,15,10,3,0,260,1,5,Matches
10,Alisson,br BRA,GK,Liverpool,31-364,1992,5.0,176,160,16,6,0,0,0,0,0,0,0,0,148,0,0,Matches
11,Miguel Almirón,py PAR,FW,Newcastle Utd,30-233,1994,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
12,Edson Álvarez,mx MEX,"MF,DF",West Ham,26-342,1997,2.5,127,123,3,2,1,3,0,1,0,0,0,0,113,1,0,Matches
13,Samuel Amo-Ameyaw,eng ENG,DF,Southampton,18-074,2006,0.1,5,4,1,0,0,0,1,0,1,0,0,0,5,0,0,Matches
14,Joachim Andersen,dk DEN,DF,Crystal Palace,28-122,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0,Matches
15,Joachim Andersen,dk DEN,DF,Fulham,28-122,1996,3.0,207,187,20,17,0,6,0,2,0,0,0,0,175,0,0,Matches
16,Elliot Anderson,eng ENG,"MF,FW",Nott'ham Forest,21-329,2002,4.0,155,136,18,8,0,0,11,0,4,3,1,0,115,1,4,Matches
17,André,br BRA,MF,Wolves,23-076,2001,2.9,118,117,1,1,1,2,0,0,0,0,0,0,113,0,2,Matches
18,Michail Antonio,jm JAM,FW,West Ham,34-186,1990,4.0,75,67,7,0,1,1,10,4,0,0,0,0,43,1,8,Matches
19,Antony,br BRA,FW,Manchester Utd,24-219,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
20,Julian Araujo,mx MEX,DF,Bournemouth,23-048,2001,3.0,129,108,21,0,0,0,3,21,0,0,0,0,100,0,2,Matches
21,Cameron Archer,eng ENG,FW,Southampton,23-071,2001,2.3,34,29,5,0,0,0,1,0,0,0,0,0,28,0,0,Matches
22,Alphonse Areola,fr FRA,GK,West Ham,31-216,1993,5.5,201,140,59,11,0,0,0,0,0,0,0,0,152,2,1,Matches
23,Joe Aribo,ng NGA,MF,Southampton,28-071,1996,2.5,127,125,1,0,0,0,6,1,0,0,0,0,109,1,4,Matches
24,Adam Armstrong,eng ENG,FW,Southampton,27-233,1997,2.4,60,55,5,0,0,1,1,2,0,0,0,0,51,0,5,Matches
25,Harrison Armstrong,eng ENG,MF,Everton,17-255,2007,0.0,4,3,0,0,0,0,1,0,0,0,0,0,1,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29-363,1994,2.0,66,46,20,4,0,0,0,0,0,0,0,0,53,0,0,Matches
27,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-049,1997,0.9,19,19,0,0,0,0,1,0,0,0,0,0,13,0,1,Matches
28,Yasin Ayari,se SWE,MF,Brighton,20-360,2003,2.2,90,88,2,1,2,0,4,0,1,0,1,0,67,0,3,Matches
29,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-019,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0,Matches
30,Jordan Ayew,gh GHA,FW,Leicester City,33-019,1991,3.0,72,70,2,1,0,1,9,0,0,0,0,0,54,0,3,Matches
31,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-052,1997,3.2,103,99,3,0,2,0,7,0,3,3,0,0,71,1,5,Matches
32,Carlos Baleba,cm CMR,MF,Brighton,20-271,2004,3.9,175,173,1,1,1,2,0,0,0,0,0,0,155,1,0,Matches
33,Ross Barkley,eng ENG,MF,Aston Villa,30-300,1993,1.4,96,94,1,1,0,2,0,0,0,0,0,0,89,1,1,Matches
34,Harvey Barnes,eng ENG,FW,Newcastle Utd,26-296,1997,3.6,95,93,1,0,1,0,7,1,0,0,0,0,80,1,1,Matches
35,Calvin Bassey,ng NGA,DF,Fulham,24-274,1999,6.0,345,315,29,9,0,2,0,0,0,0,0,0,308,1,3,Matches
36,Jan Bednarek,pl POL,DF,Southampton,28-171,1996,4.9,463,437,26,8,0,0,0,0,0,0,0,0,437,0,1,Matches
37,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-095,1998,4.3,105,102,3,1,1,1,6,0,0,0,0,0,84,0,7,Matches
38,Rodrigo Bentancur,uy URU,MF,Tottenham,27-097,1997,3.4,228,222,6,6,0,0,0,0,0,0,0,0,213,0,3,Matches
39,Sander Berge,no NOR,MF,Fulham,26-229,1998,1.2,49,47,2,2,0,0,0,0,0,0,0,0,44,0,0,Matches
40,Lucas Bergvall,se SWE,"MF,FW",Tottenham,18-241,2006,0.6,59,52,7,1,0,0,5,2,4,2,2,0,50,0,0,Matches
41,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21-289,2002,5.9,306,237,66,16,0,1,22,47,3,2,1,0,235,3,2,Matches
42,Beto,gw GNB,FW,Everton,26-243,1998,0.5,8,6,2,0,0,1,0,0,0,0,0,0,3,0,0,Matches
43,Philip Billing,dk DEN,MF,Bournemouth,28-111,1996,0.3,13,10,2,0,0,0,3,1,1,1,0,0,6,1,0,Matches
44,Yves Bissouma,ml MLI,MF,Tottenham,28-031,1996,2.0,154,150,4,4,0,1,0,0,0,0,0,0,143,0,1,Matches
45,Lamare Bogarde,nl NED,DF,Aston Villa,20-269,2004,1.9,99,86,13,6,0,0,0,7,0,0,0,0,86,0,0,Matches
46,Willy Boly,ci CIV,DF,Nott'ham Forest,33-240,1991,1.0,54,54,0,0,0,0,0,0,0,0,0,0,43,0,0,Matches
47,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27-285,1996,5.7,129,107,22,0,0,1,30,0,19,6,13,0,84,0,8,Matches
48,Conor Bradley,nir NIR,DF,Liverpool,21-083,2003,0.9,85,68,17,3,0,1,1,14,0,0,0,0,73,0,1,Matches
49,Jarrad Branthwaite,eng ENG,DF,Everton,22-095,2002,1.0,32,32,0,0,0,0,0,0,0,0,0,0,27,0,1,Matches
50,Ben Brereton,cl CHI,FW,Southampton,25-165,1999,3.8,128,126,2,1,1,0,3,1,0,0,0,0,105,0,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
51,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27-280,1996,0.2,13,13,0,0,1,0,0,0,0,0,0,0,12,0,0,Matches
