Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24-270,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-006,1997,2,120,60,22.2,1.3,1,90,1,1,30,4,3.00,4,0,+4,+3.00,+2.14,2.7,1.1,+1.6,+1.24,+0.50,Matches
3,Simon Adingra,ci CIV,"FW,MF",Brighton,22-273,2002,5,137,27,25.4,1.5,1,61,0,4,19,0,1.80,5,1,+4,+2.63,+3.07,2.6,1.3,+1.3,+0.86,+1.37,Matches
4,Asher Agbinone,eng ENG,MF,Crystal Palace,19-002,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
5,Naouirou Ahamada,fr FRA,MF,Crystal Palace,22-185,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
6,Ola Aina,ng NGA,DF,Nott'ham Forest,27-358,1996,6,503,84,93.1,5.6,6,84,5,0,,0,1.50,6,4,+2,+0.36,+2.79,6.9,4.7,+2.2,+0.39,+1.16,Matches
7,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,23-116,2001,6,473,79,87.6,5.3,6,79,2,0,,0,0.17,6,15,-9,-1.71,-0.37,5.0,7.9,-2.9,-0.54,+1.19,Matches
8,Kristoffer Ajer,no NOR,DF,Brentford,26-166,1998,6,457,76,84.6,5.1,6,76,3,0,,0,1.17,5,8,-3,-0.59,-1.68,4.8,9.5,-4.7,-0.93,-0.95,Matches
9,Manuel Akanji,ch SUI,DF,Manchester City,29-073,1995,6,540,90,100.0,6.0,6,90,6,0,,0,2.33,14,6,+8,+1.33,,12.2,5.2,+7.1,+1.18,,Matches
10,Nathan Aké,nl NED,DF,Manchester City,29-225,1995,1,3,3,0.6,0.0,0,,0,1,3,2,3.00,0,0,0,0.00,-1.34,0.2,0.1,+0.1,+3.94,+2.78,Matches
11,Carlos Alcaraz,ar ARG,MF,Southampton,21-305,2002,1,10,10,2.2,0.1,0,,0,1,10,0,0.00,0,0,0,0.00,+1.43,0.3,0.0,+0.3,+2.92,+3.52,Matches
12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-359,1998,6,492,82,91.1,5.5,6,82,3,0,,0,2.50,12,2,+10,+1.83,+1.83,11.3,3.9,+7.3,+1.34,+0.31,Matches
13,Alisson,br BRA,GK,Liverpool,31-364,1992,5,450,90,83.3,5.0,5,90,5,0,,0,2.40,9,2,+7,+1.40,-1.60,10.4,3.4,+6.9,+1.38,+0.45,Matches
14,Miguel Almirón,py PAR,FW,Newcastle Utd,30-233,1994,2,3,2,0.6,0.0,0,,0,2,2,4,2.00,0,0,0,0.00,-0.17,0.0,0.1,-0.1,-1.64,-1.43,Matches
15,Edson Álvarez,mx MEX,"MF,DF",West Ham,26-342,1997,4,223,56,41.3,2.5,3,70,0,1,13,0,1.00,1,6,-5,-2.02,-2.30,1.7,4.8,-3.1,-1.25,-1.15,Matches
16,Samuel Amo-Ameyaw,eng ENG,DF,Southampton,18-074,2006,1,10,10,2.2,0.1,0,,0,1,10,2,0.00,0,0,0,0.00,+1.43,0.3,0.0,+0.3,+2.92,+3.52,Matches
17,Joachim Andersen,dk DEN,DF,Crystal Palace,28-122,1996,1,90,90,16.7,1.0,1,90,1,0,,0,0.00,1,2,-1,-1.00,-0.40,1.2,1.6,-0.4,-0.42,-0.20,Matches
18,Joachim Andersen,dk DEN,DF,Fulham,28-122,1996,3,270,90,50.0,3.0,3,90,3,0,,1,2.33,5,2,+3,+1.00,+1.00,5.1,3.1,+2.0,+0.67,+0.79,Matches
19,Elliot Anderson,eng ENG,"MF,FW",Nott'ham Forest,21-329,2002,6,356,59,65.9,4.0,5,67,0,1,19,0,1.50,3,5,-2,-0.51,-1.97,4.6,4.3,+0.3,+0.08,-0.67,Matches
20,André,br BRA,MF,Wolves,23-076,2001,4,261,65,48.3,2.9,3,85,2,1,5,0,0.25,3,6,-3,-1.03,+1.22,2.3,5.1,-2.9,-0.98,-0.57,Matches
21,Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,24-304,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
22,Michail Antonio,jm JAM,FW,West Ham,34-186,1990,6,359,60,66.5,4.0,5,64,0,1,37,0,0.83,3,5,-2,-0.50,+0.49,3.8,6.8,-3.0,-0.76,-0.56,Matches
23,Antony,br BRA,FW,Manchester Utd,24-219,2000,1,1,1,0.2,0.0,0,,0,1,1,5,0.00,0,1,-1,-90.00,-89.67,0.1,0.6,-0.5,-44.13,-44.14,Matches
24,Julian Araujo,mx MEX,DF,Bournemouth,23-048,2001,5,274,55,60.9,3.0,3,77,0,2,22,0,1.00,2,7,-5,-1.64,-2.67,4.0,5.5,-1.5,-0.50,-1.84,Matches
25,Cameron Archer,eng ENG,FW,Southampton,23-071,2001,5,205,41,45.6,2.3,2,60,0,3,29,0,0.20,2,4,-2,-0.88,+0.96,4.2,5.0,-0.8,-0.35,+0.32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Alphonse Areola,fr FRA,GK,West Ham,31-216,1993,6,495,83,91.7,5.5,6,83,5,0,,0,0.83,6,9,-3,-0.55,+1.45,6.3,9.1,-2.8,-0.51,+0.73,Matches
27,Joe Aribo,ng NGA,MF,Southampton,28-071,1996,4,226,57,50.2,2.5,3,75,0,1,1,1,0.25,0,6,-6,-2.39,-1.99,2.6,5.4,-2.8,-1.12,-1.21,Matches
28,Adam Armstrong,eng ENG,FW,Southampton,27-233,1997,4,214,54,47.6,2.4,3,68,1,1,9,1,0.25,0,4,-4,-1.68,-0.54,2.9,3.7,-0.8,-0.33,+0.37,Matches
29,Harrison Armstrong,eng ENG,MF,Everton,17-255,2007,1,1,1,0.2,0.0,0,,0,1,1,5,0.00,0,0,0,0.00,+1.34,0.0,0.0,0.0,0.00,+0.63,Matches
30,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29-363,1994,2,180,90,40.0,2.0,2,90,2,0,,0,1.50,3,5,-2,-1.00,-0.67,3.4,3.8,-0.4,-0.18,-0.67,Matches
31,Brandon Austin,eng ENG,GK,Tottenham,25-266,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
32,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-049,1997,4,80,20,14.8,0.9,1,45,0,3,12,2,1.25,0,1,-1,-1.13,-1.52,1.0,0.9,+0.1,+0.06,-0.29,Matches
33,Yasin Ayari,se SWE,MF,Brighton,20-360,2003,5,201,40,37.2,2.2,1,90,1,4,28,0,1.60,2,1,+1,+0.45,+0.18,4.2,2.7,+1.5,+0.66,+1.31,Matches
34,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-019,1991,1,21,21,3.9,0.2,0,,0,1,21,0,0.00,0,1,-1,-4.29,-3.77,0.7,1.0,-0.2,-0.99,-0.76,Matches
35,Jordan Ayew,gh GHA,FW,Leicester City,33-019,1991,5,273,55,50.6,3.0,3,80,1,2,17,0,0.40,3,7,-4,-1.32,-1.32,2.3,5.3,-3.0,-0.99,+0.71,Matches
36,Benoît Badiashile,fr FRA,DF,Chelsea,23-188,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
37,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-052,1997,5,286,57,53.0,3.2,4,60,1,1,45,0,2.00,6,4,+2,+0.63,+0.28,5.3,2.8,+2.5,+0.78,+0.58,Matches
38,Carlos Baleba,cm CMR,MF,Brighton,20-271,2004,5,349,70,64.6,3.9,4,83,3,1,18,1,1.20,6,6,0,0.00,-0.94,6.1,7.6,-1.5,-0.38,-0.62,Matches
39,Valentín Barco,ar ARG,DF,Brighton,20-069,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
40,Ross Barkley,eng ENG,MF,Aston Villa,30-300,1993,5,126,25,23.3,1.4,0,,0,5,25,1,2.00,6,2,+4,+2.86,+3.07,3.3,1.0,+2.3,+1.68,+1.53,Matches
41,Harvey Barnes,eng ENG,FW,Newcastle Utd,26-296,1997,6,324,54,60.0,3.6,3,75,1,3,33,0,1.83,6,5,+1,+0.28,+0.28,6.3,5.9,+0.4,+0.11,+0.83,Matches
42,Calvin Bassey,ng NGA,DF,Fulham,24-274,1999,6,540,90,100.0,6.0,6,90,6,0,,0,1.83,8,5,+3,+0.50,,8.2,6.5,+1.7,+0.28,,Matches
43,Altay Bayındır,tr TUR,GK,Manchester Utd,26-169,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
44,Jan Bednarek,pl POL,DF,Southampton,28-171,1996,5,440,88,97.8,4.9,5,88,4,0,,0,0.20,2,9,-7,-1.43,-1.43,6.6,9.5,-2.9,-0.60,-3.52,Matches
45,Asmir Begović,ba BIH,GK,Everton,37-102,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
46,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-095,1998,6,388,65,71.9,4.3,6,65,0,0,,0,0.17,5,8,-3,-0.70,+3.45,4.4,5.6,-1.1,-0.27,+1.51,Matches
47,Steven Benda,de GER,GK,Fulham,25-365,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-097,1997,5,305,61,56.5,3.4,4,74,1,1,9,0,1.40,6,3,+3,+0.89,-0.65,8.9,3.3,+5.5,+1.63,+1.01,Matches
49,Daniel Bentley,eng ENG,GK,Wolves,31-079,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
50,Sander Berge,no NOR,MF,Fulham,26-229,1998,4,111,28,20.6,1.2,0,,0,4,28,0,2.00,1,2,-1,-0.81,-1.65,1.8,2.0,-0.2,-0.13,-0.51,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
51,Lucas Bergvall,se SWE,"MF,FW",Tottenham,18-241,2006,5,51,10,9.4,0.6,0,,0,5,10,1,2.00,1,0,+1,+1.76,+0.66,1.7,0.3,+1.4,+2.44,+1.37,Matches
52,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21-289,2002,6,534,89,98.9,5.9,6,89,5,0,,0,0.50,8,12,-4,-0.67,-0.67,4.2,12.4,-8.2,-1.38,-3.42,Matches
53,Beto,gw GNB,FW,Everton,26-243,1998,4,47,12,8.7,0.5,0,,0,4,12,2,0.00,0,4,-4,-7.66,-6.93,0.2,1.8,-1.7,-3.22,-2.84,Matches
54,Philip Billing,dk DEN,MF,Bournemouth,28-111,1996,2,23,12,5.1,0.3,0,,0,2,12,0,0.50,1,1,0,0.00,+0.63,0.5,0.6,-0.1,-0.21,-0.45,Matches
55,Yves Bissouma,ml MLI,MF,Tottenham,28-031,1996,3,181,60,33.5,2.0,2,77,0,1,28,1,2.00,5,2,+3,+1.49,+0.49,3.9,2.8,+1.1,+0.55,-0.97,Matches
56,Lamare Bogarde,nl NED,DF,Aston Villa,20-269,2004,2,168,84,31.1,1.9,2,84,1,0,,2,3.00,5,3,+2,+1.07,+0.83,3.4,1.3,+2.1,+1.13,+0.89,Matches
57,Willy Boly,ci CIV,DF,Nott'ham Forest,33-240,1991,2,91,46,16.9,1.0,1,90,1,1,1,2,2.00,1,1,0,0.00,-0.20,1.3,1.2,+0.1,+0.09,-0.27,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,27-285,1996,6,516,86,95.6,5.7,6,86,3,0,,0,0.83,6,9,-3,-0.52,+3.23,5.9,9.9,-4.0,-0.70,-2.88,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-083,2003,4,79,20,14.6,0.9,0,,0,4,20,2,2.25,0,1,-1,-1.14,-3.29,1.3,0.9,+0.4,+0.50,-0.94,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-095,2002,1,90,90,16.7,1.0,1,90,1,0,,0,3.00,2,1,+1,+1.00,+2.80,0.9,0.9,0.0,-0.02,+0.73,Matches
61,James Bree,eng ENG,"DF,MF",Southampton,26-355,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-165,1999,5,344,69,76.4,3.8,4,78,2,1,32,0,0.20,1,8,-7,-1.83,-1.83,4.4,7.6,-3.2,-0.84,-1.37,Matches
63,David Brooks,wls WAL,"FW,MF",Bournemouth,27-084,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
64,Emi Buendía,ar ARG,"MF,FW",Aston Villa,27-280,1996,3,15,5,2.8,0.2,0,,0,3,5,3,2.33,0,0,0,0.00,-0.51,0.4,0.2,+0.3,+1.57,+1.09,Matches
65,Santiago Bueno,uy URU,DF,Wolves,25-326,1998,2,85,43,15.7,0.9,1,76,0,1,9,4,0.00,1,4,-3,-3.18,-1.79,0.6,3.5,-2.9,-3.06,-2.82,Matches
66,Facundo Buonanotte,ar ARG,"MF,FW",Leicester City,19-282,2004,5,290,58,53.7,3.2,3,77,0,2,29,1,0.40,6,5,+1,+0.31,+2.11,2.3,6.2,-3.9,-1.22,+0.27,Matches
67,Cameron Burgess,au AUS,DF,Ipswich Town,28-345,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
68,Dan Burn,eng ENG,DF,Newcastle Utd,32-144,1992,6,540,90,100.0,6.0,6,90,6,0,,0,1.83,8,7,+1,+0.17,,8.3,9.6,-1.3,-0.22,,Matches
69,Wes Burns,wls WAL,FW,Ipswich Town,29-312,1994,4,208,52,38.5,2.3,3,62,0,1,22,0,0.75,1,1,0,0.00,+1.36,2.2,3.9,-1.7,-0.74,+0.81,Matches
70,Moisés Caicedo,ec ECU,MF,Chelsea,22-333,2001,6,525,88,97.2,5.8,6,88,5,0,,0,2.17,14,7,+7,+1.20,-4.80,11.7,6.8,+4.9,+0.85,-0.34,Matches
71,Tom Cairney,sct SCO,MF,Fulham,33-254,1991,4,71,18,13.1,0.8,0,,0,4,18,2,1.25,1,2,-1,-1.27,-2.04,0.8,1.6,-0.9,-1.12,-1.61,Matches
72,Jens Cajuste,se SWE,MF,Ipswich Town,25-051,1999,2,80,40,14.8,0.9,1,60,0,1,20,2,1.00,0,1,-1,-1.13,-0.34,1.2,2.1,-1.0,-1.08,+0.17,Matches
73,Riccardo Calafiori,it ITA,DF,Arsenal,22-134,2002,4,207,52,38.3,2.3,2,82,1,2,22,1,2.00,6,3,+3,+1.30,+0.22,6.3,2.7,+3.6,+1.58,+1.63,Matches
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-198,1997,6,503,84,93.1,5.6,6,84,3,0,,0,0.67,7,11,-4,-0.72,+9.01,6.0,8.3,-2.3,-0.42,+3.14,Matches
75,Thomas Cannon,ie IRL,FW,Leicester City,21-277,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
76,Diego Carlos,br BRA,DF,Aston Villa,31-199,1993,2,180,90,33.3,2.0,2,90,2,0,,3,2.00,5,3,+2,+1.00,+0.75,2.5,1.7,+0.9,+0.43,-0.12,Matches
77,Scott Carson,eng ENG,GK,Manchester City,39-027,1985,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
78,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-031,2002,6,230,38,42.6,2.6,2,85,0,4,15,0,1.17,2,6,-4,-1.57,-2.15,1.4,7.0,-5.6,-2.21,-2.48,Matches
79,Cesare Casadei,it ITA,MF,Chelsea,21-264,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
80,Casemiro,br BRA,MF,Manchester Utd,32-220,1992,5,274,55,50.7,3.0,3,75,2,2,25,1,1.20,3,6,-3,-0.99,-0.99,5.3,5.6,-0.3,-0.10,-0.06,Matches
81,Kaelan Casey,eng ENG,DF,West Ham,19-338,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
82,Matty Cash,pl POL,DF,Aston Villa,27-054,1997,2,96,48,17.8,1.1,2,48,0,0,,0,1.50,2,1,+1,+0.94,+0.53,1.9,1.5,+0.3,+0.32,-0.23,Matches
83,Timothy Castagne,be BEL,"DF,MF",Fulham,28-300,1995,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
84,Trevoh Chalobah,eng ENG,"DF,MF",Crystal Palace,25-087,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
85,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27-227,1997,5,93,19,17.2,1.0,1,64,0,4,7,1,0.60,1,1,0,0.00,+1.01,1.0,2.0,-1.0,-1.00,+0.28,Matches
86,Federico Chiesa,it ITA,FW,Liverpool,26-341,1997,1,19,19,3.5,0.2,0,,0,1,19,1,3.00,0,0,0,0.00,-1.73,0.4,0.5,-0.1,-0.64,-2.02,Matches
87,Chiquinho,pt POR,MF,Wolves,24-238,2000,1,7,7,1.3,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+1.69,0.1,0.0,+0.1,+1.89,+2.61,Matches
88,Hamza Choudhury,eng ENG,MF,Leicester City,26-365,1997,1,15,15,2.8,0.2,0,,0,1,15,4,1.00,0,1,-1,-6.00,-5.49,0.0,1.0,-1.0,-6.06,-4.85,Matches
89,Ryan Christie,sct SCO,MF,Bournemouth,29-221,1995,5,292,58,64.9,3.2,4,66,0,1,28,0,1.00,2,5,-3,-0.92,-0.92,5.0,4.1,+0.9,+0.28,+0.18,Matches
90,Jack Clarke,eng ENG,FW,Ipswich Town,23-312,2000,4,160,40,29.6,1.8,1,89,0,3,24,0,1.00,3,2,+1,+0.56,+1.98,1.9,1.7,+0.2,+0.13,+1.93,Matches
91,Nathaniel Clyne,eng ENG,DF,Crystal Palace,33-178,1991,2,153,77,28.3,1.7,2,77,1,0,,4,1.00,2,3,-1,-0.59,+0.11,1.8,3.6,-1.8,-1.03,-1.08,Matches
92,Conor Coady,eng ENG,DF,Leicester City,31-218,1993,1,8,8,1.5,0.1,0,,0,1,8,2,1.00,0,1,-1,-11.25,-10.74,0.0,1.0,-1.0,-11.02,-9.82,Matches
93,Séamus Coleman,ie IRL,DF,Everton,35-355,1988,1,90,90,16.7,1.0,1,90,1,0,,0,0.00,2,3,-1,-1.00,+0.40,1.8,2.4,-0.6,-0.57,+0.08,Matches
94,Nathan Collins,ie IRL,DF,Brentford,23-153,2001,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,8,10,-2,-0.33,,7.0,11.7,-4.7,-0.79,,Matches
95,Toby Collyer,eng ENG,MF,Manchester Utd,20-271,2004,1,45,45,8.3,0.5,0,,0,1,45,3,0.00,0,1,-1,-2.00,-1.64,1.3,1.1,+0.2,+0.36,+0.46,Matches
96,Levi Colwill,eng ENG,DF,Chelsea,21-217,2003,6,540,90,100.0,6.0,6,90,6,0,,0,2.17,15,7,+8,+1.33,,12.1,7.0,+5.1,+0.85,,Matches
97,Lewis Cook,eng ENG,MF,Bournemouth,27-240,1997,5,443,89,98.4,4.9,5,89,4,0,,0,1.00,4,8,-4,-0.81,-13.67,8.3,7.3,+1.1,+0.21,-0.28,Matches
98,Maxwel Cornet,ci CIV,FW,Southampton,28-003,1996,1,27,27,6.0,0.3,0,,0,1,27,1,0.00,0,1,-1,-3.33,-2.06,0.0,0.8,-0.8,-2.73,-2.36,Matches
99,Vladimír Coufal,cz CZE,DF,West Ham,32-039,1992,4,200,50,37.0,2.2,2,73,0,2,27,2,1.00,2,3,-1,-0.45,+0.34,3.3,4.1,-0.9,-0.39,+0.30,Matches
100,Aaron Cresswell,eng ENG,DF,West Ham,34-290,1989,2,20,10,3.7,0.2,0,,0,2,10,3,1.50,0,0,0,0.00,+0.69,0.5,0.7,-0.2,-1.03,-0.47,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,Marc Cucurella,es ESP,DF,Chelsea,26-070,1998,6,500,83,92.6,5.6,6,83,3,0,,0,2.17,15,6,+9,+1.62,+3.87,11.7,6.5,+5.2,+0.93,+1.01,Matches
102,Jorge Cuenca,es ESP,DF,Fulham,24-318,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
103,Matheus Cunha,br BRA,"MF,FW",Wolves,25-126,1999,6,461,77,85.4,5.1,5,85,4,1,34,0,0.17,6,14,-8,-1.56,+0.72,5.2,8.3,-3.1,-0.60,+0.61,Matches
104,Diogo Dalot,pt POR,DF,Manchester Utd,25-196,1999,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,5,8,-3,-0.50,,10.4,10.8,-0.4,-0.07,,Matches
